Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
98971,hip71253,k,rk33.183,2451410.737095,-0.38,2.582208,-1,7159.0
98972,hip71253,k,rk39.230,2451582.101667,5.50,2.621267,-1,8271.0
98973,hip71253,k,rk41.115,2451703.840544,-7.78,2.760439,-1,8329.0
98974,hip71253,k,rk49.142,2451983.085694,-19.91,3.954303,-1,4144.0
98975,hip71253,k,rk53.145,2452062.839988,-16.63,3.147699,-1,9171.0
98976,hip71253,k,rk54.1241,2452101.815012,-11.54,2.572641,-1,10235.0
98977,hip71253,k,rk56.131,2452161.72441,-15.19,3.056483,-1,7112.0
98978,hip71253,k,rk61.137,2452334.109965,11.64,2.975947,-1,10181.0
98979,hip71253,k,rk61.286,2452335.040694,2.11,2.851521,-1,9728.0
98980,hip71253,k,rk65.346,2452488.76059,4.04,2.659667,-1,12986.0
98981,hip71253,k,rk71.154,2452683.074433,1.47,2.608748,-1,13082.0
98982,hip71253,k,rk74.228,2452804.783218,4.45,2.891053,-1,11475.0
98983,hip71253,k,rk85.62,2453153.871748,-0.64,2.674556,-1,13512.0
