Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
102344,s101438b,k,rk5.20,2450275.811481,9.23,1.324313,-1,147081.0
102345,s101438b,k,rk12.436,2450606.953507,-108.25,3.195053,-1,434887.0
102346,s101438b,k,rk19.90,2450862.099815,0.25,1.150328,-1,164625.0
102347,s101438b,k,rk20.178,2450955.981991,-0.39,1.341607,-1,204718.0
102348,s101438b,k,rk22.388,2451013.812431,3.69,1.361064,-1,102834.0
102349,s101438b,k,rk25.21,2451068.740833,6.07,1.156102,-1,112108.0
102350,s101438b,k,rk25.136,2451069.730602,4.59,1.143464,-1,183076.0
102351,s101438b,k,rk25.257,2451070.727662,2.13,1.168939,-1,176454.0
102352,s101438b,k,rk25.400,2451071.733322,3.58,1.140766,-1,154134.0
102353,s101438b,k,rk25.532,2451072.728796,2.59,1.313738,-1,88598.0
102354,s101438b,k,rk26.678,2451073.73037,4.23,1.101311,-1,125720.0
102355,s101438b,k,rk26.794,2451074.721887,3.01,1.277639,-1,109437.0
102356,s101438b,k,rk28.32,2451200.144873,-1.94,1.267891,-1,141694.0
102357,s101438b,k,rk29.99,2451227.084236,-1.14,1.197683,-1,170946.0
102358,s101438b,k,rk29.224,2451228.099549,-0.84,1.201972,-1,164140.0
102359,s101438b,k,rk29.341,2451229.111331,7.31,1.785515,-1,34401.0
102360,s101438b,k,rk30.72,2451311.048067,-0.27,1.571053,-1,171418.0
102361,s101438b,k,rk30.142,2451311.947674,-3.20,1.392254,-1,98341.0
102362,s101438b,k,rk31.241,2451342.921655,3.03,1.113608,-1,81933.0
102363,s101438b,k,rk32.23,2451367.795637,-3.61,1.313558,-1,166141.0
102364,s101438b,k,rk32.137,2451368.764734,2.12,1.388342,-1,74714.0
102365,s101438b,k,rk32.274,2451369.779086,-1.28,1.188155,-1,107979.0
102366,s101438b,k,rk32.473,2451370.88515,1.03,1.098486,-1,103787.0
102367,s101438b,k,rk32.639,2451371.886389,1.22,1.495168,-1,58795.0
102368,s101438b,k,rk32.778,2451372.774167,-1.60,1.290574,-1,120344.0
102369,s101438b,k,rk32.998,2451373.773669,5.39,1.401995,-1,77529.0
102370,s101438b,k,rk33.315,2451411.750694,-2.84,1.136367,-1,123555.0
102371,s101438b,k,rk38.258,2451552.169734,-3.89,1.127669,-1,87923.0
102372,s101438b,k,rk39.112,2451581.133333,5.13,1.260466,-1,114693.0
102373,s101438b,k,rk39.234,2451582.121007,3.44,1.190037,-1,93829.0
102374,s101438b,k,rk39.343,2451583.07934,-1.08,1.23662,-1,64062.0
102375,s101438b,k,rk39.478,2451584.110706,2.56,1.187647,-1,105507.0
102376,s101438b,k,rk39.556,2451585.141169,3.72,1.009495,-1,151709.0
102377,s101438b,k,rk39.676,2451586.124861,-2.17,1.136075,-1,113210.0
102378,s101438b,k,rk40.25,2451678.958981,-2.76,1.363652,-1,53658.0
102379,s101438b,k,rk40.28,2451678.973565,0.69,2.584742,-1,12507.0
102380,s101438b,k,rk40.155,2451680.046007,4.62,1.241057,-1,97833.0
102381,s101438b,k,rk41.30,2451702.926053,-6.22,1.304408,-1,95143.0
102382,s101438b,k,rk41.120,2451703.860579,-4.14,1.399857,-1,88960.0
102383,s101438b,k,rk41.236,2451704.90662,-2.88,1.278484,-1,80780.0
102384,s101438b,k,rk41.422,2451705.889803,0.26,1.276308,-1,91894.0
102385,s101438b,k,rk43.148,2451755.775278,0.30,1.238502,-1,106448.0
102386,s101438b,k,rk45.224,2451795.768391,-1.35,1.236095,-1,76921.0
102387,s101438b,k,rk51.128,2452006.999491,0.63,1.423046,-1,96160.0
102388,s101438b,k,rk54.43,2452094.824109,0.38,1.406492,-1,87750.0
102389,s101438b,k,rk54.1038,2452100.82338,-0.45,1.504313,-1,89848.0
102390,s101438b,k,rk55.226,2452128.777731,1.57,1.444562,-1,84995.0
102391,s101438b,k,rk62.40,2452363.068194,-1.54,1.297145,-1,97733.0
102392,s101438b,k,rk63.50,2452390.005336,-1.84,1.616544,-1,85575.0
102393,s101438b,k,rk64.49,2452445.845035,-2.65,1.372192,-1,108030.0
102394,s101438b,k,rk65.41,2452486.829711,-1.33,1.343317,-1,88339.0
102395,s101438b,k,rk67.224,2452536.713657,-1.57,1.340157,-1,99081.0
102396,s101438b,k,rk71.165,2452683.115,-5.55,1.410001,-1,96492.0
102397,s101438b,k,rk72.109,2452712.049097,-3.85,1.273541,-1,83647.0
102398,s101438b,k,rk73.89,2452776.973391,-1.38,1.508716,-1,105714.0
102399,s101438b,k,rk74.265,2452804.972697,-3.97,1.438192,-1,98025.0
102400,s101438b,k,rk75.644,2452833.844444,2.40,1.41103,-1,96611.0
102401,s101438b,k,rk76.34,2452848.798021,4.47,1.433325,-1,92225.0
102402,s101438b,k,rk88.255,2453196.84809,-0.71,1.348092,-1,86382.0
