Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
100952,s11844,j,rj01.457,2453239.06588,10.78,1.951198,0.165,107780.0
100953,s11844,j,rj21.493,2453961.075891,12.25,1.889608,0.166,80571.0
100954,s11844,j,rj41.3039,2454312.094352,1.68,1.756576,0.166,65705.0
100955,s11844,j,rj41.3431,2454313.070451,4.77,2.42087,0.166,33441.0
100956,s11844,j,rj41.3841,2454314.067176,5.28,1.76202,0.166,50754.0
100957,s11844,j,rj43.4209,2454339.108588,4.60,1.797425,0.168,67000.0
100958,s11844,j,rj158.513,2456174.082833,-10.11,1.965301,0.164,45417.0
100959,s11844,j,rj158.725,2456175.070742,-12.01,2.740564,0.164,22456.0
100960,s11844,j,rj222.696,2457414.824334,-4.94,3.24091,0.1653,26189.0
100961,s11844,j,rj302.115,2458364.132565,-15.15,2.631141,0.1651,22795.0
