Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
99820,s122446,k,rk20.84,2450955.064109,3.08,1.445037,-1,58067.0
99821,s122446,k,rk20.270,2450956.976956,-2.82,1.497321,-1,48680.0
99822,s122446,k,rk21.33,2450981.853079,1.86,1.473897,-1,58434.0
99823,s122446,k,rk24.31,2451050.795197,-1.14,1.441759,-1,62144.0
99824,s122446,k,rk30.255,2451313.024456,2.71,1.475148,-1,54465.0
99825,s122446,k,rk32.32,2451367.82485,4.64,1.589458,-1,51362.0
99826,s122446,k,rk33.201,2451410.810961,-1.05,1.641194,-1,46637.0
99827,s122446,k,rk41.135,2451703.936713,-3.25,1.584847,-1,45057.0
99828,s122446,k,rk50.195,2452004.105637,0.09,1.624778,-1,58408.0
99829,s122446,k,rk54.453,2452097.921042,2.20,1.672762,-1,68655.0
99830,s122446,k,rk64.60,2452445.887917,1.09,1.64152,-1,81351.0
99831,s122446,k,rk64.171,2452446.895185,-1.98,2.285121,-1,15805.0
99832,s122446,k,rk67.436,2452537.780486,-4.39,1.712129,-1,85980.0
99833,s122446,k,rk73.198,2452778.003565,-15.07,2.394375,-1,17288.0
99834,s122446,k,rk74.50,2452803.937141,-5.09,1.680809,-1,80785.0
99835,s122446,k,rk76.231,2452849.843831,-1.62,1.904834,-1,60608.0
99836,s122446,k,rk85.87,2453153.985475,9.23,1.75024,-1,82035.0
