HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD114613,2458156.84486,-1.11,0.95,PFS-Post,0.1429,0.00016,-1.0000,-1.0000,rn41.247
HD114613,2458156.84621,-0.59,0.97,PFS-Post,0.1434,0.00016,-1.0000,-1.0000,rn41.248
HD114613,2458156.84758,-0.48,0.95,PFS-Post,0.1430,0.00016,-1.0000,-1.0000,rn41.249
HD114613,2458156.84893,0.09,1.04,PFS-Post,0.1441,0.00017,-1.0000,-1.0000,rn41.250
HD114613,2458156.85031,0.65,0.99,PFS-Post,0.1422,0.00016,-1.0000,-1.0000,rn41.251
HD114613,2458203.73899,4.46,0.85,PFS-Post,0.1253,0.00013,-1.0000,-1.0000,rn42.105
HD114613,2458203.74039,3.60,0.87,PFS-Post,0.1254,0.00012,-1.0000,-1.0000,rn42.106
HD114613,2458203.74182,2.07,0.90,PFS-Post,0.1263,0.00013,-1.0000,-1.0000,rn42.107
HD114613,2458203.74324,-0.33,0.93,PFS-Post,0.1257,0.00015,-1.0000,-1.0000,rn42.108
HD114613,2458203.74465,-2.50,0.87,PFS-Post,0.1257,0.00015,-1.0000,-1.0000,rn42.109
HD114613,2458203.74605,-1.37,0.87,PFS-Post,0.1261,0.00015,-1.0000,-1.0000,rn42.110
HD114613,2458204.79832,-1.32,0.91,PFS-Post,0.1336,0.00028,-1.0000,-1.0000,rn42.269
HD114613,2458204.80002,-0.98,0.86,PFS-Post,0.1310,0.0003,-1.0000,-1.0000,rn42.270
HD114613,2458204.80142,-0.14,0.89,PFS-Post,0.1306,0.00028,-1.0000,-1.0000,rn42.271
HD114613,2458204.80283,2.00,0.86,PFS-Post,0.1307,0.00024,-1.0000,-1.0000,rn42.272
HD114613,2458204.80426,1.73,0.91,PFS-Post,0.1328,0.0003,-1.0000,-1.0000,rn42.273
HD114613,2458204.80582,2.40,0.93,PFS-Post,0.1342,0.00032,-1.0000,-1.0000,rn42.274
HD114613,2458205.77824,-3.56,0.92,PFS-Post,0.1262,0.0002,-1.0000,-1.0000,rn42.425
HD114613,2458205.77964,-4.79,0.90,PFS-Post,0.1277,0.00021,-1.0000,-1.0000,rn42.426
HD114613,2458205.78109,-5.44,0.91,PFS-Post,0.1280,0.00021,-1.0000,-1.0000,rn42.427
HD114613,2458205.78284,-3.75,0.92,PFS-Post,0.1272,0.00024,-1.0000,-1.0000,rn42.428
HD114613,2458205.78426,-0.56,0.87,PFS-Post,0.1288,0.00025,-1.0000,-1.0000,rn42.429
HD114613,2458205.78569,-2.56,0.86,PFS-Post,0.1282,0.00022,-1.0000,-1.0000,rn42.430
HD114613,2458206.80602,-1.13,0.86,PFS-Post,0.1246,0.00013,-1.0000,-1.0000,rn42.594
HD114613,2458206.80741,-0.98,0.90,PFS-Post,0.1260,0.00015,-1.0000,-1.0000,rn42.595
HD114613,2458206.80885,-3.18,0.84,PFS-Post,0.1257,0.00014,-1.0000,-1.0000,rn42.596
HD114613,2458206.81206,-2.51,0.87,PFS-Post,0.1261,0.00014,-1.0000,-1.0000,rn42.597
HD114613,2458206.81348,-3.23,0.84,PFS-Post,0.1252,0.00014,-1.0000,-1.0000,rn42.598
HD114613,2458206.81491,-4.36,0.80,PFS-Post,0.1255,0.00015,-1.0000,-1.0000,rn42.599
HD114613,2458207.77436,-1.11,0.86,PFS-Post,0.1267,0.00017,-1.0000,-1.0000,rn42.748
HD114613,2458207.77584,-1.99,0.89,PFS-Post,0.1263,0.00015,-1.0000,-1.0000,rn42.749
HD114613,2458207.77865,-2.67,0.84,PFS-Post,0.1260,0.00016,-1.0000,-1.0000,rn42.750
HD114613,2458207.78006,-3.32,0.89,PFS-Post,0.1259,0.00015,-1.0000,-1.0000,rn42.751
HD114613,2458207.78182,-0.71,0.87,PFS-Post,0.1251,0.00015,-1.0000,-1.0000,rn42.752
HD114613,2458207.78327,0.15,0.89,PFS-Post,0.1265,0.00016,-1.0000,-1.0000,rn42.753
HD114613,2458208.70842,-1.50,0.92,PFS-Post,0.1248,0.00014,-1.0000,-1.0000,rn42.904
HD114613,2458208.70972,-3.83,0.90,PFS-Post,0.1247,0.00014,-1.0000,-1.0000,rn42.905
HD114613,2458208.71102,-6.38,0.92,PFS-Post,0.1242,0.00014,-1.0000,-1.0000,rn42.906
HD114613,2458208.71236,-6.88,0.90,PFS-Post,0.1252,0.00013,-1.0000,-1.0000,rn42.907
HD114613,2458208.71368,-7.97,0.87,PFS-Post,0.1243,0.00013,-1.0000,-1.0000,rn42.908
HD114613,2458208.71499,-5.94,0.92,PFS-Post,0.1236,0.00013,-1.0000,-1.0000,rn42.909
HD114613,2458209.71899,-1.35,0.94,PFS-Post,0.1239,0.00018,-1.0000,-1.0000,rn42.1081
HD114613,2458209.72012,-0.32,0.93,PFS-Post,0.1258,0.0002,-1.0000,-1.0000,rn42.1082
HD114613,2458209.72125,-0.40,0.96,PFS-Post,0.1245,0.00018,-1.0000,-1.0000,rn42.1083
HD114613,2458209.72236,-1.33,0.97,PFS-Post,0.1241,0.00018,-1.0000,-1.0000,rn42.1084
HD114613,2458209.72351,-2.68,0.90,PFS-Post,0.1253,0.00018,-1.0000,-1.0000,rn42.1085
HD114613,2458209.72464,-4.00,0.91,PFS-Post,0.1242,0.00018,-1.0000,-1.0000,rn42.1086
HD114613,2458209.72579,-3.89,0.91,PFS-Post,0.1249,0.00018,-1.0000,-1.0000,rn42.1087
HD114613,2458527.86332,-2.10,1.08,PFS-Post,0.1527,0.00085,-1.0000,-1.0000,rn50.524
HD114613,2458527.86457,-0.43,1.06,PFS-Post,0.1405,0.00057,-1.0000,-1.0000,rn50.525
HD114613,2458527.86602,-0.06,1.12,PFS-Post,0.1403,0.00056,-1.0000,-1.0000,rn50.526
HD114613,2458527.86745,-1.55,1.09,PFS-Post,0.1413,0.00059,-1.0000,-1.0000,rn50.527
HD114613,2458527.86880,-0.53,1.12,PFS-Post,0.1412,0.00058,-1.0000,-1.0000,rn50.528
HD114613,2458913.88078,3.22,1.20,PFS-Post,0.1348,0.00044,-1.0000,-1.0000,rn57.563
HD114613,2458913.88230,1.52,1.13,PFS-Post,0.1371,0.00047,-1.0000,-1.0000,rn57.564
HD114613,2458913.88349,-1.95,1.17,PFS-Post,0.1372,0.00047,-1.0000,-1.0000,rn57.565
HD114613,2458913.88469,-1.63,1.13,PFS-Post,0.1369,0.00046,-1.0000,-1.0000,rn57.566
HD114613,2458913.88590,-3.15,1.19,PFS-Post,0.1395,0.00047,-1.0000,-1.0000,rn57.567
HD114613,2458913.88709,-2.92,1.22,PFS-Post,0.1432,0.00062,-1.0000,-1.0000,rn57.568
HD114613,2458922.83724,8.59,1.23,PFS-Post,0.1352,0.00054,-1.0000,-1.0000,rn57.3753
HD114613,2458922.83831,10.75,1.25,PFS-Post,0.1413,0.0007,-1.0000,-1.0000,rn57.3754
HD114613,2458922.83939,7.73,1.35,PFS-Post,0.1506,0.00086,-1.0000,-1.0000,rn57.3755
HD114613,2458922.84049,6.29,1.48,PFS-Post,0.1792,0.0014,-1.0000,-1.0000,rn57.3756
HD114613,2458922.84160,9.35,1.59,PFS-Post,0.2107,0.0021,-1.0000,-1.0000,rn57.3757
HD114613,2458922.84264,1.49,1.88,PFS-Post,0.2300,0.0022,-1.0000,-1.0000,rn57.3758
HD114613,2458922.84375,4.37,1.37,PFS-Post,0.1651,0.0011,-1.0000,-1.0000,rn57.3759
HD114613,2459360.63469,0.04,1.19,PFS-Post,0.1363,0.00038,-1.0000,-1.0000,rn60.2664
HD114613,2459360.63590,2.77,1.14,PFS-Post,0.1392,0.00045,-1.0000,-1.0000,rn60.2665
HD114613,2459360.63707,5.24,1.30,PFS-Post,0.1498,0.00072,-1.0000,-1.0000,rn60.2666
HD114613,2459360.63827,3.53,1.22,PFS-Post,0.1439,0.00058,-1.0000,-1.0000,rn60.2667
