HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD136352,2454246.93813,0.43,1.20,HIRES-Post,0.1732,3.6e-06,-1.0000,-1.0000,rj32.171
HD136352,2454246.93894,0.52,1.17,HIRES-Post,0.1738,3.6e-06,-1.0000,-1.0000,rj32.172
HD136352,2454247.93882,-1.46,1.29,HIRES-Post,0.1664,3.1e-06,-1.0000,-1.0000,rj32.543
HD136352,2454247.94050,1.97,1.31,HIRES-Post,0.1720,3.1e-06,-1.0000,-1.0000,rj32.544
HD136352,2454248.89965,2.66,1.36,HIRES-Post,0.1658,5.6e-06,-1.0000,-1.0000,rj32.938
HD136352,2454251.84889,5.83,1.35,HIRES-Post,0.1746,3.2e-06,-1.0000,-1.0000,rj32.2130
HD136352,2454255.83251,4.43,1.34,HIRES-Post,0.1755,4.7e-06,-1.0000,-1.0000,rj33.153
HD136352,2454255.83322,5.90,1.23,HIRES-Post,0.1858,5e-06,-1.0000,-1.0000,rj33.154
HD136352,2454277.77953,-1.80,1.32,HIRES-Post,0.1652,3.2e-06,-1.0000,-1.0000,rj35.226
HD136352,2454278.79227,0.34,1.30,HIRES-Post,0.1748,4e-06,-1.0000,-1.0000,rj35.425
HD136352,2454279.79439,-0.15,1.36,HIRES-Post,0.1651,3e-06,-1.0000,-1.0000,rj35.832
HD136352,2454304.74874,-1.56,1.05,HIRES-Post,0.1619,2.8e-06,-1.0000,-1.0000,rj41.113
HD136352,2454304.74975,-4.68,1.03,HIRES-Post,0.1662,2.9e-06,-1.0000,-1.0000,rj41.114
HD136352,2454305.74206,-3.86,0.95,HIRES-Post,0.1495,2.5e-06,-1.0000,-1.0000,rj41.508
HD136352,2454305.74286,-5.54,1.04,HIRES-Post,0.1524,2.6e-06,-1.0000,-1.0000,rj41.509
HD136352,2454306.80144,-2.04,1.07,HIRES-Post,0.1582,2.5e-06,-1.0000,-1.0000,rj41.915
HD136352,2454307.78513,-4.39,1.02,HIRES-Post,0.1806,4e-06,-1.0000,-1.0000,rj41.1328
HD136352,2454307.78596,-4.53,0.94,HIRES-Post,0.1797,3.4e-06,-1.0000,-1.0000,rj41.1329
HD136352,2454308.78880,0.04,0.91,HIRES-Post,0.1787,4e-06,-1.0000,-1.0000,rj41.1727
HD136352,2454308.78975,-0.17,0.87,HIRES-Post,0.1859,4.2e-06,-1.0000,-1.0000,rj41.1728
HD136352,2454309.80011,-0.19,0.99,HIRES-Post,0.1810,6e-06,-1.0000,-1.0000,rj41.2123
HD136352,2454309.80094,-1.50,0.94,HIRES-Post,0.1719,5.6e-06,-1.0000,-1.0000,rj41.2124
HD136352,2454310.79655,-0.51,0.97,HIRES-Post,0.1710,7.3e-06,-1.0000,-1.0000,rj41.2521
HD136352,2454310.79738,-2.01,1.00,HIRES-Post,0.1910,7.2e-06,-1.0000,-1.0000,rj41.2522
HD136352,2454311.78891,-0.95,0.99,HIRES-Post,0.1785,4.7e-06,-1.0000,-1.0000,rj41.2920
HD136352,2454311.78975,0.75,0.97,HIRES-Post,0.1656,4e-06,-1.0000,-1.0000,rj41.2921
HD136352,2454312.78628,-2.16,1.06,HIRES-Post,0.1763,3.8e-06,-1.0000,-1.0000,rj41.3324
HD136352,2454312.78706,-1.81,0.99,HIRES-Post,0.1758,4.1e-06,-1.0000,-1.0000,rj41.3325
HD136352,2454313.78882,-1.28,1.14,HIRES-Post,0.1862,5.4e-06,-1.0000,-1.0000,rj41.3719
HD136352,2454313.78982,-1.10,1.06,HIRES-Post,0.1940,5.3e-06,-1.0000,-1.0000,rj41.3720
HD136352,2454314.78996,-5.40,1.02,HIRES-Post,0.1574,3.9e-06,-1.0000,-1.0000,rj41.4119
HD136352,2454314.79124,-6.38,1.03,HIRES-Post,0.1586,4.4e-06,-1.0000,-1.0000,rj41.4120
HD136352,2454491.16804,-4.04,1.34,HIRES-Post,0.1628,3.6e-06,-1.0000,-1.0000,rj51.244
HD136352,2454601.91921,2.89,1.43,HIRES-Post,0.1736,3.1e-06,-1.0000,-1.0000,rj54.466
HD136352,2455015.85548,-3.11,1.50,HIRES-Post,0.1776,5e-06,-1.0000,-1.0000,rq18.414
HD136352,2455024.84098,4.43,1.23,HIRES-Post,0.1921,6.9e-06,-1.0000,-1.0000,rj65.1219
HD136352,2455024.84183,6.47,1.24,HIRES-Post,0.1781,4.9e-06,-1.0000,-1.0000,rj65.1220
HD136352,2455024.84266,6.59,1.28,HIRES-Post,0.1760,4.8e-06,-1.0000,-1.0000,rj65.1221
HD136352,2455260.16475,-1.10,1.39,HIRES-Post,0.1707,3.7e-06,-1.0000,-1.0000,rj70.1003
HD136352,2455286.03952,-4.65,1.46,HIRES-Post,0.1614,4e-06,-1.0000,-1.0000,rq30.489
HD136352,2455721.89875,5.23,2.15,HIRES-Post,0.1537,9.1e-06,-1.0000,-1.0000,rj82.831
HD136352,2455721.90536,2.12,1.60,HIRES-Post,0.1522,3.9e-06,-1.0000,-1.0000,rj82.832
HD136352,2455721.91184,2.30,2.88,HIRES-Post,0.1582,1.5e-05,-1.0000,-1.0000,rj82.833
HD136352,2456145.76151,-5.92,1.28,HIRES-Post,0.1623,5.6e-06,-1.0000,-1.0000,rq60.497
HD136352,2456880.75231,11.46,1.50,HIRES-Post,0.1385,2.5e-06,-1.0000,-1.0000,rq72.4450
