HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD156026,2457814.06375,-3.08,1.10,APF,0.5608,0.003,-1.0000,-1.0000,rl16.632
HD156026,2457814.07130,-6.51,1.14,APF,0.5787,0.0031,-1.0000,-1.0000,rl16.633
HD156026,2457826.03869,-2.54,1.19,APF,0.5627,0.003,-1.0000,-1.0000,rl16.1520
HD156026,2457826.04629,-2.00,1.10,APF,0.5641,0.0029,-1.0000,-1.0000,rl16.1521
HD156026,2457828.05601,-2.48,1.16,APF,0.5711,0.0028,-1.0000,-1.0000,rl16.1728
HD156026,2457828.06336,-3.11,1.09,APF,0.5685,0.0028,-1.0000,-1.0000,rl16.1729
HD156026,2457842.00415,-2.98,1.53,APF,0.5483,0.0033,-1.0000,-1.0000,rl16.3713
HD156026,2457846.95360,-0.14,1.24,APF,0.5481,0.003,-1.0000,-1.0000,rl16.4501
HD156026,2457846.96460,-1.65,1.28,APF,0.5540,0.003,-1.0000,-1.0000,rl16.4502
HD156026,2457874.87867,-1.65,1.43,APF,0.5505,0.0031,-1.0000,-1.0000,rl16.6750
HD156026,2457876.87572,0.82,1.12,APF,0.5606,0.0029,-1.0000,-1.0000,rl16.7004
HD156026,2457883.87970,-3.91,1.23,APF,0.5332,0.0031,-1.0000,-1.0000,rl16.7602
HD156026,2457888.85129,0.64,1.36,APF,0.5330,0.0033,-1.0000,-1.0000,rl16.7992
HD156026,2457892.89594,-4.34,1.12,APF,0.5613,0.003,-1.0000,-1.0000,rl16.8216
HD156026,2457895.82922,-1.61,1.15,APF,0.5614,0.0029,-1.0000,-1.0000,rl16.8397
HD156026,2457898.84865,1.18,1.32,APF,0.5505,0.0032,-1.0000,-1.0000,rl16.8587
HD156026,2457898.85616,-0.12,1.18,APF,0.5432,0.003,-1.0000,-1.0000,rl16.8588
HD156026,2457898.86342,1.10,1.18,APF,0.5560,0.003,-1.0000,-1.0000,rl16.8589
HD156026,2457902.89373,-3.36,1.16,APF,0.5648,0.0029,-1.0000,-1.0000,rl16.9001
HD156026,2457906.81001,-0.01,1.17,APF,0.5680,0.003,-1.0000,-1.0000,rl16.9389
HD156026,2457908.80697,-6.29,1.18,APF,0.5677,0.0027,-1.0000,-1.0000,rl16.9584
HD156026,2457910.78461,-3.75,1.21,APF,0.5454,0.0031,-1.0000,-1.0000,rl16.9790
HD156026,2457920.75409,-2.10,1.27,APF,0.5663,0.0029,-1.0000,-1.0000,rl17.377
HD156026,2457925.76146,-0.18,1.44,APF,0.5458,0.003,-1.0000,-1.0000,rl17.777
HD156026,2457926.79015,-1.01,1.22,APF,0.5599,0.0028,-1.0000,-1.0000,rl17.979
HD156026,2457929.76974,-5.79,1.27,APF,0.5337,0.0031,-1.0000,-1.0000,rl17.1174
HD156026,2457932.72093,-2.24,1.26,APF,0.5381,0.003,-1.0000,-1.0000,rl17.1475
HD156026,2457935.73044,-5.21,1.28,APF,0.5613,0.0028,-1.0000,-1.0000,rl17.1871
HD156026,2457947.69726,-0.60,1.23,APF,0.5688,0.0028,-1.0000,-1.0000,rl17.2669
HD156026,2457955.69397,-8.84,1.16,APF,0.5640,0.0027,-1.0000,-1.0000,rl17.3269
HD156026,2457957.69274,-3.59,1.05,APF,0.5644,0.0028,-1.0000,-1.0000,rl17.3469
HD156026,2457960.69018,-5.08,1.27,APF,0.5605,0.0028,-1.0000,-1.0000,rl17.3671
HD156026,2457963.68819,-1.74,1.27,APF,0.5636,0.0027,-1.0000,-1.0000,rl17.3871
HD156026,2457965.68709,-0.20,1.15,APF,0.5713,0.0027,-1.0000,-1.0000,rl17.4071
HD156026,2457970.67988,-2.76,1.14,APF,0.5567,0.0029,-1.0000,-1.0000,rl17.4470
HD156026,2458168.06988,-2.44,1.43,APF,0.5486,0.0032,-1.0000,-1.0000,rl19.1220
HD156026,2458206.97139,-2.00,1.11,APF,0.5737,0.003,-1.0000,-1.0000,rl19.4126
HD156026,2458209.00094,1.17,1.03,APF,0.5814,0.0028,-1.0000,-1.0000,rl19.4416
HD156026,2458239.89654,0.47,1.30,APF,0.5589,0.0029,-1.0000,-1.0000,rl19.7083
HD156026,2458243.87548,5.38,2.25,APF,0.4646,0.0034,-1.0000,-1.0000,rl19.7499
HD156026,2458246.95938,1.41,1.22,APF,0.5863,0.0028,-1.0000,-1.0000,rl19.7720
HD156026,2458252.93508,0.52,1.11,APF,0.5733,0.0028,-1.0000,-1.0000,rl19.8405
HD156026,2458591.98982,-4.27,1.17,APF,0.5842,0.0028,-1.0000,-1.0000,rl23.6509
HD156026,2458603.95595,3.24,1.15,APF,0.5823,0.0028,-1.0000,-1.0000,rl23.7488
HD156026,2458608.93880,-1.96,1.35,APF,0.5915,0.003,-1.0000,-1.0000,rl23.7904
HD156026,2458613.92757,-1.31,1.89,APF,0.5289,0.0035,-1.0000,-1.0000,rl23.8532
HD156026,2458613.93548,-2.44,2.16,APF,0.4932,0.0035,-1.0000,-1.0000,rl23.8533
HD156026,2458615.86103,-1.12,1.21,APF,0.5742,0.003,-1.0000,-1.0000,rl23.9088
HD156026,2458616.87366,-0.73,1.54,APF,0.5176,0.0033,-1.0000,-1.0000,rl23.9286
HD156026,2458616.88704,2.01,1.92,APF,0.4762,0.0034,-1.0000,-1.0000,rl23.9287
HD156026,2458643.94260,2.08,1.34,APF,0.5474,0.0032,-1.0000,-1.0000,rl24.1996
