HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD207129,2455803.67216,-2.27,1.44,PFS-Pre,0.1508,0.00049,-1.0000,-1.0000,rn08.2762
HD207129,2455803.67431,0.03,1.51,PFS-Pre,0.1468,0.00048,-1.0000,-1.0000,rn08.2763
HD207129,2455847.59967,2.21,1.42,PFS-Pre,0.1494,0.00055,-1.0000,-1.0000,rn09.756
HD207129,2456146.76069,-5.27,3.02,PFS-Pre,0.1714,0.0016,-1.0000,-1.0000,rn12.917
HD207129,2456173.70434,-3.34,1.40,PFS-Pre,0.1432,0.00023,-1.0000,-1.0000,rn13.72
HD207129,2456437.81708,-3.31,1.25,PFS-Pre,0.1434,0.00036,-1.0000,-1.0000,rn16.1271
HD207129,2456437.81925,-3.15,1.15,PFS-Pre,0.1444,0.00036,-1.0000,-1.0000,rn16.1272
HD207129,2456437.82140,-5.37,1.23,PFS-Pre,0.1446,0.00036,-1.0000,-1.0000,rn16.1273
HD207129,2456502.80646,0.71,1.44,PFS-Pre,0.1500,0.00054,-1.0000,-1.0000,rn17.278
HD207129,2456502.81073,-2.02,1.39,PFS-Pre,0.1504,0.00056,-1.0000,-1.0000,rn17.279
HD207129,2456554.59060,-2.92,1.38,PFS-Pre,0.1451,0.00038,-1.0000,-1.0000,rn18.653
HD207129,2456554.59424,-2.66,1.40,PFS-Pre,0.1457,0.00037,-1.0000,-1.0000,rn18.654
HD207129,2456606.53476,6.37,1.39,PFS-Pre,0.1455,0.00041,-1.0000,-1.0000,rn19.663
HD207129,2456818.85450,-2.09,1.30,PFS-Pre,0.1481,0.00047,-1.0000,-1.0000,rn22.509
HD207129,2456818.85596,1.90,1.26,PFS-Pre,0.1488,0.00048,-1.0000,-1.0000,rn22.510
HD207129,2456818.85747,0.11,1.28,PFS-Pre,0.1466,0.00046,-1.0000,-1.0000,rn22.511
HD207129,2456883.72327,-0.26,1.44,PFS-Pre,0.1497,0.00031,-1.0000,-1.0000,rn23.1561
HD207129,2456883.72490,0.18,1.46,PFS-Pre,0.1504,0.00032,-1.0000,-1.0000,rn23.1562
HD207129,2456883.72653,2.29,1.37,PFS-Pre,0.1530,0.00031,-1.0000,-1.0000,rn23.1563
HD207129,2457200.87006,2.48,1.25,PFS-Pre,0.1519,0.00032,-1.0000,-1.0000,rn27.703
HD207129,2457200.87172,5.22,1.19,PFS-Pre,0.1572,0.00046,-1.0000,-1.0000,rn27.704
HD207129,2457200.87315,4.26,1.33,PFS-Pre,0.1530,0.00044,-1.0000,-1.0000,rn27.705
HD207129,2457259.72298,-2.96,1.39,PFS-Pre,0.1552,0.00048,-1.0000,-1.0000,rn28.597
HD207129,2457259.72590,-2.00,1.22,PFS-Pre,0.1538,0.00047,-1.0000,-1.0000,rn28.598
HD207129,2457319.56868,1.87,3.95,PFS-Pre,0.3485,0.0037,-1.0000,-1.0000,rn29.70
HD207129,2457554.89426,-2.18,1.40,PFS-Pre,0.1523,0.0004,-1.0000,-1.0000,rn35.263
HD207129,2457554.89638,2.27,1.35,PFS-Pre,0.1495,0.0004,-1.0000,-1.0000,rn35.264
HD207129,2457620.64174,-2.67,1.23,PFS-Pre,0.1500,0.00022,-1.0000,-1.0000,rn36.1221
