HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD209100,2457180.90202,-31.42,0.71,HARPS-Post,0.6207,0.0028,-1.0000,-1.0000,2015-06-07T09:32:48
HD209100,2457180.90418,-31.33,0.71,HARPS-Post,0.6150,0.0024,-1.0000,-1.0000,2015-06-07T09:35:50
HD209100,2457180.90624,-31.95,0.71,HARPS-Post,0.6157,0.0025,-1.0000,-1.0000,2015-06-07T09:38:51
HD209100,2457180.90837,-31.29,0.71,HARPS-Post,0.6191,0.0027,-1.0000,-1.0000,2015-06-07T09:41:52
HD209100,2457180.91045,-31.40,0.71,HARPS-Post,0.6106,0.0027,-1.0000,-1.0000,2015-06-07T09:44:54
HD209100,2457180.91257,-31.45,0.71,HARPS-Post,0.6121,0.0028,-1.0000,-1.0000,2015-06-07T09:47:56
HD209100,2457183.81042,-29.72,0.60,HARPS-Post,0.6871,0.0041,-1.0000,-1.0000,2015-06-10T07:20:00
HD209100,2457183.81332,-30.16,0.64,HARPS-Post,0.6660,0.0055,-1.0000,-1.0000,2015-06-10T07:25:13
HD209100,2457183.81488,-29.44,0.65,HARPS-Post,0.6700,0.0059,-1.0000,-1.0000,2015-06-10T07:27:25
HD209100,2457183.81637,-28.82,0.64,HARPS-Post,0.6586,0.0049,-1.0000,-1.0000,2015-06-10T07:29:38
HD209100,2457183.81791,-29.43,0.65,HARPS-Post,0.6750,0.0051,-1.0000,-1.0000,2015-06-10T07:31:50
HD209100,2457183.81951,-29.40,0.65,HARPS-Post,0.6664,0.0058,-1.0000,-1.0000,2015-06-10T07:34:03
HD209100,2457183.82097,-29.32,0.67,HARPS-Post,0.6610,0.0056,-1.0000,-1.0000,2015-06-10T07:36:15
HD209100,2457196.93327,-36.67,1.01,HARPS-Post,0.6462,0.0026,-1.0000,-1.0000,2015-06-23T10:15:17
HD209100,2457196.93704,-37.31,1.01,HARPS-Post,0.6439,0.0028,-1.0000,-1.0000,2015-06-23T10:20:49
HD209100,2457196.94099,-37.87,1.01,HARPS-Post,0.6441,0.0027,-1.0000,-1.0000,2015-06-23T10:26:21
HD209100,2457204.81127,-36.25,0.81,HARPS-Post,0.6321,0.0031,-1.0000,-1.0000,2015-07-01T07:20:23
HD209100,2457204.81334,-36.27,0.81,HARPS-Post,0.6385,0.0038,-1.0000,-1.0000,2015-07-01T07:23:25
HD209100,2457204.81547,-36.70,0.81,HARPS-Post,0.6285,0.003,-1.0000,-1.0000,2015-07-01T07:26:26
HD209100,2457204.81753,-36.40,0.81,HARPS-Post,0.6319,0.003,-1.0000,-1.0000,2015-07-01T07:29:27
HD209100,2457204.81964,-35.92,0.81,HARPS-Post,0.6377,0.0032,-1.0000,-1.0000,2015-07-01T07:32:28
HD209100,2457204.82179,-35.87,0.81,HARPS-Post,0.6353,0.0035,-1.0000,-1.0000,2015-07-01T07:35:29
HD209100,2457256.71080,-33.48,0.62,HARPS-Post,0.6116,0.0035,-1.0000,-1.0000,2015-08-22T04:53:47
HD209100,2457256.71450,-33.85,0.61,HARPS-Post,0.6113,0.0026,-1.0000,-1.0000,2015-08-22T04:59:19
HD209100,2457256.71833,-33.82,0.61,HARPS-Post,0.6118,0.003,-1.0000,-1.0000,2015-08-22T05:04:50
HD209100,2457260.77605,-37.12,0.72,HARPS-Post,0.6166,0.0026,-1.0000,-1.0000,2015-08-26T06:28:03
HD209100,2457260.77985,-37.77,0.72,HARPS-Post,0.6138,0.0027,-1.0000,-1.0000,2015-08-26T06:33:34
HD209100,2457291.68572,-38.96,0.49,HARPS-Post,0.5856,0.0029,-1.0000,-1.0000,2015-09-26T04:20:49
HD209100,2457291.68838,-38.21,0.49,HARPS-Post,0.5945,0.0033,-1.0000,-1.0000,2015-09-26T04:24:40
HD209100,2457291.69103,-37.96,0.49,HARPS-Post,0.5906,0.0029,-1.0000,-1.0000,2015-09-26T04:28:31
HD209100,2457291.69383,-38.44,0.49,HARPS-Post,0.5850,0.0031,-1.0000,-1.0000,2015-09-26T04:32:32
HD209100,2457293.58895,-36.85,0.62,HARPS-Post,0.5624,0.0034,-1.0000,-1.0000,2015-09-28T02:02:37
HD209100,2457293.59038,-36.70,0.62,HARPS-Post,0.5750,0.0035,-1.0000,-1.0000,2015-09-28T02:04:38
HD209100,2457293.59177,-37.34,0.62,HARPS-Post,0.5669,0.0035,-1.0000,-1.0000,2015-09-28T02:06:39
HD209100,2457293.59319,-37.25,0.62,HARPS-Post,0.5724,0.0034,-1.0000,-1.0000,2015-09-28T02:08:40
HD209100,2457293.59459,-36.92,0.62,HARPS-Post,0.5756,0.0033,-1.0000,-1.0000,2015-09-28T02:10:41
HD209100,2457293.59599,-36.99,0.62,HARPS-Post,0.5647,0.0029,-1.0000,-1.0000,2015-09-28T02:12:42
HD209100,2457293.59739,-37.45,0.62,HARPS-Post,0.5739,0.0033,-1.0000,-1.0000,2015-09-28T02:14:44
HD209100,2457293.59880,-37.08,0.62,HARPS-Post,0.5691,0.0032,-1.0000,-1.0000,2015-09-28T02:16:45
HD209100,2457299.65011,-36.95,0.50,HARPS-Post,0.6043,0.0044,-1.0000,-1.0000,2015-10-04T03:31:05
HD209100,2457299.65163,-37.12,0.49,HARPS-Post,0.5963,0.0044,-1.0000,-1.0000,2015-10-04T03:33:16
HD209100,2457299.65311,-37.36,0.48,HARPS-Post,0.6037,0.0036,-1.0000,-1.0000,2015-10-04T03:35:27
HD209100,2457299.65465,-36.93,0.48,HARPS-Post,0.5983,0.0038,-1.0000,-1.0000,2015-10-04T03:37:38
HD209100,2457299.65612,-37.24,0.49,HARPS-Post,0.5988,0.0046,-1.0000,-1.0000,2015-10-04T03:39:49
HD209100,2457299.65765,-36.52,0.52,HARPS-Post,0.5912,0.0046,-1.0000,-1.0000,2015-10-04T03:42:00
