HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD216803,2452423.30973,5.15,1.32,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru52.290
HD216803,2452456.28866,-14.03,1.33,UCLES,-1.0000,-1.0000,0.5508,0.0024,ru53.387
HD216803,2452598.98200,-11.17,1.53,UCLES,-1.0000,-1.0000,0.5475,0.0026,ru58.130
HD216803,2453006.97735,8.61,1.93,UCLES,-1.0000,-1.0000,0.5574,0.0041,ru67.327
HD216803,2453007.94073,18.51,2.06,UCLES,-1.0000,-1.0000,0.5509,0.0045,ru67.424
HD216803,2453214.23205,2.52,1.46,UCLES,-1.0000,-1.0000,0.5111,0.0032,ru69.48
HD216803,2453574.21675,-2.71,1.35,UCLES,-1.0000,-1.0000,0.5460,0.0026,ru76.1853
HD216803,2453574.22445,-0.41,1.45,UCLES,-1.0000,-1.0000,0.5412,0.0029,ru76.1854
HD216803,2453943.26084,-25.18,1.11,UCLES,-1.0000,-1.0000,0.5242,0.002,ru82.1103
HD216803,2453943.26740,-23.54,1.11,UCLES,-1.0000,-1.0000,0.5273,0.0019,ru82.1104
HD216803,2454015.08342,-5.01,1.44,UCLES,-1.0000,-1.0000,0.5232,0.0026,ru83.1607
HD216803,2454780.04809,1.87,1.70,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru95.990
HD216803,2455109.05803,-31.70,1.67,UCLES,-1.0000,-1.0000,0.5154,0.0027,rw02.1886
HD216803,2455172.01076,25.69,2.10,UCLES,-1.0000,-1.0000,0.5225,0.004,rw03.383
HD216803,2455172.01737,17.50,2.07,UCLES,-1.0000,-1.0000,0.5222,0.004,rw03.384
HD216803,2455172.02387,22.44,2.13,UCLES,-1.0000,-1.0000,0.5164,0.0041,rw03.385
HD216803,2455399.16748,-13.59,1.88,UCLES,-1.0000,-1.0000,0.4950,0.0041,rw09.277
HD216803,2455845.99617,5.39,1.93,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,rw21.426
HD216803,2456943.05529,-12.20,2.95,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,rw37.1904
HD216803,2456943.06270,-26.87,2.84,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,rw37.1905
HD216803,2456943.07077,-17.70,3.19,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,rw37.1906
