HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD20766,2452949.76427,6.57,1.05,HARPS-Pre,0.2570,0.0025,-1.0000,-1.0000,2003-11-06T06:16:47
HD20766,2452949.76598,6.78,1.06,HARPS-Pre,0.2603,0.0022,-1.0000,-1.0000,2003-11-06T06:19:19
HD20766,2452949.76775,7.45,1.08,HARPS-Pre,0.2574,0.0025,-1.0000,-1.0000,2003-11-06T06:21:50
HD20766,2453039.62508,19.51,1.11,HARPS-Pre,0.2580,0.0028,-1.0000,-1.0000,2004-02-04T02:59:41
HD20766,2453039.62718,18.84,1.09,HARPS-Pre,0.2616,0.0026,-1.0000,-1.0000,2004-02-04T03:02:43
HD20766,2453039.62929,17.25,1.08,HARPS-Pre,0.2504,0.0027,-1.0000,-1.0000,2004-02-04T03:05:45
HD20766,2453261.82941,21.09,1.38,HARPS-Pre,0.1680,0.043,-1.0000,-1.0000,2004-09-13T07:49:47
HD20766,2453261.83114,20.10,1.34,HARPS-Pre,0.2146,0.028,-1.0000,-1.0000,2004-09-13T07:52:18
HD20766,2453261.83294,21.04,1.36,HARPS-Pre,0.3396,0.018,-1.0000,-1.0000,2004-09-13T07:54:48
HD20766,2453306.83105,2.65,1.01,HARPS-Pre,0.2571,0.0019,-1.0000,-1.0000,2004-10-28T07:52:55
HD20766,2453306.83256,4.19,1.01,HARPS-Pre,0.2547,0.0021,-1.0000,-1.0000,2004-10-28T07:55:07
HD20766,2453306.83409,5.10,1.01,HARPS-Pre,0.2573,0.0022,-1.0000,-1.0000,2004-10-28T07:57:18
HD20766,2453361.59930,32.14,1.47,HARPS-Pre,0.2746,0.0037,-1.0000,-1.0000,2004-12-22T02:21:58
HD20766,2453362.69971,25.17,1.40,HARPS-Pre,0.2724,0.0039,-1.0000,-1.0000,2004-12-23T04:46:37
HD20766,2453363.60820,21.38,1.38,HARPS-Pre,0.2656,0.0041,-1.0000,-1.0000,2004-12-24T02:34:52
HD20766,2453430.56415,11.25,0.95,HARPS-Pre,0.2546,0.0014,-1.0000,-1.0000,2005-03-01T01:31:32
HD20766,2453430.56718,9.80,0.95,HARPS-Pre,0.2547,0.0014,-1.0000,-1.0000,2005-03-01T01:36:04
HD20766,2453430.57032,9.78,0.95,HARPS-Pre,0.2516,0.0014,-1.0000,-1.0000,2005-03-01T01:40:35
HD20766,2453624.90695,-0.24,1.10,HARPS-Pre,0.2283,0.0029,-1.0000,-1.0000,2005-09-11T09:40:10
HD20766,2453624.91106,-0.05,0.98,HARPS-Pre,0.2283,0.002,-1.0000,-1.0000,2005-09-11T09:45:41
HD20766,2453624.91499,-0.18,0.92,HARPS-Pre,0.2250,0.0015,-1.0000,-1.0000,2005-09-11T09:51:11
HD20766,2453689.65721,-6.64,0.92,HARPS-Pre,0.2125,0.00095,-1.0000,-1.0000,2005-11-15T03:41:34
HD20766,2453689.66114,-6.25,0.92,HARPS-Pre,0.2110,0.001,-1.0000,-1.0000,2005-11-15T03:47:07
HD20766,2453689.66492,-7.44,0.92,HARPS-Pre,0.2135,0.00096,-1.0000,-1.0000,2005-11-15T03:52:37
HD20766,2453690.76046,0.65,0.89,HARPS-Pre,0.2134,0.002,-1.0000,-1.0000,2005-11-16T06:11:43
HD20766,2453690.76224,2.38,0.87,HARPS-Pre,0.2148,0.0021,-1.0000,-1.0000,2005-11-16T06:14:14
HD20766,2453690.76390,1.14,0.87,HARPS-Pre,0.2128,0.002,-1.0000,-1.0000,2005-11-16T06:16:45
HD20766,2453930.94138,-6.49,0.69,HARPS-Pre,0.2214,0.0021,-1.0000,-1.0000,2006-07-14T10:32:26
HD20766,2453930.94316,-5.64,0.72,HARPS-Pre,0.2180,0.0022,-1.0000,-1.0000,2006-07-14T10:35:00
HD20766,2453930.94494,-7.88,0.72,HARPS-Pre,0.2224,0.0022,-1.0000,-1.0000,2006-07-14T10:37:35
HD20766,2453936.83583,-12.99,0.67,HARPS-Pre,0.2167,0.0019,-1.0000,-1.0000,2006-07-20T08:00:16
HD20766,2453936.83762,-13.25,0.65,HARPS-Pre,0.2161,0.002,-1.0000,-1.0000,2006-07-20T08:02:51
HD20766,2453936.83940,-14.51,0.65,HARPS-Pre,0.2161,0.0018,-1.0000,-1.0000,2006-07-20T08:05:25
HD20766,2453973.84700,-8.96,1.13,HARPS-Pre,0.2227,0.0032,-1.0000,-1.0000,2006-08-26T08:15:22
HD20766,2453973.84880,-7.86,1.07,HARPS-Pre,0.2142,0.0024,-1.0000,-1.0000,2006-08-26T08:17:59
HD20766,2453973.85062,-8.83,1.07,HARPS-Pre,0.2105,0.0025,-1.0000,-1.0000,2006-08-26T08:20:35
HD20766,2454043.62367,0.72,1.19,HARPS-Pre,0.2230,0.0033,-1.0000,-1.0000,2006-11-04T02:54:57
HD20766,2454057.63586,-11.89,1.22,HARPS-Pre,0.2109,0.0035,-1.0000,-1.0000,2006-11-18T03:13:00
HD20766,2454058.56732,-12.60,1.10,HARPS-Pre,0.2041,0.0031,-1.0000,-1.0000,2006-11-19T01:33:52
