HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD20807,2456143.91610,6.66,1.44,PFS-Pre,0.1476,0.00041,-1.0000,-1.0000,rn12.648
HD20807,2456348.52060,-0.41,1.29,PFS-Pre,0.1517,0.00053,-1.0000,-1.0000,rn15.625
HD20807,2456348.52236,0.31,1.28,PFS-Pre,0.1482,0.00055,-1.0000,-1.0000,rn15.626
HD20807,2456348.52414,3.07,1.31,PFS-Pre,0.1519,0.00058,-1.0000,-1.0000,rn15.627
HD20807,2456550.83868,-4.54,1.51,PFS-Pre,0.1507,0.00046,-1.0000,-1.0000,rn18.222
HD20807,2456553.71550,-1.15,1.50,PFS-Pre,0.1460,0.00038,-1.0000,-1.0000,rn18.557
HD20807,2456702.53959,-0.40,1.27,PFS-Pre,0.1534,0.00039,-1.0000,-1.0000,rn20.1315
HD20807,2456702.54143,2.03,1.30,PFS-Pre,0.1509,0.0004,-1.0000,-1.0000,rn20.1316
HD20807,2456702.54329,1.51,1.27,PFS-Pre,0.1512,0.00036,-1.0000,-1.0000,rn20.1317
HD20807,2456880.88862,-3.37,1.49,PFS-Pre,0.1570,0.00075,-1.0000,-1.0000,rn23.1054
HD20807,2456880.89030,-6.07,1.37,PFS-Pre,0.1534,0.0007,-1.0000,-1.0000,rn23.1055
HD20807,2456880.89193,-2.02,1.44,PFS-Pre,0.1540,0.00064,-1.0000,-1.0000,rn23.1056
HD20807,2457028.55918,1.92,1.24,PFS-Pre,0.1507,0.0003,-1.0000,-1.0000,rn24.1061
HD20807,2457028.56139,2.36,1.21,PFS-Pre,0.1505,0.00033,-1.0000,-1.0000,rn24.1062
HD20807,2457054.55966,2.55,1.24,PFS-Pre,0.1514,0.00018,-1.0000,-1.0000,rn25.597
HD20807,2457054.56202,5.32,1.16,PFS-Pre,0.1519,0.00019,-1.0000,-1.0000,rn25.598
HD20807,2457269.88395,2.26,1.36,PFS-Pre,0.1527,0.00048,-1.0000,-1.0000,rn28.2161
HD20807,2457269.88557,-2.34,1.48,PFS-Pre,0.1554,0.00051,-1.0000,-1.0000,rn28.2162
HD20807,2457269.88712,1.66,1.47,PFS-Pre,0.1543,0.00046,-1.0000,-1.0000,rn28.2163
HD20807,2457391.63157,0.50,1.19,PFS-Pre,0.1564,0.00039,-1.0000,-1.0000,rn30.889
HD20807,2457391.63297,1.44,1.23,PFS-Pre,0.1564,0.00041,-1.0000,-1.0000,rn30.890
HD20807,2457391.63436,3.19,1.26,PFS-Pre,0.1552,0.00043,-1.0000,-1.0000,rn30.891
HD20807,2457619.90819,-0.40,1.21,PFS-Pre,0.1532,0.00026,-1.0000,-1.0000,rn36.1075
HD20807,2457620.87372,0.28,1.17,PFS-Pre,0.1538,0.00029,-1.0000,-1.0000,rn36.1248
HD20807,2457765.62239,2.13,1.37,PFS-Pre,0.1495,0.00037,-1.0000,-1.0000,rn38.1076
HD20807,2457765.62398,3.02,1.35,PFS-Pre,0.1514,0.00042,-1.0000,-1.0000,rn38.1077
HD20807,2457765.62563,3.44,1.33,PFS-Pre,0.1495,0.00044,-1.0000,-1.0000,rn38.1078
