HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD22049,2457248.94349,-8.08,0.89,HARPS-Post,0.6117,0.0043,-1.0000,-1.0000,2015-08-14T10:35:51
HD22049,2457248.94562,-8.76,0.89,HARPS-Post,0.6261,0.0049,-1.0000,-1.0000,2015-08-14T10:38:52
HD22049,2457248.94771,-7.61,0.88,HARPS-Post,0.6407,0.0053,-1.0000,-1.0000,2015-08-14T10:41:54
HD22049,2457248.94980,-8.18,0.89,HARPS-Post,0.6238,0.0042,-1.0000,-1.0000,2015-08-14T10:44:55
HD22049,2457249.93613,-5.84,0.61,HARPS-Post,0.6108,0.0051,-1.0000,-1.0000,2015-08-15T10:25:21
HD22049,2457249.93840,-5.29,0.65,HARPS-Post,0.5975,0.0054,-1.0000,-1.0000,2015-08-15T10:28:22
HD22049,2457249.94045,-6.15,0.61,HARPS-Post,0.6190,0.006,-1.0000,-1.0000,2015-08-15T10:31:24
HD22049,2457249.94257,-4.99,0.76,HARPS-Post,0.6108,0.0082,-1.0000,-1.0000,2015-08-15T10:34:24
HD22049,2457251.93497,-2.31,1.03,HARPS-Post,0.6056,0.003,-1.0000,-1.0000,2015-08-17T10:23:08
HD22049,2457251.93702,-2.50,1.03,HARPS-Post,0.6070,0.0026,-1.0000,-1.0000,2015-08-17T10:26:09
HD22049,2457251.93913,-2.42,1.03,HARPS-Post,0.6077,0.003,-1.0000,-1.0000,2015-08-17T10:29:10
HD22049,2457251.94117,-2.33,1.02,HARPS-Post,0.6049,0.0026,-1.0000,-1.0000,2015-08-17T10:32:11
HD22049,2457253.92991,3.93,0.53,HARPS-Post,0.6300,0.003,-1.0000,-1.0000,2015-08-19T10:16:25
HD22049,2457253.93098,3.34,0.57,HARPS-Post,0.6345,0.0039,-1.0000,-1.0000,2015-08-19T10:17:55
HD22049,2457253.93205,3.85,0.55,HARPS-Post,0.6296,0.0036,-1.0000,-1.0000,2015-08-19T10:19:26
HD22049,2457253.93308,3.64,0.53,HARPS-Post,0.6299,0.0029,-1.0000,-1.0000,2015-08-19T10:20:57
HD22049,2457253.93403,3.55,0.61,HARPS-Post,0.6337,0.005,-1.0000,-1.0000,2015-08-19T10:22:29
HD22049,2457253.93518,2.66,0.63,HARPS-Post,0.6464,0.0069,-1.0000,-1.0000,2015-08-19T10:23:59
HD22049,2457253.93626,3.21,0.76,HARPS-Post,0.6296,0.009,-1.0000,-1.0000,2015-08-19T10:25:31
HD22049,2457253.93739,2.91,0.59,HARPS-Post,0.6408,0.0049,-1.0000,-1.0000,2015-08-19T10:27:02
HD22049,2457253.93834,3.38,0.54,HARPS-Post,0.6331,0.0033,-1.0000,-1.0000,2015-08-19T10:28:32
HD22049,2457253.93939,3.38,0.53,HARPS-Post,0.6333,0.0035,-1.0000,-1.0000,2015-08-19T10:30:04
