HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD22049,2455110.98062,-9.90,1.24,HIRES-Post,0.4527,6.3e-06,-1.0000,-1.0000,rq21.1196
HD22049,2455171.90902,-5.43,1.19,HIRES-Post,0.4910,4.6e-06,-1.0000,-1.0000,rq24.505
HD22049,2455188.78917,6.50,1.14,HIRES-Post,0.4531,4.7e-06,-1.0000,-1.0000,rq25.393
HD22049,2455231.76007,-14.72,1.07,HIRES-Post,0.5036,5.5e-06,-1.0000,-1.0000,rq27.912
HD22049,2455255.70887,1.91,1.02,HIRES-Post,0.5302,4.2e-06,-1.0000,-1.0000,rq28.65
HD22049,2455255.70950,0.79,1.15,HIRES-Post,0.5275,4.4e-06,-1.0000,-1.0000,rq28.66
HD22049,2455260.71307,6.22,1.05,HIRES-Post,0.5316,5.5e-06,-1.0000,-1.0000,rq29.117
HD22049,2455261.71901,0.50,1.34,HIRES-Post,0.5392,9e-06,-1.0000,-1.0000,rq29.416
HD22049,2455426.14553,-16.86,0.96,HIRES-Post,0.4752,4.7e-06,-1.0000,-1.0000,rq36.187
HD22049,2455427.14889,-19.46,0.91,HIRES-Post,0.4809,4.7e-06,-1.0000,-1.0000,rq36.377
HD22049,2455434.14880,7.97,0.81,HIRES-Post,0.4735,4.5e-06,-1.0000,-1.0000,rq36.2285
HD22049,2455435.14781,3.57,0.91,HIRES-Post,0.4890,5.5e-06,-1.0000,-1.0000,rq36.2445
HD22049,2455436.14611,-3.20,0.95,HIRES-Post,0.5018,5.1e-06,-1.0000,-1.0000,rq36.2717
HD22049,2455437.15081,-5.67,0.98,HIRES-Post,0.4848,6.4e-06,-1.0000,-1.0000,rq36.2965
HD22049,2455438.15248,-12.20,0.84,HIRES-Post,0.4733,4.8e-06,-1.0000,-1.0000,rq36.3150
HD22049,2455439.15006,-14.70,0.87,HIRES-Post,0.4773,5.1e-06,-1.0000,-1.0000,rq36.3367
HD22049,2455439.15059,-10.80,0.80,HIRES-Post,0.4878,4.7e-06,-1.0000,-1.0000,rq36.3368
HD22049,2455439.15112,-13.06,0.90,HIRES-Post,0.4636,5.8e-06,-1.0000,-1.0000,rq36.3369
