HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD23249,2453398.98384,2.72,0.78,UCLES,-1.0000,-1.0000,0.7260,0.0012,ru72.50
HD23249,2453398.98549,2.32,0.86,UCLES,-1.0000,-1.0000,0.7261,0.0015,ru72.51
HD23249,2453398.98689,3.53,0.79,UCLES,-1.0000,-1.0000,0.7261,0.0014,ru72.52
HD23249,2453398.98829,-0.13,0.94,UCLES,-1.0000,-1.0000,0.7249,0.0016,ru72.53
HD23249,2453400.00733,-0.13,0.83,UCLES,-1.0000,-1.0000,0.7259,0.0012,ru72.253
HD23249,2453400.00944,1.50,0.84,UCLES,-1.0000,-1.0000,0.7281,0.0013,ru72.254
HD23249,2453400.01155,0.74,0.86,UCLES,-1.0000,-1.0000,0.7257,0.0012,ru72.255
HD23249,2453400.01365,1.46,0.85,UCLES,-1.0000,-1.0000,0.7270,0.0013,ru72.256
HD23249,2453400.96729,0.87,0.97,UCLES,-1.0000,-1.0000,0.7261,0.0016,ru72.443
HD23249,2453400.96871,-3.59,0.86,UCLES,-1.0000,-1.0000,0.7257,0.0016,ru72.444
HD23249,2453400.97012,-3.07,0.97,UCLES,-1.0000,-1.0000,0.7242,0.0017,ru72.445
HD23249,2453400.97152,-2.27,0.87,UCLES,-1.0000,-1.0000,0.7245,0.0017,ru72.446
HD23249,2453402.95143,-6.02,1.11,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru72.840
HD23249,2453402.95284,-8.44,0.97,UCLES,-1.0000,-1.0000,0.7267,0.0019,ru72.841
HD23249,2453402.95424,-7.23,0.95,UCLES,-1.0000,-1.0000,0.7272,0.0018,ru72.842
HD23249,2453402.95564,-6.54,1.00,UCLES,-1.0000,-1.0000,0.7260,0.0019,ru72.843
HD23249,2453403.94328,-4.40,1.01,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru72.1034
HD23249,2453403.94573,-0.76,0.94,UCLES,-1.0000,-1.0000,0.7213,0.0016,ru72.1035
HD23249,2453403.94818,2.99,0.91,UCLES,-1.0000,-1.0000,0.7209,0.0016,ru72.1036
HD23249,2453403.95062,0.60,0.98,UCLES,-1.0000,-1.0000,0.7201,0.0017,ru72.1037
HD23249,2453405.03938,-5.18,1.10,UCLES,-1.0000,-1.0000,0.7226,0.002,ru72.1253
