HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD4628,2456482.99539,8.63,1.37,APF,0.2334,0.0014,-1.0000,-1.0000,rl05.3438
HD4628,2456484.96466,2.89,1.24,APF,0.2366,0.0014,-1.0000,-1.0000,rl05.3825
HD4628,2456484.96686,4.44,1.19,APF,0.2348,0.0014,-1.0000,-1.0000,rl05.3826
HD4628,2456486.96623,1.90,1.25,APF,0.2362,0.0014,-1.0000,-1.0000,rl05.4209
HD4628,2456486.96835,3.83,1.19,APF,0.2386,0.0014,-1.0000,-1.0000,rl05.4210
HD4628,2456488.98625,0.18,1.19,APF,0.2357,0.0014,-1.0000,-1.0000,rl05.4588
HD4628,2456488.98840,0.34,1.30,APF,0.2342,0.0014,-1.0000,-1.0000,rl05.4589
HD4628,2456490.99017,-5.12,1.41,APF,0.2359,0.0014,-1.0000,-1.0000,rl05.4986
HD4628,2456490.99251,-4.95,1.32,APF,0.2352,0.0014,-1.0000,-1.0000,rl05.4987
HD4628,2456492.93728,-5.80,1.22,APF,0.2319,0.0014,-1.0000,-1.0000,rl05.5369
HD4628,2456492.93993,-4.32,1.25,APF,0.2308,0.0014,-1.0000,-1.0000,rl05.5370
HD4628,2456494.93294,-6.64,1.46,APF,0.2305,0.0015,-1.0000,-1.0000,rl05.5757
HD4628,2456494.93556,-11.10,1.46,APF,0.2316,0.0015,-1.0000,-1.0000,rl05.5758
HD4628,2456495.97860,-4.80,1.36,APF,0.2298,0.0014,-1.0000,-1.0000,rl05.5948
HD4628,2456495.98168,-3.67,1.28,APF,0.2295,0.0014,-1.0000,-1.0000,rl05.5949
HD4628,2456505.97480,-4.48,1.28,APF,0.2307,0.0014,-1.0000,-1.0000,rl05.6904
HD4628,2456507.99031,-5.99,1.21,APF,0.2308,0.0014,-1.0000,-1.0000,rl05.7075
HD4628,2456507.99232,-3.69,1.33,APF,0.2290,0.0014,-1.0000,-1.0000,rl05.7076
HD4628,2456508.99285,-3.29,1.19,APF,0.2297,0.0014,-1.0000,-1.0000,rl05.7298
HD4628,2456508.99466,-4.79,1.22,APF,0.2305,0.0014,-1.0000,-1.0000,rl05.7299
HD4628,2456509.98265,-4.23,1.21,APF,0.2307,0.0014,-1.0000,-1.0000,rl05.7517
HD4628,2456509.98444,-8.00,1.24,APF,0.2278,0.0014,-1.0000,-1.0000,rl05.7518
