HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD72673,2450419.07994,14.14,1.28,HIRES-Pre,0.1660,9.2e-06,-1.0000,-1.0000,rk8.91
HD72673,2450462.93803,-1.23,1.32,HIRES-Pre,0.1699,7.1e-06,-1.0000,-1.0000,rk9.202
HD72673,2450546.83181,9.34,1.38,HIRES-Pre,0.1691,6e-06,-1.0000,-1.0000,rk11.107
HD72673,2450807.04956,7.59,1.15,HIRES-Pre,0.1910,4.7e-06,-1.0000,-1.0000,rk17.227
HD72673,2450839.04616,0.61,1.29,HIRES-Pre,0.2013,4.9e-06,-1.0000,-1.0000,rk18.233
HD72673,2450861.88946,6.36,1.20,HIRES-Pre,0.1943,4.2e-06,-1.0000,-1.0000,rk19.53
HD72673,2451171.02247,3.81,1.17,HIRES-Pre,0.1796,3.6e-06,-1.0000,-1.0000,rk27.95
HD72673,2451226.93987,9.06,1.18,HIRES-Pre,0.1764,4.5e-06,-1.0000,-1.0000,rk29.67
HD72673,2451580.92988,-0.11,1.37,HIRES-Pre,0.1726,4e-06,-1.0000,-1.0000,rk39.63
HD72673,2451883.09887,2.89,1.36,HIRES-Pre,0.1830,5.4e-06,-1.0000,-1.0000,rk46.116
HD72673,2451973.79471,4.62,1.34,HIRES-Pre,0.1546,4.1e-06,-1.0000,-1.0000,rk48.200
HD72673,2452243.07032,11.39,1.31,HIRES-Pre,0.1720,3.9e-06,-1.0000,-1.0000,rk59.599
HD72673,2452307.84044,3.91,1.63,HIRES-Pre,0.1671,4.3e-06,-1.0000,-1.0000,rk60.76
HD72673,2452334.86122,4.36,1.48,HIRES-Pre,0.1482,3.8e-06,-1.0000,-1.0000,rk61.248
HD72673,2452602.06585,5.08,1.44,HIRES-Pre,0.1798,4.3e-06,-1.0000,-1.0000,rk69.313
HD72673,2452651.99002,6.47,1.63,HIRES-Pre,0.1797,4e-06,-1.0000,-1.0000,rk70.95
HD72673,2452711.81759,-0.46,1.58,HIRES-Pre,0.1768,4.3e-06,-1.0000,-1.0000,rk72.58
HD72673,2452777.74338,2.41,1.53,HIRES-Pre,0.1532,5.2e-06,-1.0000,-1.0000,rk73.149
HD72673,2452989.13403,4.30,1.42,HIRES-Pre,0.1880,4.3e-06,-1.0000,-1.0000,rk80.302
HD72673,2453017.90625,4.51,1.53,HIRES-Pre,0.1609,3.8e-06,-1.0000,-1.0000,rk81.976
HD72673,2453045.83340,6.37,1.40,HIRES-Pre,0.1606,4.3e-06,-1.0000,-1.0000,rk82.243
