HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD85512,2458501.76910,-3.64,0.79,PFS-Post,0.4153,0.0018,-1.0000,-1.0000,rn49.157
HD85512,2458501.77174,-6.46,0.79,PFS-Post,0.4235,0.0018,-1.0000,-1.0000,rn49.158
HD85512,2458501.77434,-5.82,0.84,PFS-Post,0.4260,0.0019,-1.0000,-1.0000,rn49.159
HD85512,2458507.73620,-4.20,0.81,PFS-Post,0.4019,0.0013,-1.0000,-1.0000,rn49.2027
HD85512,2458528.72179,0.89,0.78,PFS-Post,0.4165,0.0014,-1.0000,-1.0000,rn50.820
HD85512,2458528.72574,-0.28,0.72,PFS-Post,0.4194,0.0013,-1.0000,-1.0000,rn50.821
HD85512,2458889.66686,-2.82,0.83,PFS-Post,0.4201,0.0026,-1.0000,-1.0000,rn56.5662
HD85512,2458889.66947,-1.42,0.79,PFS-Post,0.4117,0.0023,-1.0000,-1.0000,rn56.5663
HD85512,2458889.67205,-2.38,0.78,PFS-Post,0.4213,0.0022,-1.0000,-1.0000,rn56.5664
HD85512,2459214.80525,-2.22,0.79,PFS-Post,0.3730,0.0015,-1.0000,-1.0000,rn59.2159
HD85512,2459214.80827,-1.13,0.73,PFS-Post,0.3757,0.0014,-1.0000,-1.0000,rn59.2160
HD85512,2459214.81126,-1.41,0.74,PFS-Post,0.3755,0.0014,-1.0000,-1.0000,rn59.2161
HD85512,2459360.47896,-1.65,0.79,PFS-Post,0.3550,0.0016,-1.0000,-1.0000,rn60.2603
HD85512,2459360.48152,-1.17,0.80,PFS-Post,0.3518,0.0014,-1.0000,-1.0000,rn60.2604
HD85512,2459360.48411,-3.03,0.76,PFS-Post,0.3517,0.0014,-1.0000,-1.0000,rn60.2605
