HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD136352,2458527.88787,-1.11,1.30,PFS-Post,0.2298,0.00056,-1.0000,-1.0000,rn50.534
HD136352,2458527.89016,-4.32,1.38,PFS-Post,0.2277,0.00056,-1.0000,-1.0000,rn50.535
HD136352,2458623.70008,-3.51,1.31,PFS-Post,0.1985,0.00066,-1.0000,-1.0000,rn52.2033
HD136352,2458623.70183,-1.19,1.29,PFS-Post,0.2039,0.00079,-1.0000,-1.0000,rn52.2034
HD136352,2458623.70334,-6.47,1.39,PFS-Post,0.1981,0.00067,-1.0000,-1.0000,rn52.2035
HD136352,2458623.70513,-2.44,1.47,PFS-Post,0.2071,0.00088,-1.0000,-1.0000,rn52.2036
HD136352,2458623.70676,-2.16,1.25,PFS-Post,0.1912,0.00048,-1.0000,-1.0000,rn52.2037
HD136352,2458923.90958,-3.52,1.12,PFS-Post,0.2233,0.00056,-1.0000,-1.0000,rn57.4066
HD136352,2458923.91090,-2.84,1.13,PFS-Post,0.2242,0.00058,-1.0000,-1.0000,rn57.4067
HD136352,2458923.91222,-2.60,1.13,PFS-Post,0.2227,0.00047,-1.0000,-1.0000,rn57.4068
HD136352,2458923.91354,-3.40,0.94,PFS-Post,0.2253,0.00056,-1.0000,-1.0000,rn57.4069
HD136352,2458923.91486,-3.92,1.20,PFS-Post,0.2285,0.00063,-1.0000,-1.0000,rn57.4070
HD136352,2458923.91618,-2.63,1.13,PFS-Post,0.2232,0.00052,-1.0000,-1.0000,rn57.4071
