HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD146233,2450283.90989,-15.96,1.06,HIRES-Pre,0.2009,2.9e-06,-1.0000,-1.0000,rk6.219
HD146233,2450604.92553,-18.43,1.15,HIRES-Pre,0.1498,2.1e-06,-1.0000,-1.0000,rk12.240
HD146233,2450840.17660,-9.91,1.20,HIRES-Pre,0.1695,2.4e-06,-1.0000,-1.0000,rk18.393
HD146233,2450955.03583,-22.39,1.26,HIRES-Pre,0.1631,2e-06,-1.0000,-1.0000,rk20.76
HD146233,2450981.85071,-14.80,1.35,HIRES-Pre,0.1726,1.9e-06,-1.0000,-1.0000,rk21.31
HD146233,2451051.78951,1.59,1.18,HIRES-Pre,0.1667,2.6e-06,-1.0000,-1.0000,rk24.157
HD146233,2451228.16671,-7.00,1.32,HIRES-Pre,0.1676,2.4e-06,-1.0000,-1.0000,rk29.236
HD146233,2451340.88368,-4.79,5.10,HIRES-Pre,0.1500,3.6e-05,-1.0000,-1.0000,rk31.45
HD146233,2451369.87459,3.45,1.51,HIRES-Pre,0.1715,4e-06,-1.0000,-1.0000,rk32.300
HD146233,2451369.87599,2.24,1.31,HIRES-Pre,0.1693,3.6e-06,-1.0000,-1.0000,rk32.301
HD146233,2451369.87732,1.18,1.18,HIRES-Pre,0.1663,3.6e-06,-1.0000,-1.0000,rk32.302
HD146233,2451369.87865,4.09,1.36,HIRES-Pre,0.1684,3.5e-06,-1.0000,-1.0000,rk32.303
HD146233,2451369.87997,5.73,1.36,HIRES-Pre,0.1691,3.8e-06,-1.0000,-1.0000,rk32.304
HD146233,2451370.84311,8.58,1.11,HIRES-Pre,0.1698,3.8e-06,-1.0000,-1.0000,rk32.453
HD146233,2451370.84459,10.25,1.31,HIRES-Pre,0.1644,3.9e-06,-1.0000,-1.0000,rk32.454
HD146233,2451370.84603,-3.89,1.60,HIRES-Pre,0.1632,5.3e-06,-1.0000,-1.0000,rk32.455
HD146233,2451370.84746,6.77,1.32,HIRES-Pre,0.1668,4.1e-06,-1.0000,-1.0000,rk32.456
HD146233,2451370.84893,8.66,1.21,HIRES-Pre,0.1703,3.5e-06,-1.0000,-1.0000,rk32.457
HD146233,2451371.76901,2.42,1.76,HIRES-Pre,0.1741,9e-06,-1.0000,-1.0000,rk32.577
HD146233,2451371.77024,-12.72,2.42,HIRES-Pre,0.1653,1.3e-05,-1.0000,-1.0000,rk32.578
HD146233,2451371.77139,-17.09,2.35,HIRES-Pre,0.1683,1.4e-05,-1.0000,-1.0000,rk32.579
HD146233,2451371.77257,9.78,1.74,HIRES-Pre,0.1711,7.9e-06,-1.0000,-1.0000,rk32.580
HD146233,2451371.77379,5.10,1.80,HIRES-Pre,0.1810,8.8e-06,-1.0000,-1.0000,rk32.581
HD146233,2451371.77502,16.36,1.51,HIRES-Pre,0.1726,5.7e-06,-1.0000,-1.0000,rk32.582
HD146233,2451371.77652,8.06,1.42,HIRES-Pre,0.1718,6e-06,-1.0000,-1.0000,rk32.583
HD146233,2451371.77777,14.35,1.50,HIRES-Pre,0.1649,5.3e-06,-1.0000,-1.0000,rk32.584
HD146233,2451371.77905,13.62,1.40,HIRES-Pre,0.1560,4.3e-06,-1.0000,-1.0000,rk32.585
HD146233,2451371.78054,18.35,1.34,HIRES-Pre,0.1639,4.3e-06,-1.0000,-1.0000,rk32.586
HD146233,2451371.78197,6.54,1.36,HIRES-Pre,0.1728,3.9e-06,-1.0000,-1.0000,rk32.587
HD146233,2451371.78329,-0.03,1.33,HIRES-Pre,0.1583,3.5e-06,-1.0000,-1.0000,rk32.588
HD146233,2451371.78471,-8.99,1.41,HIRES-Pre,0.1647,3e-06,-1.0000,-1.0000,rk32.589
HD146233,2451371.78610,-2.94,1.31,HIRES-Pre,0.1619,3e-06,-1.0000,-1.0000,rk32.590
HD146233,2451371.78760,-11.05,1.26,HIRES-Pre,0.1609,2.8e-06,-1.0000,-1.0000,rk32.591
HD146233,2451371.78902,-3.20,1.30,HIRES-Pre,0.1707,3.1e-06,-1.0000,-1.0000,rk32.592
HD146233,2451371.79051,-5.13,1.15,HIRES-Pre,0.1654,2.9e-06,-1.0000,-1.0000,rk32.593
HD146233,2451371.79199,-5.54,1.27,HIRES-Pre,0.1713,2.8e-06,-1.0000,-1.0000,rk32.594
HD146233,2451371.79365,-16.22,1.25,HIRES-Pre,0.1721,2.6e-06,-1.0000,-1.0000,rk32.595
HD146233,2451371.79515,-12.40,1.31,HIRES-Pre,0.1685,2.6e-06,-1.0000,-1.0000,rk32.596
HD146233,2451371.79682,-20.92,1.20,HIRES-Pre,0.1690,2.3e-06,-1.0000,-1.0000,rk32.597
HD146233,2451371.79840,-5.86,1.08,HIRES-Pre,0.1614,2.5e-06,-1.0000,-1.0000,rk32.598
HD146233,2451371.80013,-17.33,1.12,HIRES-Pre,0.1718,2.4e-06,-1.0000,-1.0000,rk32.599
HD146233,2451371.80176,-14.21,1.19,HIRES-Pre,0.1716,2.3e-06,-1.0000,-1.0000,rk32.600
HD146233,2451371.80353,-16.95,1.27,HIRES-Pre,0.1678,1.9e-06,-1.0000,-1.0000,rk32.601
HD146233,2451371.80522,-18.88,1.26,HIRES-Pre,0.1672,2.1e-06,-1.0000,-1.0000,rk32.602
HD146233,2451371.80714,-11.60,1.11,HIRES-Pre,0.1686,2.2e-06,-1.0000,-1.0000,rk32.603
