HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD149661,2453302.69622,5.66,1.05,HIRES-Post,0.3477,3.8e-06,-1.0000,-1.0000,rj02.508
HD149661,2453302.69889,6.08,1.11,HIRES-Post,0.3494,4.1e-06,-1.0000,-1.0000,rj02.509
HD149661,2453426.17010,16.12,1.60,HIRES-Post,0.3099,6.3e-06,-1.0000,-1.0000,rj06.390
HD149661,2453480.07188,11.31,1.12,HIRES-Post,0.3116,2.8e-06,-1.0000,-1.0000,rj07.457
HD149661,2454545.12165,-11.80,1.27,HIRES-Post,0.2957,3e-06,-1.0000,-1.0000,rj52.198
HD149661,2454547.12979,-9.03,1.51,HIRES-Post,0.2774,2.9e-06,-1.0000,-1.0000,rj52.982
HD149661,2454601.01208,0.27,1.20,HIRES-Post,0.2985,3.1e-06,-1.0000,-1.0000,rj54.160
HD149661,2455023.92516,-1.28,1.15,HIRES-Post,0.3790,3.7e-06,-1.0000,-1.0000,rj65.856
HD149661,2455023.92612,-1.78,1.21,HIRES-Post,0.3791,3.8e-06,-1.0000,-1.0000,rj65.857
HD149661,2455023.92705,-0.54,1.12,HIRES-Post,0.3737,3.8e-06,-1.0000,-1.0000,rj65.858
HD149661,2455321.91210,-11.97,1.28,HIRES-Post,0.2846,4.4e-06,-1.0000,-1.0000,rq32.532
HD149661,2455731.98005,2.22,1.41,HIRES-Post,0.2819,4.3e-06,-1.0000,-1.0000,rq50.1709
HD149661,2455992.11616,-1.29,1.41,HIRES-Post,0.2885,4.1e-06,-1.0000,-1.0000,rq55.350
HD149661,2456881.73141,-7.14,1.46,HIRES-Post,0.2712,3.6e-06,-1.0000,-1.0000,rq72.4684
HD149661,2457232.80683,-4.56,1.27,HIRES-Post,0.2948,3.9e-06,-1.0000,-1.0000,rq73.5588
