HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD207129,2451034.17780,-1.92,1.63,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru07.50
HD207129,2451387.25026,-2.93,1.68,UCLES,-1.0000,-1.0000,0.7209,0.002,ru13.432
HD207129,2451413.09223,3.22,1.83,UCLES,-1.0000,-1.0000,0.7206,0.0019,ru14.212
HD207129,2451683.23493,-4.56,1.72,UCLES,-1.0000,-1.0000,0.7184,0.0022,ru19.105
HD207129,2451684.20993,-7.28,2.11,UCLES,-1.0000,-1.0000,0.7183,0.0026,ru20.102
HD207129,2451743.14351,-2.82,1.91,UCLES,-1.0000,-1.0000,0.7203,0.0021,ru28.66
HD207129,2451767.11243,4.52,1.82,UCLES,-1.0000,-1.0000,0.7174,0.0024,ru29.67
HD207129,2452061.26726,1.52,2.04,UCLES,-1.0000,-1.0000,0.7226,0.0027,ru42.100
HD207129,2452093.17531,0.77,1.83,UCLES,-1.0000,-1.0000,0.7215,0.002,ru43.150
HD207129,2452125.08455,4.75,1.38,UCLES,-1.0000,-1.0000,0.7209,0.0016,ru44.51
HD207129,2452125.20956,4.15,1.62,UCLES,-1.0000,-1.0000,0.7205,0.0023,ru44.86
HD207129,2452125.21374,6.16,1.64,UCLES,-1.0000,-1.0000,0.7217,0.0025,ru44.87
HD207129,2452126.03658,1.31,1.60,UCLES,-1.0000,-1.0000,0.7183,0.002,ru44.153
HD207129,2452126.06926,1.60,1.62,UCLES,-1.0000,-1.0000,0.7228,0.0019,ru44.158
HD207129,2452126.10254,0.93,1.56,UCLES,-1.0000,-1.0000,0.7224,0.0018,ru44.163
HD207129,2452127.15198,4.17,2.15,UCLES,-1.0000,-1.0000,0.7205,0.0024,ru45.51
HD207129,2452188.06614,-1.48,1.96,UCLES,-1.0000,-1.0000,0.7245,0.0028,ru48.154
HD207129,2452188.95684,1.92,3.39,UCLES,-1.0000,-1.0000,0.7155,0.0058,ru48.242
HD207129,2452188.96103,-9.52,2.26,UCLES,-1.0000,-1.0000,0.7217,0.0037,ru48.243
HD207129,2452421.27369,-3.32,1.49,UCLES,-1.0000,-1.0000,0.7267,0.0016,ru52.60
HD207129,2452477.16295,-3.58,1.58,UCLES,-1.0000,-1.0000,0.7220,0.0021,ru54.216
HD207129,2452598.93958,-2.82,1.71,UCLES,-1.0000,-1.0000,0.7290,0.0024,ru58.124
HD207129,2452752.29468,-5.18,1.51,UCLES,-1.0000,-1.0000,0.7294,0.002,ru62.831
HD207129,2452857.20987,-1.79,2.01,UCLES,-1.0000,-1.0000,0.7285,0.0027,ru65.30
HD207129,2452858.02694,1.96,1.80,UCLES,-1.0000,-1.0000,0.7233,0.0027,ru65.136
HD207129,2452859.13170,-0.48,1.86,UCLES,-1.0000,-1.0000,0.7256,0.0026,ru65.245
HD207129,2452859.13762,0.80,1.82,UCLES,-1.0000,-1.0000,0.7299,0.0023,ru65.246
HD207129,2452860.13965,-3.85,1.63,UCLES,-1.0000,-1.0000,0.7261,0.0018,ru65.356
HD207129,2452861.14679,-3.14,1.88,UCLES,-1.0000,-1.0000,0.7285,0.0026,ru65.464
HD207129,2452944.98411,-3.40,1.92,UCLES,-1.0000,-1.0000,0.7289,0.0026,ru66.234
HD207129,2453007.90746,-11.65,2.00,UCLES,-1.0000,-1.0000,0.7331,0.0026,ru67.419
HD207129,2453214.18232,2.93,1.84,UCLES,-1.0000,-1.0000,0.7233,0.0026,ru69.41
HD207129,2453214.18650,-0.21,1.80,UCLES,-1.0000,-1.0000,0.7256,0.0023,ru69.42
HD207129,2453245.17028,2.08,1.86,UCLES,-1.0000,-1.0000,0.7254,0.0026,ru70.266
HD207129,2453283.04047,6.74,2.18,UCLES,-1.0000,-1.0000,0.7249,0.0034,ru71.270
HD207129,2453483.30320,10.13,1.82,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru73.101
HD207129,2453483.30627,3.61,1.74,UCLES,-1.0000,-1.0000,0.7233,0.0026,ru73.102
HD207129,2453483.30934,1.61,1.83,UCLES,-1.0000,-1.0000,0.7288,0.0024,ru73.103
HD207129,2453483.31241,7.12,1.74,UCLES,-1.0000,-1.0000,0.7267,0.0024,ru73.104
HD207129,2453485.31604,5.30,1.91,UCLES,-1.0000,-1.0000,0.7271,0.0026,ru73.388
HD207129,2453485.31912,2.41,1.89,UCLES,-1.0000,-1.0000,0.7288,0.0028,ru73.389
HD207129,2453485.32221,1.86,1.86,UCLES,-1.0000,-1.0000,0.7262,0.0024,ru73.390
HD207129,2453485.32528,2.45,1.66,UCLES,-1.0000,-1.0000,0.7268,0.0024,ru73.391
HD207129,2453488.29100,-1.65,1.81,UCLES,-1.0000,-1.0000,0.7268,0.0027,ru73.940
HD207129,2453488.29466,6.31,1.91,UCLES,-1.0000,-1.0000,0.7265,0.0026,ru73.941
HD207129,2453488.29832,2.04,1.91,UCLES,-1.0000,-1.0000,0.7248,0.0027,ru73.942
HD207129,2453488.30196,4.43,1.90,UCLES,-1.0000,-1.0000,0.7230,0.0027,ru73.943
HD207129,2453508.28854,7.13,1.60,UCLES,-1.0000,-1.0000,0.7239,0.0022,ru74.275
HD207129,2453508.29278,4.49,1.64,UCLES,-1.0000,-1.0000,0.7255,0.0021,ru74.276
HD207129,2453508.29700,9.18,1.68,UCLES,-1.0000,-1.0000,0.7263,0.0021,ru74.277
