HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD30495,2457230.91829,17.29,0.69,HARPS-Post,0.3280,0.0014,-1.0000,-1.0000,2015-07-27T10:03:35
HD30495,2457230.92039,16.46,0.68,HARPS-Post,0.3246,0.0015,-1.0000,-1.0000,2015-07-27T10:06:35
HD30495,2457230.92248,16.93,0.68,HARPS-Post,0.3251,0.0012,-1.0000,-1.0000,2015-07-27T10:09:36
HD30495,2457588.94966,15.44,0.96,HARPS-Post,0.3078,0.002,-1.0000,-1.0000,2016-07-19T10:49:22
HD30495,2457588.95178,14.73,0.95,HARPS-Post,0.3114,0.0019,-1.0000,-1.0000,2016-07-19T10:52:23
HD30495,2457588.95384,13.30,0.96,HARPS-Post,0.3126,0.0017,-1.0000,-1.0000,2016-07-19T10:55:24
HD30495,2457664.89190,5.83,0.78,HARPS-Post,0.3238,0.0015,-1.0000,-1.0000,2016-10-03T09:18:24
HD30495,2457664.89520,6.01,0.80,HARPS-Post,0.3239,0.0017,-1.0000,-1.0000,2016-10-03T09:23:05
HD30495,2457664.89803,7.30,0.81,HARPS-Post,0.3166,0.0018,-1.0000,-1.0000,2016-10-03T09:27:07
HD30495,2457763.66819,-6.33,0.74,HARPS-Post,0.2964,0.0021,-1.0000,-1.0000,2017-01-10T03:55:05
HD30495,2457763.67030,-8.31,0.73,HARPS-Post,0.3004,0.002,-1.0000,-1.0000,2017-01-10T03:58:05
HD30495,2457763.67237,-7.80,0.73,HARPS-Post,0.3041,0.0018,-1.0000,-1.0000,2017-01-10T04:01:06
HD30495,2457763.67452,-8.00,0.74,HARPS-Post,0.3013,0.0022,-1.0000,-1.0000,2017-01-10T04:04:07
HD30495,2457764.61422,-0.87,0.72,HARPS-Post,0.3007,0.0019,-1.0000,-1.0000,2017-01-11T02:37:24
HD30495,2457764.61629,-1.04,0.75,HARPS-Post,0.2972,0.0021,-1.0000,-1.0000,2017-01-11T02:40:25
HD30495,2457764.61840,-0.64,0.75,HARPS-Post,0.3068,0.0021,-1.0000,-1.0000,2017-01-11T02:43:26
HD30495,2457764.62050,-1.63,0.73,HARPS-Post,0.3042,0.0018,-1.0000,-1.0000,2017-01-11T02:46:27
HD30495,2457808.52449,5.05,0.97,HARPS-Post,0.3088,0.0032,-1.0000,-1.0000,2017-02-24T00:32:33
HD30495,2457808.52660,5.33,0.90,HARPS-Post,0.3213,0.0024,-1.0000,-1.0000,2017-02-24T00:35:34
HD30495,2457808.52862,2.99,0.94,HARPS-Post,0.3029,0.0033,-1.0000,-1.0000,2017-02-24T00:38:34
HD30495,2457809.52729,-12.32,0.61,HARPS-Post,0.3076,0.0017,-1.0000,-1.0000,2017-02-25T00:36:42
HD30495,2457809.52937,-11.65,0.61,HARPS-Post,0.3097,0.0017,-1.0000,-1.0000,2017-02-25T00:39:43
HD30495,2457809.53146,-13.18,0.60,HARPS-Post,0.3097,0.0017,-1.0000,-1.0000,2017-02-25T00:42:44
HD30495,2457809.53355,-12.37,0.60,HARPS-Post,0.3041,0.0019,-1.0000,-1.0000,2017-02-25T00:45:45
HD30495,2458048.75542,-6.26,0.64,HARPS-Post,0.3061,0.00063,-1.0000,-1.0000,2017-10-22T05:54:05
HD30495,2458049.73630,15.13,1.03,HARPS-Post,0.3064,0.00063,-1.0000,-1.0000,2017-10-23T05:28:47
