HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD30495,2455846.84889,-9.40,1.09,HARPS-Pre,0.3057,0.0019,-1.0000,-1.0000,2011-10-12T08:15:45
HD30495,2455846.85102,-11.20,1.14,HARPS-Pre,0.3100,0.0024,-1.0000,-1.0000,2011-10-12T08:18:47
HD30495,2455846.85305,-9.37,1.12,HARPS-Pre,0.3047,0.0023,-1.0000,-1.0000,2011-10-12T08:21:49
HD30495,2455850.85598,0.24,1.05,HARPS-Pre,0.2993,0.0018,-1.0000,-1.0000,2011-10-16T08:25:44
HD30495,2455850.85811,1.87,1.04,HARPS-Pre,0.3023,0.0018,-1.0000,-1.0000,2011-10-16T08:28:46
HD30495,2455850.86023,0.61,1.03,HARPS-Pre,0.3035,0.0018,-1.0000,-1.0000,2011-10-16T08:31:47
HD30495,2455851.84110,3.33,0.94,HARPS-Pre,0.2969,0.0017,-1.0000,-1.0000,2011-10-17T08:04:16
HD30495,2455851.84331,2.93,0.98,HARPS-Pre,0.3001,0.0021,-1.0000,-1.0000,2011-10-17T08:07:18
HD30495,2455851.84534,2.91,0.96,HARPS-Pre,0.2987,0.0019,-1.0000,-1.0000,2011-10-17T08:10:20
HD30495,2455852.84029,-6.92,1.03,HARPS-Pre,0.3089,0.002,-1.0000,-1.0000,2011-10-18T08:03:00
HD30495,2455852.84247,-6.95,1.06,HARPS-Pre,0.3087,0.0018,-1.0000,-1.0000,2011-10-18T08:06:02
HD30495,2455852.84451,-6.56,1.07,HARPS-Pre,0.3057,0.002,-1.0000,-1.0000,2011-10-18T08:09:04
HD30495,2455983.52892,-16.71,0.66,HARPS-Pre,0.2815,0.0014,-1.0000,-1.0000,2012-02-26T00:39:15
HD30495,2455983.53107,-17.77,0.66,HARPS-Pre,0.2825,0.0015,-1.0000,-1.0000,2012-02-26T00:42:17
HD30495,2455983.53320,-16.50,0.65,HARPS-Pre,0.2798,0.0015,-1.0000,-1.0000,2012-02-26T00:45:19
HD30495,2455984.52175,-23.16,0.73,HARPS-Pre,0.2858,0.0017,-1.0000,-1.0000,2012-02-27T00:28:56
HD30495,2455984.52382,-22.48,0.74,HARPS-Pre,0.2793,0.0017,-1.0000,-1.0000,2012-02-27T00:31:58
HD30495,2455984.52593,-22.70,0.71,HARPS-Pre,0.2856,0.0018,-1.0000,-1.0000,2012-02-27T00:35:01
HD30495,2455986.54724,-10.14,0.72,HARPS-Pre,0.2913,0.0016,-1.0000,-1.0000,2012-02-29T01:05:58
HD30495,2455986.54937,-10.45,0.73,HARPS-Pre,0.2900,0.0016,-1.0000,-1.0000,2012-02-29T01:09:00
HD30495,2455986.55149,-10.38,0.71,HARPS-Pre,0.2932,0.0016,-1.0000,-1.0000,2012-02-29T01:12:01
HD30495,2456298.62571,1.00,0.94,HARPS-Pre,0.2841,0.002,-1.0000,-1.0000,2013-01-06T02:53:43
HD30495,2456298.62785,1.94,0.94,HARPS-Pre,0.2947,0.0018,-1.0000,-1.0000,2013-01-06T02:56:45
HD30495,2456298.62997,1.44,0.96,HARPS-Pre,0.2908,0.0019,-1.0000,-1.0000,2013-01-06T02:59:48
HD30495,2456299.56482,0.24,0.72,HARPS-Pre,0.2988,0.0019,-1.0000,-1.0000,2013-01-07T01:26:03
HD30495,2456299.56694,-1.37,0.72,HARPS-Pre,0.2988,0.0018,-1.0000,-1.0000,2013-01-07T01:29:05
HD30495,2456299.56904,-0.71,0.70,HARPS-Pre,0.2962,0.0017,-1.0000,-1.0000,2013-01-07T01:32:07
HD30495,2456299.67934,-1.14,0.86,HARPS-Pre,0.2939,0.0023,-1.0000,-1.0000,2013-01-07T04:10:54
HD30495,2456299.68141,-0.93,0.80,HARPS-Pre,0.2972,0.0022,-1.0000,-1.0000,2013-01-07T04:13:56
HD30495,2456299.68346,-0.85,0.81,HARPS-Pre,0.3055,0.002,-1.0000,-1.0000,2013-01-07T04:16:57
