HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD72673,2455587.72715,4.71,1.15,PFS-Pre,0.1542,0.00038,-1.0000,-1.0000,rn06.1279
HD72673,2455671.56200,-1.62,0.97,PFS-Pre,0.1473,0.00031,-1.0000,-1.0000,rn07.1174
HD72673,2455671.56573,-0.89,0.97,PFS-Pre,0.1488,0.0003,-1.0000,-1.0000,rn07.1175
HD72673,2455953.74641,-2.38,1.08,PFS-Pre,0.1572,0.00059,-1.0000,-1.0000,rn10.73
HD72673,2455953.74949,-2.22,1.08,PFS-Pre,0.1554,0.00062,-1.0000,-1.0000,rn10.74
HD72673,2456285.83655,0.50,0.85,PFS-Pre,0.1552,0.0003,-1.0000,-1.0000,rn14.536
HD72673,2456289.81880,0.02,0.86,PFS-Pre,0.1599,0.00046,-1.0000,-1.0000,rn14.777
HD72673,2456289.82132,1.22,0.88,PFS-Pre,0.1582,0.00043,-1.0000,-1.0000,rn14.778
HD72673,2456348.66919,0.43,0.96,PFS-Pre,0.1690,0.00061,-1.0000,-1.0000,rn15.673
HD72673,2456348.67170,2.16,0.88,PFS-Pre,0.1651,0.00059,-1.0000,-1.0000,rn15.674
HD72673,2456359.65107,-3.38,3.03,PFS-Pre,0.2889,0.0037,-1.0000,-1.0000,rn15.1662
HD72673,2456429.46676,-2.39,1.16,PFS-Pre,0.1668,0.00062,-1.0000,-1.0000,rn16.182
HD72673,2456699.70667,-0.92,1.02,PFS-Pre,0.1624,0.00038,-1.0000,-1.0000,rn20.958
HD72673,2456703.74631,-0.75,1.19,PFS-Pre,0.1586,0.00046,-1.0000,-1.0000,rn20.1520
HD72673,2457028.67126,-3.72,0.99,PFS-Pre,0.1645,0.0005,-1.0000,-1.0000,rn24.1098
HD72673,2457028.67358,0.05,0.92,PFS-Pre,0.1653,0.00045,-1.0000,-1.0000,rn24.1099
HD72673,2457052.68694,-0.03,0.92,PFS-Pre,0.1568,0.00023,-1.0000,-1.0000,rn25.331
HD72673,2457391.76523,-2.62,0.97,PFS-Pre,0.1616,0.00048,-1.0000,-1.0000,rn30.917
HD72673,2457449.62389,3.20,1.04,PFS-Pre,0.1594,0.00048,-1.0000,-1.0000,rn31.290
HD72673,2457449.62636,2.39,0.95,PFS-Pre,0.1624,0.00046,-1.0000,-1.0000,rn31.291
HD72673,2457764.66536,-3.51,1.07,PFS-Pre,0.1564,0.00047,-1.0000,-1.0000,rn38.932
HD72673,2457764.66770,-1.45,1.10,PFS-Pre,0.1599,0.00052,-1.0000,-1.0000,rn38.933
