HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD75732,2456564.03805,11.38,1.21,APF,0.1920,0.0012,-1.0000,-1.0000,rl06.4835
HD75732,2456574.05014,24.65,1.15,APF,0.1902,0.0012,-1.0000,-1.0000,rl06.6735
HD75732,2456577.96488,27.99,1.16,APF,0.1940,0.0013,-1.0000,-1.0000,rl06.7442
HD75732,2456577.96636,23.95,1.08,APF,0.1930,0.0013,-1.0000,-1.0000,rl06.7443
HD75732,2456577.96784,22.71,1.08,APF,0.1944,0.0012,-1.0000,-1.0000,rl06.7444
HD75732,2456578.05074,24.42,0.98,APF,0.1883,0.0012,-1.0000,-1.0000,rl06.7462
HD75732,2456578.05208,20.50,1.09,APF,0.1897,0.0012,-1.0000,-1.0000,rl06.7463
HD75732,2456578.05341,22.33,1.05,APF,0.1851,0.0012,-1.0000,-1.0000,rl06.7464
HD75732,2456582.01954,-69.13,1.10,APF,0.1934,0.0012,-1.0000,-1.0000,rl06.7851
HD75732,2456582.02086,-68.23,1.18,APF,0.1908,0.0013,-1.0000,-1.0000,rl06.7852
HD75732,2456582.02213,-66.12,1.12,APF,0.1918,0.0012,-1.0000,-1.0000,rl06.7853
HD75732,2456582.97363,-83.70,1.11,APF,0.1940,0.0013,-1.0000,-1.0000,rl06.8065
HD75732,2456582.97497,-81.70,1.24,APF,0.1954,0.0013,-1.0000,-1.0000,rl06.8066
HD75732,2456582.97627,-85.55,1.13,APF,0.1922,0.0013,-1.0000,-1.0000,rl06.8067
HD75732,2456583.94072,-89.40,1.27,APF,0.1995,0.0013,-1.0000,-1.0000,rl06.8328
HD75732,2456583.94221,-91.54,1.13,APF,0.1993,0.0013,-1.0000,-1.0000,rl06.8329
HD75732,2456583.94372,-89.69,1.12,APF,0.1977,0.0013,-1.0000,-1.0000,rl06.8330
HD75732,2456588.89047,32.90,1.39,APF,0.2005,0.0013,-1.0000,-1.0000,rl06.9454
HD75732,2456588.89187,37.75,1.19,APF,0.2039,0.0014,-1.0000,-1.0000,rl06.9455
HD75732,2456588.89325,37.11,1.21,APF,0.2028,0.0014,-1.0000,-1.0000,rl06.9456
HD75732,2456589.94658,56.84,1.32,APF,0.1953,0.0013,-1.0000,-1.0000,rl06.9844
HD75732,2456589.94779,56.81,1.29,APF,0.1933,0.0013,-1.0000,-1.0000,rl06.9845
HD75732,2456589.94901,57.89,1.17,APF,0.1959,0.0013,-1.0000,-1.0000,rl06.9846
HD75732,2456590.03802,59.14,1.20,APF,0.1879,0.0012,-1.0000,-1.0000,rl06.9871
HD75732,2456590.03919,62.03,1.20,APF,0.1903,0.0012,-1.0000,-1.0000,rl06.9872
HD75732,2456590.04033,61.87,1.26,APF,0.1903,0.0012,-1.0000,-1.0000,rl06.9873
HD75732,2456591.01037,62.47,1.25,APF,0.1890,0.0012,-1.0000,-1.0000,rl07.108
HD75732,2456591.01161,64.24,1.18,APF,0.1922,0.0013,-1.0000,-1.0000,rl07.109
HD75732,2456591.01288,63.95,1.32,APF,0.1908,0.0013,-1.0000,-1.0000,rl07.110
HD75732,2456591.91810,46.03,1.24,APF,0.1978,0.0013,-1.0000,-1.0000,rl07.318
HD75732,2456591.91942,43.22,1.13,APF,0.1978,0.0013,-1.0000,-1.0000,rl07.319
HD75732,2456591.92070,44.29,1.18,APF,0.1946,0.0013,-1.0000,-1.0000,rl07.320
HD75732,2456597.94070,-91.83,1.13,APF,0.2014,0.0013,-1.0000,-1.0000,rl07.1010
HD75732,2456597.94218,-91.90,1.18,APF,0.1975,0.0013,-1.0000,-1.0000,rl07.1011
HD75732,2456597.94370,-92.76,1.19,APF,0.1960,0.0013,-1.0000,-1.0000,rl07.1012
HD75732,2456606.86780,28.24,1.18,APF,0.1980,0.0013,-1.0000,-1.0000,rl07.2787
HD75732,2456606.86941,32.41,1.18,APF,0.1905,0.0013,-1.0000,-1.0000,rl07.2788
HD75732,2456606.87124,31.18,1.16,APF,0.1967,0.0013,-1.0000,-1.0000,rl07.2789
HD75732,2456607.06738,34.84,1.21,APF,0.1903,0.0013,-1.0000,-1.0000,rl07.2839
HD75732,2456607.06888,36.59,1.16,APF,0.1908,0.0012,-1.0000,-1.0000,rl07.2840
HD75732,2456607.07013,38.73,1.18,APF,0.1892,0.0013,-1.0000,-1.0000,rl07.2841
HD75732,2456607.91155,14.13,1.20,APF,0.1958,0.0013,-1.0000,-1.0000,rl07.3034
HD75732,2456607.91288,14.52,1.16,APF,0.2006,0.0013,-1.0000,-1.0000,rl07.3035
HD75732,2456607.91420,10.52,1.24,APF,0.1932,0.0013,-1.0000,-1.0000,rl07.3036
HD75732,2456608.08098,2.47,1.12,APF,0.1892,0.0012,-1.0000,-1.0000,rl07.3088
HD75732,2456608.08224,3.09,1.08,APF,0.1918,0.0013,-1.0000,-1.0000,rl07.3089
HD75732,2456608.08358,2.14,1.12,APF,0.1941,0.0013,-1.0000,-1.0000,rl07.3090
HD75732,2456610.98988,-83.05,1.09,APF,0.1944,0.0013,-1.0000,-1.0000,rl07.3519
HD75732,2456610.99134,-82.79,1.11,APF,0.1999,0.0013,-1.0000,-1.0000,rl07.3520
HD75732,2456610.99274,-77.68,1.10,APF,0.1955,0.0013,-1.0000,-1.0000,rl07.3521
HD75732,2456619.03403,43.67,1.00,APF,0.1866,0.0012,-1.0000,-1.0000,rl07.4683
HD75732,2456619.87963,33.53,1.33,APF,0.2059,0.0014,-1.0000,-1.0000,rl07.4797
HD75732,2456620.03176,43.09,1.12,APF,0.1914,0.0012,-1.0000,-1.0000,rl07.4803
HD75732,2456622.87237,-0.62,1.32,APF,0.1970,0.0013,-1.0000,-1.0000,rl07.5801
HD75732,2456622.87608,1.97,1.32,APF,0.1934,0.0013,-1.0000,-1.0000,rl07.5802
HD75732,2456622.87861,-2.61,1.23,APF,0.1989,0.0013,-1.0000,-1.0000,rl07.5803
HD75732,2456624.91745,-49.68,1.28,APF,0.1903,0.0013,-1.0000,-1.0000,rl07.6085
HD75732,2456624.91938,-47.59,1.19,APF,0.1911,0.0013,-1.0000,-1.0000,rl07.6086
HD75732,2456624.92134,-49.91,1.29,APF,0.1893,0.0013,-1.0000,-1.0000,rl07.6087
HD75732,2456626.83238,-81.71,1.22,APF,0.1945,0.0013,-1.0000,-1.0000,rl07.6325
HD75732,2456626.83380,-80.32,1.30,APF,0.1938,0.0013,-1.0000,-1.0000,rl07.6326
HD75732,2456626.83524,-81.96,1.29,APF,0.1967,0.0013,-1.0000,-1.0000,rl07.6327
HD75732,2456626.99111,-76.81,1.29,APF,0.1888,0.0013,-1.0000,-1.0000,rl07.6373
HD75732,2456626.99231,-80.27,1.39,APF,0.1922,0.0013,-1.0000,-1.0000,rl07.6374
HD75732,2456626.99348,-75.92,1.35,APF,0.1933,0.0013,-1.0000,-1.0000,rl07.6375
HD75732,2456628.84264,-79.40,1.11,APF,0.1908,0.0013,-1.0000,-1.0000,rl07.6789
HD75732,2456628.84574,-75.19,1.18,APF,0.1918,0.0012,-1.0000,-1.0000,rl07.6790
HD75732,2456628.84905,-74.36,1.18,APF,0.1928,0.0013,-1.0000,-1.0000,rl07.6791
HD75732,2456629.02114,-67.47,1.33,APF,0.1919,0.0013,-1.0000,-1.0000,rl07.6830
HD75732,2456629.02319,-59.84,1.14,APF,0.1927,0.0013,-1.0000,-1.0000,rl07.6831
HD75732,2456629.02490,-65.73,1.29,APF,0.1960,0.0013,-1.0000,-1.0000,rl07.6832
HD75732,2456631.79594,9.25,1.42,APF,0.1915,0.0012,-1.0000,-1.0000,rl07.7385
HD75732,2456631.96761,0.77,1.56,APF,0.1891,0.0012,-1.0000,-1.0000,rl07.7420
HD75732,2456632.80605,49.61,1.15,APF,0.1838,0.0012,-1.0000,-1.0000,rl07.7616
HD75732,2456633.00156,50.43,0.98,APF,0.1824,0.001,-1.0000,-1.0000,rl07.7661
HD75732,2456648.75678,41.48,1.29,APF,0.1990,0.0013,-1.0000,-1.0000,rl07.8983
HD75732,2456648.76060,43.74,1.27,APF,0.1983,0.0013,-1.0000,-1.0000,rl07.8984
HD75732,2456648.76488,39.66,1.29,APF,0.1930,0.0013,-1.0000,-1.0000,rl07.8985
HD75732,2456649.00907,55.13,1.15,APF,0.1956,0.0012,-1.0000,-1.0000,rl07.9028
HD75732,2456649.01116,52.87,1.37,APF,0.1905,0.0012,-1.0000,-1.0000,rl07.9029
HD75732,2456649.01338,56.10,1.34,APF,0.1991,0.0012,-1.0000,-1.0000,rl07.9030
