Name,JD,RVel,e_RVel,SNR,Dewar
12235,2447048.8619,45.87,13.12,264.0,8
12235,2447430.84,55.61,12.02,302.0,8
12235,2448199.8038,11.29,12.66,244.0,8
12235,2448645.7416,6.26,13.43,252.0,8
12235,2448845.9875,16.79,10.59,280.0,8
12235,2448905.8957,13.09,12.69,202.0,8
12235,2448991.7763,7.39,12.56,192.0,8
12235,2449304.7926,19.67,8.89,233.0,8
12235,2449306.81039,21.12,8.23,244.0,8
12235,2449349.6699,0.73,13.65,235.0,8
12235,2449603.94965,4.27,9.34,234.0,8
12235,2449622.8835,11.86,10.83,293.0,8
12235,2449680.7894,0.0,7.66,108.0,13
12235,2450003.9541,-3.62,3.49,121.0,13
12235,2450032.82144,3.63,2.53,145.0,13
12235,2450072.73438,6.68,2.67,166.0,13
12235,2450087.70508,-0.6,2.63,168.0,13
12235,2450091.68555,5.99,2.58,190.0,13
12235,2450326.00684,7.26,2.4,250.0,13
12235,2450327.94531,16.05,2.79,198.0,13
12235,2450437.77637,12.76,2.4,202.0,13
12235,2450656.00098,-0.46,2.71,170.0,13
12235,2450656.9668,-5.86,3.07,196.0,13
12235,2450681.98633,-7.73,2.92,149.0,13
12235,2450767.78934,-10.94,3.23,118.0,13
12235,2450793.73242,-20.68,3.23,120.0,13
12235,2450854.68945,-9.01,10.43,37.0,13
12235,2450856.63769,2.22,2.96,156.0,13
12235,2451439.92269,-17.57,3.05,163.0,6
12235,2451446.98633,-14.3,3.23,176.0,6
12235,2451447.97852,-14.57,3.77,124.0,6
12235,2452896.93848,-29.61,2.8,213.0,8
12235,2453034.68164,-12.56,2.98,146.0,8
12235,2453278.9994,-3.61,2.97,121.0,8
12235,2453389.6611,6.86,2.63,185.0,8
12235,2453742.74406,2.19,4.46,83.0,8
12235,2454071.8078,-13.11,3.36,123.0,8
12235,2454072.71634,-28.16,2.99,197.0,8
12235,2454784.7446,-41.53,3.19,147.0,8
12235,2454844.68171,-17.05,3.06,154.0,8
12235,2454848.70216,-11.18,2.1,241.0,8
12235,2454849.69252,-17.68,2.21,237.0,8
12235,2455228.62471,-16.34,4.85,147.0,8
12235,2455846.81931,-22.4,3.14,154.0,8
