Name,JD,RVel,e_RVel,SNR,Dewar
131156B,2449858.82519,13.14,9.48,66.0,13
131156B,2449858.8457,-3.16,9.62,57.0,13
131156B,2449914.75293,60.44,2.31,144.0,13
131156B,2449914.76856,71.87,2.39,123.0,13
131156B,2450181.86914,42.68,2.64,156.0,13
131156B,2450503.01074,-28.33,3.35,77.0,13
131156B,2450503.02637,-23.88,3.88,68.0,13
131156B,2450613.76074,0.0,2.77,124.0,13
131156B,2450655.70312,21.28,2.62,118.0,13
131156B,2450656.71094,18.39,2.35,128.0,13
131156B,2452451.77246,-99.51,3.43,137.0,6
131156B,2453155.83106,-178.51,2.5,159.0,8
131156B,2453482.78115,-197.14,2.71,115.0,8
131156B,2454649.80878,-315.12,2.37,167.0,8
