Name,JD,RVel,e_RVel,SNR,Dewar
8673,2451026.94531,-221.81,38.91,85.0,6
8673,2451048.95215,-348.92,44.32,75.0,6
8673,2451069.93652,-411.09,37.39,90.0,6
8673,2451402.92441,70.89,27.0,144.0,6
8673,2451416.97266,-44.69,29.48,164.0,6
8673,2451419.98269,46.48,24.71,149.0,6
8673,2451444.93945,-105.67,33.88,164.0,6
8673,2451447.92773,-26.06,26.94,185.0,6
8673,2451496.81225,-127.07,25.77,154.0,6
8673,2451533.72168,0.0,33.91,139.0,6
8673,2452121.87402,-131.33,33.79,155.0,6
8673,2452158.92871,-142.63,25.37,212.0,6
8673,2452896.85547,324.95,28.9,174.0,8
8673,2453034.66894,172.25,33.46,125.0,8
8673,2453237.94125,-115.23,25.83,103.0,8
8673,2453280.87012,40.47,25.15,226.0,8
8673,2453341.72586,42.35,25.01,118.0,8
8673,2453388.62313,29.23,18.15,221.0,8
8673,2453390.63998,-11.33,17.73,226.0,8
8673,2453636.88231,7.21,16.99,247.0,8
8673,2453742.66518,-43.16,32.03,135.0,8
8673,2453987.88546,-62.03,26.07,142.0,8
8673,2454046.77515,-21.35,31.0,157.0,8
8673,2454047.71967,-54.75,20.7,202.0,8
8673,2454049.69939,-139.95,20.53,209.0,8
8673,2454099.72134,51.77,27.37,151.0,8
8673,2454311.94724,42.37,26.17,190.0,8
8673,2454337.87849,25.39,17.35,277.0,8
8673,2454339.94682,74.75,23.3,188.0,8
8673,2454724.96581,114.89,18.1,226.0,8
8673,2454783.70042,53.39,26.99,153.0,8
8673,2454784.67794,75.9,31.15,151.0,8
8673,2455844.8383,-30.16,32.15,158.0,8
