Name,JD,RVel,e_RVel,SNR,Dewar
GL107B,2447048.8832,-22.06,29.22,41.0,13
GL107B,2448847.9694,-46.68,29.7,49.0,13
GL107B,2448905.9221,-8.14,29.89,47.0,13
GL107B,2448991.8276,-4.5,40.07,28.0,13
GL107B,2449349.6861,3.83,28.14,71.0,13
GL107B,2449621.9529,-20.18,24.32,65.0,13
GL107B,2449679.7609,5.76,21.42,29.0,13
GL107B,2450004.95215,62.07,14.05,25.0,13
GL107B,2450072.75195,18.41,11.11,28.0,13
GL107B,2450090.67481,8.84,8.38,37.0,13
GL107B,2450326.98535,12.36,7.77,40.0,13
GL107B,2450421.91211,-30.64,8.44,36.0,13
GL107B,2450437.7959,23.7,8.11,35.0,13
GL107B,2450441.80469,-15.73,21.8,20.0,13
GL107B,2450504.66406,0.0,14.33,25.0,13
GL107B,2450656.95801,-48.13,14.01,21.0,13
