Name,JD,RVel,e_RVel,SNR,Dewar
GL412A,2448648.9676,33.46,19.97,64.0,8
GL412A,2449349.9777,-24.87,17.19,101.0,8
GL412A,2449350.9936,-19.72,14.0,116.0,8
GL412A,2449469.7314,-41.83,23.87,113.0,8
GL412A,2449769.9582,18.48,11.8,57.0,13
GL412A,2450144.91309,26.66,7.21,41.0,13
GL412A,2450179.76172,2.01,5.55,47.0,13
GL412A,2450180.74121,-2.92,4.57,75.0,13
GL412A,2450181.76562,0.0,5.05,57.0,13
GL412A,2450438.0459,8.04,5.27,57.0,13
GL412A,2450442.07129,-10.47,6.25,44.0,13
GL412A,2450502.90039,2.61,8.61,34.0,13
GL412A,2450503.89453,24.53,8.32,34.0,13
GL412A,2450504.92676,-17.73,5.59,46.0,13
GL412A,2450794.02832,-13.28,7.66,37.0,13
