Name,JD,RVel,e_RVel,SNR,Dewar
GL623,2446959.9,-1271.74,62.16,35.0,2
GL623,2448846.7834,1116.58,36.22,38.0,2
GL623,2448905.6313,986.37,29.26,43.0,2
GL623,2449114.9235,443.79,38.51,43.0,2
GL623,2449172.7354,349.42,37.61,66.0,2
GL623,2449200.706,225.54,47.26,55.0,2
GL623,2449350.0975,0.0,46.32,52.0,2
GL623,2449469.9278,-462.89,36.23,63.0,2
GL623,2449622.6293,-986.45,29.88,64.0,2
GL623,2449794.0519,-1959.55,8.55,31.0,13
GL623,2449881.9082,-2865.23,1.05,33.0,13
GL623,2450181.92481,1155.57,1.05,33.0,13
GL623,2451027.72168,-1268.32,1.05,52.0,6
