Name,JD,RVel,e_RVel,SNR,Dewar
122652,2450832.01465,-37.96,9.25,59.0,13
122652,2451004.70797,-34.01,9.09,80.0,6
122652,2451006.69629,9.19,8.07,74.0,6
122652,2451025.69238,36.83,8.96,69.0,6
122652,2451027.67578,3.89,6.09,115.0,6
122652,2451044.67969,32.42,8.45,67.0,6
122652,2451045.66406,30.26,6.97,76.0,6
122652,2451046.66113,0.0,8.85,75.0,6
122652,2451047.67578,1.5,10.7,66.0,6
122652,2451048.66992,44.86,12.34,57.0,6
122652,2451049.66699,22.66,12.91,60.0,6
122652,2451207.03125,19.15,6.13,116.0,6
122652,2452033.87988,-5.83,4.64,203.0,6
122652,2452042.79102,20.24,5.8,144.0,6
122652,2452333.98731,-16.38,4.66,224.0,6
122652,2452335.98242,-22.37,5.23,134.0,8
122652,2452338.97461,-11.39,4.55,228.0,6
122652,2452429.78027,-17.78,4.64,143.0,8
122652,2452834.70991,5.54,4.16,193.0,8
122652,2452834.72028,-8.61,4.07,152.0,8
122652,2453102.88086,12.78,5.34,111.0,8
122652,2453155.79688,-23.11,4.51,143.0,8
122652,2453391.02132,-9.6,4.8,141.0,8
122652,2453514.73336,44.04,5.79,97.0,8
122652,2454135.04652,-9.36,5.35,122.0,8
122652,2454165.97455,-2.7,5.6,120.0,8
122652,2454196.88016,-14.49,5.2,119.0,8
