objname,ra,dec,bjd,rv,rv_err,fwhm,span,maxcpp,contrast,lines,sn26
HD102870,177.032629363532,2.04281806823269,2454465.73126102,4505.77211380005,1.29305,8820.869999999999,42.0,3823,33.3083,4763,115.618
HD102870,177.032629363532,2.04281806823269,2454889.57733131,4511.5647315979,0.56782,8800.789999999999,42.6667,18412,35.036,4730,243.089
HD102870,177.032629363532,2.04281806823269,2454462.7287868,4517.10987091064,1.13032,8816.39,39.6667,5042,33.9194,4764,129.658
HD102870,177.032629363532,2.04281806823269,2454879.58644146,4506.58750534058,1.74387,8777.36,52.5,2425,33.9099,4741,85.1706
HD102870,177.032629363532,2.04281806823269,2454911.50600257,4522.18151092529,0.452003,8816.25,41.5,28779,35.0125,4716,307.598
HD102870,177.032629363532,2.04281806823269,2454164.57223283,4501.84488296509,0.36699699999999996,8775.91,,42984,35.4282,4722,371.48
HD102870,177.032629363532,2.04281806823269,2454903.49211286,4507.91692733765,0.848425,8790.02,42.8333,8564,34.7179,4719,164.313
HD102870,177.032629363532,2.04281806823269,2454871.59533907,4509.73701477051,0.37039799999999995,8810.35,38.5,42436,35.2626,4743,370.945
HD102870,177.032629363532,2.04281806823269,2454597.35555481,4493.14308166504,0.764408,8825.07,30.666700000000002,9851,34.5979,4683,188.676
HD102870,177.032629363532,2.04281806823269,2454877.57424396,5652.33898162842,0.550555,8807.650000000001,40.6667,19624,35.1227,4741,251.01
HD102870,177.032629363532,2.04281806823269,2454462.72943501,4518.8903808593805,1.12181,8802.4,41.3333,5186,34.0828,4764,129.109
HD102870,177.032629363532,2.04281806823269,2454925.44031941,4501.88684463501,0.904753,8793.46,41.0,7392,34.7216,4706,153.767
HD102870,177.032629363532,2.04281806823269,2454881.5878105,4511.90423965454,1.05732,8782.859999999999,41.1667,5636,34.4227,4737,131.405
HD102870,177.032629363532,2.04281806823269,2454164.51018271,4488.71088027954,0.33933800000000003,8777.390000000001,,49946,35.4588,4722,401.645
HD102870,177.032629363532,2.04281806823269,2454934.48188092,4498.7888336181595,1.0409,8794.050000000001,34.5,5710,34.5008,4696,134.483
HD102870,177.032629363532,2.04281806823269,2454904.51316372,4510.89239120483,0.992834,8791.63,42.8333,6379,34.629,4718,140.334
HD102870,177.032629363532,2.04281806823269,2454543.54562406,4499.2771148681595,0.7100420000000001,8834.98,40.0,11565,34.7269,4716,204.591
HD102870,177.032629363532,2.04281806823269,2454882.59489344,4509.84525680542,1.7399900000000001,8765.52,37.5,2508,34.1255,4737,84.7639
HD102870,177.032629363532,2.04281806823269,2454496.61751544,4512.38250732422,0.8942950000000001,8793.6,35.0,7705,34.4457,4750,157.238
HD102870,177.032629363532,2.04281806823269,2454913.47113043,4524.46174621582,0.766234,8789.220000000001,41.0,10365,34.8847,4715,181.197
HD102870,177.032629363532,2.04281806823269,2454913.47286653,4521.56400680542,0.752435,8809.49,,11057,34.4183,4601,183.886
HD102870,177.032629363532,2.04281806823269,2454595.38700274,4507.62128829956,0.706855,8829.16,37.5,11505,34.6522,4683,205.747
HD102870,177.032629363532,2.04281806823269,2454880.60068064,4508.71562957764,0.8413379999999999,8804.31,44.6667,8653,34.8363,4739,164.967
HD102870,177.032629363532,2.04281806823269,2454902.45799293,4527.67848968506,0.538541,8794.650000000001,49.5,20511,34.9994,4720,256.499
HD102870,177.032629363532,2.04281806823269,2454935.46385311,4499.87936019897,0.7320789999999999,8802.82,40.5,11100,34.8115,4696,190.953
HD102870,177.032629363532,2.04281806823269,2454594.4270405,4480.94463348389,0.625922,8802.429999999998,34.5,14485,35.0232,4683,221.466
HD102870,177.032629363532,2.04281806823269,2454493.67170219,4504.16278839111,1.0199799999999999,8796.27,36.666700000000006,6053,34.1581,4751,138.889
HD102870,177.032629363532,2.04281806823269,2454902.45122201,4523.37312698364,0.764706,8792.619999999999,46.3333,10401,34.7341,4720,181.885
HD102870,177.032629363532,2.04281806823269,2454913.47286653,4521.0080146789605,0.752435,8788.95,36.0,10756,34.9292,4715,183.886
HD102870,177.032629363532,2.04281806823269,2454956.3634409,4517.79079437256,0.577495,8791.62,40.0,17612,35.0714,4685,238.299
HD102870,177.032629363532,2.04281806823269,2454905.5603125,4502.7027130127,0.798577,8792.48,43.8333,9569,34.8402,4718,173.358
HD102870,177.032629363532,2.04281806823269,2454887.53133346,4508.14247131348,0.558307,8802.68,45.8333,19058,35.0562,4733,247.882
HD102870,177.032629363532,2.04281806823269,2457535.42281321,4490.69499969482,0.47719100000000003,8975.91,28.0,21224,33.6816,4675,338.945
HD102870,177.032629363532,2.04281806823269,2454528.57734203,4515.49434661865,0.66129,8899.93,37.3333,12125,33.646,4722,237.432
HD102870,177.032629363532,2.04281806823269,2454545.45984676,4494.4357872009305,0.847739,8808.93,36.3333,8453,34.8436,4716,168.859
HD102870,177.032629363532,2.04281806823269,2454493.67103084,4506.94370269775,1.12146,8787.689999999999,33.0,5081,33.9499,4751,126.292
HD102870,177.032629363532,2.04281806823269,2454594.42602206,4477.75316238403,0.6165660000000001,8799.11,35.8333,14932,35.0459,4683,224.636
HD102870,177.032629363532,2.04281806823269,2454956.36516532,4516.62588119507,0.6049439999999999,8783.480000000001,38.6667,16120,35.0831,4685,227.265
HD102870,177.032629363532,2.04281806823269,2454935.46298509,4497.96009063721,0.69516,8803.359999999999,40.1667,12258,34.8776,4696,200.524
HD102870,177.032629363532,2.04281806823269,2456632.68790201,4490.23771286011,0.486027,8809.519999999999,32.1667,23998,35.4348,4764,282.681
HD102870,177.032629363532,2.04281806823269,2454904.51450632,4508.55398178101,0.990494,8788.619999999999,46.1667,6397,34.6408,4718,140.182
HD102870,177.032629363532,2.04281806823269,2454593.45262233,4486.15884780884,0.759266,8805.36,35.3333,9707,34.7715,4683,182.733
HD102870,177.032629363532,2.04281806823269,2454499.63340421,4499.51219558716,1.63443,8784.61,33.0,2858,33.3103,4749,92.5475
HD102870,177.032629363532,2.04281806823269,2454540.50344966,4502.71511077881,1.09295,8829.789999999999,38.5,5106,34.2786,4717,135.582
HD102870,177.032629363532,2.04281806823269,2454968.33285966,4503.0951499939,0.720816,8793.97,39.1667,11437,34.9483,4679,191.22
HD102870,177.032629363532,2.04281806823269,2454958.32089178,4511.54279708862,0.669799,8796.49,36.166700000000006,13294,34.9802,4684,207.301
HD102870,177.032629363532,2.04281806823269,2454958.3219218,4509.41038131714,0.686516,8796.08,35.3333,12701,34.9698,4684,201.994
HD102870,177.032629363532,2.04281806823269,2454464.72788618,4509.76371765137,1.3286699999999998,8794.2,37.5,3694,33.5241,4763,109.119
HD102870,177.032629363532,2.04281806823269,2454962.42161164,4501.29842758179,0.926462,8780.69,41.1667,6862,34.7084,4683,147.133
HD102870,177.032629363532,2.04281806823269,2454889.57907905,4513.46731185913,0.604341,8799.67,40.3333,16315,35.0267,4730,228.322
HD102870,177.032629363532,2.04281806823269,2454970.33733211,4487.83445358276,0.613175,8785.06,39.8333,15548,35.1258,4679,223.783
HD102870,177.032629363532,2.04281806823269,2454555.51225776,4491.74976348877,0.426101,8865.28,38.6667,31448,34.7164,4706,351.87
HD102870,177.032629363532,2.04281806823269,2457535.41901726,4488.92164230347,0.49379700000000004,8965.26,27.6667,20090,33.756,4675,325.255
HD102870,177.032629363532,2.04281806823269,2454549.52093322,4492.1727180481,1.12687,8798.51,38.8333,4897,34.4816,4713,127.116
HD102870,177.032629363532,2.04281806823269,2454499.6323972,4480.0910949706995,5.8792100000000005,8817.619999999999,27.0,492,26.0366,4749,32.9778
HD102870,177.032629363532,2.04281806823269,2454463.70698613,4511.59858703613,0.919412,8825.23,36.5,7262,34.0596,4763,161.805
HD102870,177.032629363532,2.04281806823269,2454968.33207269,4501.71279907227,0.6711659999999999,8794.01,39.1667,13093,34.9998,4679,205.629
HD102870,177.032629363532,2.04281806823269,2454952.42318043,4498.60239028931,0.474578,8747.27,,25517,35.1312,4703,289.573
HD102870,177.032629363532,2.04281806823269,2454934.48119808,4497.71070480347,1.00025,8793.03,37.6667,6123,34.5224,4696,140.389
HD102870,177.032629363532,2.04281806823269,2454877.57217209,5652.15873718262,0.6020310000000001,8803.16,40.5,16497,35.1033,4741,229.256
HD102870,177.032629363532,2.04281806823269,2454880.60252101,4512.64667510986,0.785636,8809.990000000002,45.3333,9877,34.8993,4739,176.148
HD102870,177.032629363532,2.04281806823269,2454936.44239806,4482.20777511597,2.12011,8737.019999999999,37.0,1771,33.4544,4696,70.8465
HD102870,177.032629363532,2.04281806823269,2457535.41142535,4492.81311035156,0.49635599999999996,8945.24,33.5,20309,33.9106,4675,319.964
