,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
206352,GJ2060,112.213980047792,-30.2470304823406,2454067.834982,106.985067,0.882817,18635.282753,1.566426,210.849868,0.213892,18635.626764,1.221098,239.277822,2.341058,-24.386167,19.252463,-5.596346,1.116991,2.526575,0.001564,0.597396,0.001679,0.556453,0.001729,0,4.825184,0.285709,31469.168527,0,111.8,2454067.8351,15.455678,15.455618,0,-9999999,0.0,0.054769,0.856514,0.344011,0.981127,0.5,1800,-28.753651,25.249807,2006-11-28T07:44:27.933,-9999999,M2,078.D-0245(C),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M1,-9999999.0,-9999999.0,-9999999,-9999999
206353,GJ2060,112.213980047792,-30.2470304823406,2456774.4938093,-108.502034,0.889054,29028.44837,1.555678,-4.414601,0.238217,29029.118518,1.207252,13.708581,2.504979,43.086411,20.228776,-0.133287,0.937773,2.306552,0.00147,0.582598,0.001591,0.548938,0.001657,0,31.994371,14.41654,-1.58361,28,114.4,2456774.49381,-18.643617,-18.643784,0,-9999999,0.102563,0.2774,0.856545,0.567585,0.98116,0.44,2392,44.730638,23.433991,2014-04-26T23:34:00.488,-9999999,G2,192.C-0224(B),Lagrange,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,-9999999.0,-9999999.0,-9999999,-9999999
206354,GJ2060,112.213980047792,-30.2470304823406,2457666.8817099,220.964665,3.525045,18121.933055,6.640461,277.231578,3.302184,18122.242968,6.502603,-553.88529,3.601759,-97.255797,30.921428,4.455837,1.757827,2.354367,0.002132,0.592882,0.002269,0.552058,0.002305,0,6.077137,0.384791,-2.57987578844e+32,28,82.2,2457666.8817,17.893376,17.893531,0,-9999999,0.136378,0.188921,1.233499,0.173535,1.346059,0.57,900,-87.610061,39.913241,2016-10-05T09:02:48.718,-9999999,M2,097.C-0864(B),Lannier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M2,-9999999.0,-9999999.0,-9999999,-9999999
206355,GJ2060,112.213980047792,-30.2470304823406,2457666.8916576,169.406187,3.446341,18357.605984,6.433137,225.69137,3.21803,18357.916193,6.290734,-648.808498,3.286227,-62.828152,25.201638,4.91396,0.984873,2.349049,0.002007,0.586914,0.002126,0.552512,0.002171,0,6.293412,0.403284,-1.21709280986e+29,28,87.1,2457666.89166,17.875186,17.875337,0,-9999999,0.136379,0.207192,1.233512,0.17383,1.346075,0.49,900,-56.489856,33.15613,2016-10-05T09:18:20.143,-9999999,M2,097.C-0864(B),Lannier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M2,-9999999.0,-9999999.0,-9999999,-9999999
206356,GJ2060,112.213980047792,-30.2470304823406,2457667.8694793,348.830834,3.110504,27399.098934,6.340835,404.684355,3.064485,27399.270495,6.299755,-480.394608,3.257377,-60.048278,29.973138,1.87663,1.35319,2.251018,0.001999,0.557455,0.002089,0.527572,0.002141,0,308.339462,42.601377,0.0,28,86.2,2457667.86947,18.011417,18.011589,0,-9999999,0.136416,-0.22447,0.533075,0.035145,0.720612,0.5,900,-57.174676,36.390785,2016-10-06T08:46:09.930,-9999999,M2,097.C-0864(B),Lannier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M2,-9999999.0,-9999999.0,-9999999,-9999999
206357,GJ2060,112.213980047792,-30.2470304823406,2457668.8643372,-123.071579,3.100456,27078.897372,6.338615,-66.919407,2.844531,27078.997252,6.194048,-1054.070329,3.02985,-34.969245,29.988082,0.993432,1.223122,2.297757,0.001943,0.563506,0.002019,0.537526,0.002077,0,289.380716,38.657339,0.0,28,89.6,2457668.86433,18.111477,18.111668,0,-9999999,0.136453,0.074181,1.233479,-0.036573,1.346033,0.5,900,-106.424095,313.562268,2016-10-07T08:38:40.539,-9999999,M2,097.C-0864(B),Lannier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M2,-9999999.0,-9999999.0,-9999999,-9999999
206358,GJ2060,112.213980047792,-30.2470304823406,2457668.8750092,-160.02689,3.331614,27053.663933,6.586001,-103.855117,3.094859,27053.764131,6.446981,-1040.163773,3.373843,-30.017065,29.741591,2.192225,1.511242,2.322079,0.002105,0.563116,0.002184,0.543638,0.002261,0,308.228348,41.845918,0.0,28,83.1,2457668.875,18.092743,18.092924,0,-9999999,0.136454,0.093781,1.233491,-0.036256,1.346049,0.49,900,-47.952021,315.674284,2016-10-07T08:54:11.542,-9999999,M2,097.C-0864(B),Lannier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M2,-9999999.0,-9999999.0,-9999999,-9999999
206359,GJ2060,112.213980047792,-30.2470304823406,2457669.8754283,-62.044328,2.667727,27301.250747,5.833189,-6.015793,2.365432,27301.213587,5.675759,-1030.898667,2.542068,84.670047,21.796952,-1.692766,1.248777,2.263278,0.00162,0.559223,0.001683,0.527002,0.001718,0,342.164517,46.958894,0.0,28,106.4,2457669.87542,18.177481,18.177697,0,-9999999,0.136492,-0.049457,1.233491,-0.173652,1.346049,0.51,900,211.306377,306.398533,2016-10-08T08:54:24.570,-9999999,M2,097.C-0864(B),Lannier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M2,-9999999.0,-9999999.0,-9999999,-9999999
206360,GJ2060,112.213980047792,-30.2470304823406,2457669.8861001,-100.992705,2.701685,27247.521324,5.869032,-44.94457,2.403657,27247.484481,5.712586,-1015.83142,2.54801,93.851015,17.760612,0.369302,1.116145,2.288607,0.001634,0.566729,0.001696,0.533217,0.001729,0,340.061849,46.469736,0.0,28,106.2,2457669.88609,18.157644,18.157849,0,-9999999,0.136492,-0.029856,1.233505,-0.173335,1.346066,0.5,900,236.697464,302.638569,2016-10-08T09:09:55.563,-9999999,M2,097.C-0864(B),Lannier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M2,-9999999.0,-9999999.0,-9999999,-9999999
206361,GJ2060,112.213980047792,-30.2470304823406,2457670.890046,-60.009087,2.99636,26472.752166,6.288482,-4.18057,2.730683,26472.432777,6.142727,-1045.406892,2.932772,26.224851,19.064739,0.641183,1.097315,2.215358,0.001839,0.539694,0.001899,0.511572,0.001945,0,33.050451,0.844377,0.0,28,92.7,2457670.89004,18.229808,18.230039,0,-9999999,0.13653,-0.249474,1.23351,-0.455919,1.346072,0.49,750,159.526817,300.509829,2016-10-09T09:16:53.768,-9999999,M2,097.C-0864(B),Lannier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M2,-9999999.0,-9999999.0,-9999999,-9999999
