,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
10430,HIP70681,216.85542,-18.41076,2453054.8947617,2.795917,1.999239,-45568.607186,1.709465,-0.23102,1.837776,-45565.8168,1.483871,-0.18309,1.837714,24.459171,15.213176,6.687667,1.802915,0.433295,0.001276,0.514285,0.002132,0.645354,0.002634,0,5.961302,26.817441,-0.026597,-46,59.7,2453054.89476,28.440284,28.440504,0,-9999999,0.0,2.640095,0.787106,2.790386,0.848763,0.5,449,24.379228,15.222493,2004-02-19T09:21:58.661,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G3,5.16316351688238e-06,1.10066693409149e-06,0,0
10431,HIP70681,216.85542,-18.41076,2453063.8635591,1.780529,2.334275,-45573.634287,1.989608,-1.743099,2.253289,-45571.273779,1.891123,-1.814084,2.253327,5.678457,17.199758,4.22909,1.858123,0.426647,0.001556,0.503471,0.002607,0.634153,0.00319,0,5.97757,26.887822,-0.019432,-46,49.1,2453063.86356,26.531984,26.532289,0,-9999999,0.003281,2.143403,0.60953,2.357227,0.618218,0.52,604,5.647863,17.205244,2004-02-28T08:34:22.022,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G3,1.28814418757917e-05,9.67405771849499e-07,0,0
10432,HIP70681,216.85542,-18.41076,2453833.7755735,-2.143969,2.112775,-45580.888089,1.743264,-8.014506,1.931248,-45581.232857,1.44089,-8.125178,1.931112,-18.053479,17.583281,-5.427085,1.569122,0.433799,0.001348,0.507877,0.002243,0.640624,0.002763,0,5.981746,26.772073,-0.029582,-46,57.4,2453833.77567,11.649848,11.649877,0,-9999999,0.284915,-0.203505,0.856796,-0.629683,0.981227,0.44,226,-18.039857,17.566875,2006-04-08T06:27:30.917,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G3,6.45209955196863e-06,1.05197138378802e-06,0,0
10433,HIP70681,216.85542,-18.41076,2453945.5124806,0.084156,1.936877,-45573.523085,1.46384,-5.058385,1.865681,-45572.505588,1.365953,-5.018331,1.866134,28.154212,17.863379,-7.310284,1.731851,0.430424,0.001243,0.502492,0.002094,0.653025,0.002608,0,5.969348,26.913991,-0.026834,-46,60.9,2453945.51259,-29.345347,-29.345601,0,-9999999,0.325789,0.52449,0.520313,0.691708,0.526308,0.47,300,28.024356,17.882645,2006-07-29T00:14:57.432,-9999999,G2,077.C-0364(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G3,1.42725347746766e-06,1.36921283211492e-06,0,0
10434,HIP70681,216.85542,-18.41076,2454480.8412798,3.632492,1.408518,-45573.376635,1.114887,-2.233404,1.272029,-45573.410171,0.94032,-2.328855,1.271973,-3.03895,11.043321,-1.006275,0.949709,0.431539,0.000866,0.517995,0.001464,0.663294,0.001808,0,5.971594,26.792399,-0.028747,-46,88.3,2454480.8414,29.321949,29.321648,0,-9999999,0.521613,-0.198864,0.604867,-0.555149,0.598976,0.53,900,-3.150712,11.038837,2008-01-15T08:05:46.471,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G3,7.90202111725678e-06,8.10904472168843e-07,0,0
10435,HIP70681,216.85542,-18.41076,2454483.8347915,-1.03482,1.301975,-45576.442561,1.18401,-4.991508,1.206823,-45574.046495,0.907858,-4.990451,1.206719,-7.80487,10.114628,0.440456,0.944901,0.436756,0.000821,0.506799,0.001383,0.651273,0.001711,0,5.982212,26.783413,-0.024821,-46,93.0,2454483.83491,29.706857,29.706577,0,-9999999,0.522708,1.710344,0.488586,1.873358,0.760049,0.5,900,-7.709801,10.177095,2008-01-18T07:56:27.662,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G3,7.47484626963633e-06,6.52701082213879e-07,0,0
10436,HIP70681,216.85542,-18.41076,2454524.8290235,1.615196,1.320999,-45575.952919,1.241521,-4.889022,1.081564,-45575.925721,0.857311,-4.935547,1.081229,4.709007,8.331382,2.159846,0.817255,0.435761,0.00079,0.500651,0.001287,0.636191,0.001588,0,5.977946,26.796534,-0.02407,-46,98.1,2454524.82914,26.659704,26.659546,0,-9999999,0.537704,-0.837187,0.758458,-0.510506,0.897993,0.5,900,4.712005,8.291836,2008-02-28T07:42:23.659,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G3,6.37432289598302e-06,7.26983500013953e-07,0,0
10437,HIP70681,216.85542,-18.41076,2454559.8393291,-0.699988,1.341405,-45577.334944,1.146921,-5.477278,1.043695,-45576.025722,0.824743,-5.474339,1.043716,7.488288,7.436173,-1.839774,0.926454,0.438366,0.00077,0.507503,0.001259,0.639878,0.001554,0,5.977003,26.789035,-0.030321,-46,101.5,2454559.83933,13.629501,13.629835,1,-9999999,0.55051,0.889742,0.842655,0.758712,0.797012,0.5,900,7.489124,7.45901,2008-04-03T07:53:44.326,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,5.88129334059186e-06,6.80801373668525e-07,0,0
10438,HIP70681,216.85542,-18.41076,2454568.7730709,1.012744,1.774096,-45574.951269,1.348727,-3.726513,1.61423,-45573.784421,1.192977,-3.801163,1.613919,4.133212,14.889933,-0.093433,1.173719,0.431806,0.001151,0.502215,0.001869,0.638452,0.002318,0,5.993175,26.76071,-0.024272,-46,68.4,2454568.77319,9.491473,9.491473,0,-9999999,0.553778,0.927775,0.735988,0.61307,0.629182,0.53,900,4.354887,14.915627,2008-04-12T06:17:22.517,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G3,6.17305763394008e-06,1.02427849354907e-06,0,0
10439,HIP70681,216.85542,-18.41076,2454582.7355736,-0.170526,2.483353,-45575.739026,2.054561,-4.542891,2.334719,-45574.67308,1.805111,-4.4565,2.335065,52.148511,19.488216,1.004783,1.883537,0.430904,0.001692,0.502763,0.002714,0.646339,0.00338,0,5.974015,26.779312,-0.029103,-46,48.0,2454582.73557,2.583925,2.584294,0,-9999999,0.558886,1.294667,0.846243,0.50706,0.981221,0.5,332,52.47444,19.486781,2008-04-26T05:28:08.974,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G3,7.71391497765021e-06,1.30880753834464e-06,0,0
