,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
141576,HIP115126,349.77819,-13.4588,2453157.9105009,34.210403,1.062909,8710.085824,1.055305,2802.888869,0.629366,8710.485077,0.388571,2802.96499,0.629378,131.264215,15.083589,42.034152,3.39231,0.439463,0.000415,0.279968,0.000538,0.391708,0.000699,0,7.637288,51.625971,0.130704,11,176.3,2453157.9105,29.101313,29.101273,0,-9999999,0.0,0.041027,0.856547,0.399253,0.981163,0.52,100,161.739381,31.539278,2004-06-01T09:50:49.191,-9999999,G2,073.D-0038(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8IV,6.87146907486335e-06,4.9641289322002e-07,0,0
141577,HIP115126,349.77819,-13.4588,2453157.9120043,28.687247,1.048478,8701.983153,1.047263,2797.36524,0.604675,8702.37958,0.366166,2797.438522,0.604677,131.496728,12.569616,28.532798,3.037895,0.438839,0.000388,0.279633,0.000505,0.393487,0.000659,0,7.619295,51.762006,0.120628,11,187.4,2453157.912,29.097898,29.097865,0,-9999999,0.0,0.040555,0.856548,0.396427,0.981164,0.51,100,159.877558,31.483763,2004-06-01T09:53:00.072,-9999999,G2,073.D-0038(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8IV,8.30359488419099e-06,3.7020369965863e-07,0,0
141578,HIP115126,349.77819,-13.4588,2453157.9135187,25.267964,1.046272,8698.201565,1.045224,2793.945482,0.600841,8698.595146,0.36029,2794.033664,0.60086,118.591554,14.174354,23.7923,2.838991,0.438087,0.000383,0.279884,0.000499,0.39386,0.000651,0,7.615014,51.792525,0.120841,11,189.9,2453157.91351,29.094444,29.094443,0,-9999999,0.0,0.040079,0.856549,0.393581,0.981165,0.51,100,147.130324,31.511051,2004-06-01T09:55:10.903,-9999999,G2,073.D-0038(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8IV,8.28486051257373e-06,3.60743201431494e-07,0,0
141579,HIP115126,349.77819,-13.4588,2453191.838541,-491.489471,0.998233,8189.373231,1.08089,2277.542097,0.664114,8186.063832,0.453553,2277.631313,0.664112,92.468002,12.572921,35.42624,3.4311,0.438479,0.000505,0.279674,0.000663,0.395167,0.000868,0,7.64877,51.525761,0.148723,0,144.1,2453191.83854,25.626894,25.62704,1,-9999999,0.003986,0.394129,0.745266,-3.313385,0.981128,0.5,90,105.193836,35.494332,2004-07-05T08:02:45.096,-9999999,G2,073.D-0038(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8IV,8.8318327508569e-06,4.81636749740188e-07,0,0
141580,HIP115126,349.77819,-13.4588,2453191.8399304,-484.566985,0.995417,8198.471454,1.073345,2284.464146,0.659873,8195.159443,0.435266,2284.537092,0.659873,93.128928,11.75787,53.570159,3.438649,0.43784,0.000491,0.277187,0.000636,0.394271,0.000836,0,7.671595,51.353619,0.164784,0,149.4,2453191.83993,25.623247,25.623403,2,-9999999,0.003986,0.393692,0.745267,-3.315997,0.981129,0.49,90,107.407038,33.68336,2004-07-05T08:04:46.024,-9999999,G2,073.D-0038(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8IV,8.25953151328464e-06,4.38013314758171e-07,0,0
141581,HIP115126,349.77819,-13.4588,2453191.841327,-486.956597,0.981111,8194.874889,1.064943,2282.074095,0.638087,8191.560253,0.414113,2282.114869,0.638034,90.269548,13.469379,42.766929,3.21387,0.437914,0.000464,0.277741,0.000603,0.393151,0.00079,0,7.659889,51.449987,0.157422,0,157.5,2453191.84132,25.619574,25.619758,2,-9999999,0.003986,0.393254,0.745267,-3.318622,0.981129,0.49,90,109.445038,33.900036,2004-07-05T08:06:46.682,-9999999,G2,073.D-0038(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8IV,8.78400615535693e-06,4.29794853177187e-07,0,0
141582,HIP115126,349.77819,-13.4588,2453191.848769,-487.910827,0.978475,8194.010624,1.061834,2281.117528,0.634023,8190.682002,0.406042,2281.192016,0.634024,88.056745,13.333778,45.329832,3.318159,0.438844,0.000451,0.278308,0.000588,0.392361,0.000769,0,7.616206,51.370801,0.155966,11,161.6,2453191.84876,25.599869,25.600045,2,-9999999,0.003987,0.390916,0.745271,-3.332609,0.981132,0.5,90,104.0644,34.287094,2004-07-05T08:17:28.713,-9999999,G2,073.D-0038(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8IV,8.59660196916853e-06,4.16299007789253e-07,0,0
141583,HIP115126,349.77819,-13.4588,2453191.8501623,-482.855109,0.993022,8201.333238,1.075369,2286.172808,0.65625,8198.001997,0.440224,2286.245736,0.65625,92.376143,14.575112,63.353227,3.524816,0.438351,0.000469,0.277329,0.000609,0.392019,0.000797,0,7.631042,51.207325,0.171489,11,154.4,2453191.85016,25.596158,25.596324,2,-9999999,0.003987,0.390478,0.745271,-3.335228,0.981133,0.5,90,112.461721,33.432761,2004-07-05T08:19:29.091,-9999999,G2,073.D-0038(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8IV,9.69972241801199e-06,4.45482352172913e-07,0,0
141584,HIP115126,349.77819,-13.4588,2453191.8515615,-482.688021,0.990639,8200.935038,1.066913,2286.339457,0.652638,8197.601168,0.419142,2286.438964,0.652628,92.496893,14.255331,60.63247,3.425294,0.439038,0.000477,0.277507,0.000615,0.393105,0.000807,0,7.626929,51.234677,0.164181,11,154.6,2453191.85155,25.592425,25.592599,2,-9999999,0.003987,0.390039,0.745272,-3.337857,0.981133,0.5,90,110.878666,33.768704,2004-07-05T08:21:29.969,-9999999,G2,073.D-0038(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8IV,1.04765883885349e-05,4.35106840648572e-07,0,0
141585,HIP115126,349.77819,-13.4588,2453237.7675023,-1175.126813,1.068529,7494.068317,1.067717,1592.732164,0.63888,7492.951939,0.421244,1592.817322,0.638912,61.757972,11.860241,51.005034,2.293893,0.437179,0.000464,0.287631,0.000609,0.393474,0.000795,0,7.563772,51.114164,0.123807,0,156.3,2453237.7675,8.547989,8.548343,0,-9999999,0.009381,-0.778462,0.856496,-1.125759,0.981108,0.5,90,67.923707,35.368231,2004-08-20T06:16:29.439,-9999999,G2,073.D-0038(C),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8IV,9.55669342156195e-06,4.37779615395026e-07,0,0
