,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
198296,HD51797,104.10153,-46.781945,2454874.5699538,-38.119472,3.071548,25141.254381,2.273766,-72.036597,2.949711,25140.321305,2.051196,-71.359447,2.965653,-6.318213,25.414008,-0.875554,0.98346,0.859908,0.001942,0.353397,0.001992,0.445439,0.002534,0,32.016616,26.278844,-0.071541,-100000,56.0,2454874.57007,-4.581771,-4.581884,0,-9999999,0.0,-0.83416,0.856512,-0.933076,0.981125,0.48,540,-5.813976,29.1887,2009-02-12T01:33:44.044,-9999999,G2,082.C-0390(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,0.00011271583164,8.27037896826884e-06,1,1
198297,HD51797,104.10153,-46.781945,2454874.7183699,306.992642,3.479627,25101.342179,2.307908,273.028896,3.37257,25100.130154,2.08899,274.862303,3.369995,152.052508,47.850948,7.785105,1.297078,0.851754,0.001874,0.347959,0.002028,0.448914,0.002543,0,31.131198,25.682297,1.029444,-99999,55.2,2454874.71848,-4.844511,-4.844562,0,-9999999,0.0,-0.88078,0.856491,-1.212025,0.981102,0.45,540,155.923968,60.2858,2009-02-12T05:07:43.590,-9999999,G2,082.C-0390(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,0.00011516135318,1.27806397050191e-05,1,1
198298,HD51797,104.10153,-46.781945,2454875.588156,-39.728429,3.717185,25145.506183,2.633784,-73.545056,3.617162,25144.640225,2.444222,-76.638084,3.611636,22.154032,24.949091,0.771156,1.434331,0.751814,0.002157,0.343419,0.002378,0.440206,0.003004,0,27.602608,23.951257,0.802622,-99999,47.1,2454875.58827,-4.790648,-4.790768,0,-9999999,2e-06,-0.733662,0.856507,-0.86596,0.981119,0.46,540,26.777078,28.116643,2009-02-13T02:00:08.895,-9999999,G2,082.C-0390(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,0.000119542441704,1.27642654688957e-05,1,1
198299,HD51797,104.10153,-46.781945,2454875.7111318,-38.210268,3.309891,25214.383599,2.383966,-72.065524,3.197155,25213.286508,2.172725,-69.393882,3.185854,16.47034,25.300263,1.145277,1.149766,0.760854,0.001946,0.340538,0.002127,0.440013,0.002663,0,27.680195,24.114039,0.494336,-99999,52.6,2454875.71125,-5.006728,-5.006804,0,-9999999,3e-06,-0.772291,0.856491,-1.097094,0.981102,0.51,540,14.000733,27.786685,2009-02-13T04:56:47.177,-9999999,G2,082.C-0390(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,0.000104945603155,8.78001631170937e-06,1,1
198300,HD51797,104.10153,-46.781945,2454876.5994579,-40.295328,3.051082,25169.725927,2.22791,-74.018777,2.928396,25168.928064,2.000249,-76.037508,2.918869,53.206317,21.595329,-0.682872,0.984039,0.812354,0.001852,0.342436,0.001967,0.432242,0.002431,0,28.468315,24.232247,0.347573,-99999,56.9,2454876.59957,-4.984991,-4.985109,0,-9999999,5e-06,-0.640484,0.856503,-0.797868,0.981116,0.47,540,56.685492,25.72517,2009-02-14T02:16:21.397,-9999999,G2,082.C-0390(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,0.000104024124908,9.9811068204907e-06,1,1
198301,HD51797,104.10153,-46.781945,2454876.6993277,-59.452485,3.322821,25186.876465,2.373211,-93.207305,3.210539,25185.890896,2.160919,-94.399242,3.201903,33.303298,21.78436,0.305888,1.002321,0.796542,0.001998,0.34512,0.002154,0.43331,0.002651,0,27.696742,23.763553,0.626678,-99999,52.7,2454876.69944,-5.160685,-5.160765,0,-9999999,5e-06,-0.671855,0.856491,-0.985574,0.981102,0.48,540,33.592438,24.20653,2009-02-14T04:40:04.898,-9999999,G2,082.C-0390(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,0.00011907969587,1.03490719426395e-05,1,1
198302,HD51797,104.10153,-46.781945,2454877.5778373,40.306659,2.233311,25278.89201,1.848303,6.657105,2.062539,25278.260824,1.566404,6.765509,2.062553,5.595625,14.787075,-1.230821,0.741697,0.776603,0.0014,0.349545,0.001491,0.442678,0.00185,0,30.159017,25.06806,0.912065,-99999,74.6,2454877.57796,-5.114801,-5.114944,0,-9999999,7e-06,-0.566589,0.85651,-0.631193,0.981122,0.49,540,5.134282,18.131206,2009-02-15T01:45:04.003,-9999999,G2,082.C-0390(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,0.000124694544461,1.16412073711105e-05,1,1
198303,HD51797,104.10153,-46.781945,2454877.7354346,101.176809,2.625262,25347.316807,1.998143,67.47775,2.481617,25346.389416,1.740693,67.514083,2.48677,-27.630544,17.27344,-1.697052,0.95577,0.780553,0.001593,0.354018,0.001712,0.438046,0.002122,0,29.035157,24.39826,-0.503629,-99999,65.2,2454877.73555,-5.378793,-5.378831,0,-9999999,7e-06,-0.616094,0.856492,-0.927398,0.981103,0.47,480,-25.985106,20.954001,2009-02-15T05:32:39.642,-9999999,G2,082.C-0390(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,0.00010030643081,7.96804081848944e-06,1,1
198304,HD51797,104.10153,-46.781945,2454891.6009247,207.343038,2.787758,25615.181274,2.084951,174.486465,2.652922,25614.998346,1.839683,183.791879,2.653706,-72.038758,22.114444,0.940342,0.831487,0.818904,0.0017,0.355438,0.001783,0.438279,0.002238,0,30.343655,24.626358,8.558806,-99999,62.6,2454891.60103,-7.36818,-7.368315,0,-9999999,3.9e-05,0.226392,0.856503,-0.182967,0.981115,0.48,540,-74.928554,25.694556,2009-03-01T02:18:49.343,-9999999,G2,082.C-0427(C),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,9.91171168385293e-05,7.41353958325541e-06,1,1
198305,HD51797,104.10153,-46.781945,2454892.5632075,-193.8486,2.326807,25062.082741,1.885068,-226.636216,2.163426,25061.992789,1.609618,-225.234445,2.157358,17.225405,14.960529,0.428695,0.737512,0.82575,0.001471,0.344822,0.001506,0.443391,0.001889,0,33.48041,27.467932,2.525226,-99999,73.0,2454892.56333,-7.440272,-7.440442,0,-9999999,4.1e-05,0.295349,0.856514,-0.089993,0.981128,0.49,540,19.302042,19.486131,2009-03-02T01:24:27.211,-9999999,G2,082.C-0427(C),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,0.000101317166785,8.45038947851059e-06,1,1
