,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
3105,BD+01316,26.63371,2.69887,2458364.6566343,38.231001,2.361055,-9999999.0,-9999999.0,31.441928,2.013287,-9999999.0,-9999999.0,31.441928,2.013287,24.530337,20.967491,0.751201,2.22599,0.387439,0.001688,0.373066,0.002401,0.506128,0.003058,0,-9999999.0,-9999999.0,-9999999.0,99999,47.3,2458364.65662,20.866677,20.865593,0,-9999999,0.0,0.036514,1.233393,-1.017761,1.345926,0.52,600,24.444722,20.821352,2018-09-03T03:34:28.999,-9999999,,0101.C-0889(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_NONE,1.27771996416206e-05,1.7059876339928e-06,0,0
3106,BD+01316,26.63371,2.69887,2458364.6638677,37.958952,2.324702,-9999999.0,-9999999.0,31.183164,1.97053,-9999999.0,-9999999.0,31.183164,1.97053,29.641541,19.244831,0.905694,2.638383,0.387409,0.001646,0.374042,0.002339,0.503268,0.002968,0,-9999999.0,-9999999.0,-9999999.0,99999,48.4,2458364.66386,20.854674,20.853584,0,-9999999,0.0,0.049799,1.233391,-1.017546,1.345924,0.51,600,29.674627,19.056235,2018-09-03T03:44:59.923,-9999999,,0101.C-0889(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_NONE,2.63263100586482e-06,2.50895460581569e-06,0,0
3107,BD+01316,26.63371,2.69887,2458364.6711714,32.600296,2.265386,-9999999.0,-9999999.0,25.837922,1.900191,-9999999.0,-9999999.0,25.837922,1.900191,-7.797508,16.002016,3.099554,2.323474,0.380636,0.001577,0.375323,0.002256,0.508053,0.002871,0,-9999999.0,-9999999.0,-9999999.0,99999,50.3,2458364.67116,20.841832,20.840735,0,-9999999,1e-06,0.063213,1.233389,-1.01733,1.345922,0.51,600,-7.53309,15.765171,2018-09-03T03:55:30.917,-9999999,,0101.C-0889(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_NONE,-9999999.0,-9999999.0,-9999999,-9999999
3108,BD+01316,26.63371,2.69887,2458364.6784085,31.476758,2.154474,-9999999.0,-9999999.0,24.727676,1.766497,-9999999.0,-9999999.0,24.727676,1.766497,10.933789,15.420629,0.920941,1.966362,0.38079,0.001475,0.376173,0.00211,0.507129,0.002683,0,-9999999.0,-9999999.0,-9999999.0,99999,53.5,2458364.67841,20.82841,20.827308,0,-9999999,1e-06,0.076505,1.233388,-1.017115,1.34592,0.5,600,10.963705,15.256239,2018-09-03T04:06:02.161,-9999999,,0101.C-0889(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_NONE,1.63433947134396e-05,1.37131337711264e-06,0,0
3109,BD+01316,26.63371,2.69887,2458364.6857296,29.295728,2.086012,-9999999.0,-9999999.0,22.560092,1.682321,-9999999.0,-9999999.0,22.560092,1.682321,-8.877612,13.997101,-3.935963,1.823934,0.389435,0.001436,0.370007,0.002007,0.507586,0.002575,0,-9999999.0,-9999999.0,-9999999.0,99999,55.6,2458364.68572,20.81415,20.813054,0,-9999999,1e-06,0.089951,1.233387,-1.016898,1.345919,0.5,600,-8.729348,13.831311,2018-09-03T04:16:34.655,-9999999,,0101.C-0889(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_NONE,3.13753447708079e-06,1.58906687412142e-06,0,0
3110,BD+01316,26.63371,2.69887,2458364.6930363,27.75592,2.16526,-9999999.0,-9999999.0,21.033704,1.779637,-9999999.0,-9999999.0,21.033704,1.779637,-17.018134,17.43996,-1.637208,2.233235,0.382257,0.001495,0.372012,0.002119,0.509279,0.002715,0,-9999999.0,-9999999.0,-9999999.0,99999,53.0,2458364.69303,20.79926,20.798163,0,-9999999,2e-06,0.103371,1.233386,-1.016681,1.345918,0.5,600,-16.908942,17.304053,2018-09-03T04:27:05.918,-9999999,,0101.C-0889(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_NONE,1.48949444102612e-05,1.28039823088435e-06,0,0
3111,BD+01316,26.63371,2.69887,2458364.7004099,24.024625,2.146916,-9999999.0,-9999999.0,17.315952,1.757273,-9999999.0,-9999999.0,17.315952,1.757273,34.820285,16.202052,1.84095,2.062952,0.385091,0.001482,0.373989,0.002101,0.512293,0.002692,0,-9999999.0,-9999999.0,-9999999.0,99999,53.6,2458364.7004,20.783592,20.78249,0,-9999999,2e-06,0.116914,1.233386,-1.016462,1.345918,0.51,600,34.80106,16.090724,2018-09-03T04:37:36.952,-9999999,,0101.C-0889(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_NONE,8.21857528868308e-06,1.6004812599383e-06,0,0
3112,BD+01316,26.63371,2.69887,2458364.7077839,23.674448,2.061343,-9999999.0,-9999999.0,16.979318,1.651633,-9999999.0,-9999999.0,16.979318,1.651633,11.834983,13.809937,-3.637402,2.07975,0.385121,0.001398,0.374378,0.001978,0.503746,0.002511,0,-9999999.0,-9999999.0,-9999999.0,99999,56.6,2458364.70778,20.767308,20.766196,0,-9999999,2e-06,0.130457,1.233386,-1.016244,1.345918,0.52,600,11.917653,13.689091,2018-09-03T04:48:08.017,-9999999,,0101.C-0889(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_NONE,7.73121332851341e-06,1.39866763038104e-06,0,0
3113,BD+01316,26.63371,2.69887,2458364.7150169,20.817734,1.974283,-9999999.0,-9999999.0,14.135888,1.541606,-9999999.0,-9999999.0,14.135888,1.541606,10.047437,13.595812,-1.260118,1.994689,0.388752,0.00131,0.372955,0.001841,0.507336,0.002351,0,-9999999.0,-9999999.0,-9999999.0,99999,60.5,2458364.71501,20.750765,20.74967,0,-9999999,3e-06,0.143741,1.233387,-1.016029,1.345919,0.51,600,10.166255,13.53414,2018-09-03T04:58:38.910,-9999999,,0101.C-0889(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_NONE,-9999999.0,-9999999.0,-9999999,-9999999
3114,BD+01316,26.63371,2.69887,2458364.7221749,17.230169,1.955826,-9999999.0,-9999999.0,10.56147,1.517897,-9999999.0,-9999999.0,10.56147,1.517897,-20.705278,12.182811,1.672308,1.968061,0.385058,0.001268,0.375605,0.001806,0.504492,0.002295,0,-9999999.0,-9999999.0,-9999999.0,99999,61.8,2458364.72217,20.733867,20.732748,0,-9999999,3e-06,0.156888,1.233388,-1.015817,1.34592,0.49,600,-20.696567,12.145612,2018-09-03T05:09:09.314,-9999999,,0101.C-0889(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_NONE,2.24312000946701e-06,1.99116505666546e-06,0,0
