,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
127319,BD-22167,14.489457,-21.419475,2458271.8953516,10234.955273,3.124367,6389.794205,8.684805,9322.634136,2.870558,6388.28185,8.579855,9322.634136,2.870558,45.243202,20.508008,7.221954,1.358439,0.365637,0.005918,0.428905,0.008761,0.542158,0.01101,0,8.344235,35.431608,0.053402,-99999,15.5,2458271.89534,24.657826,24.657814,0,-9999999,0.0,-1.421288,1.233517,-1.512355,1.346081,0.49,300,107.258868,452.496186,2018-06-02T09:29:47.873,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,0.000188990151811,0.001682232582915,0,0
127320,BD-22167,14.489457,-21.419475,2458273.9469648,6175.535663,2.356701,2453.793322,8.264176,5262.999923,2.008055,2452.00113,8.153797,5262.999923,2.008055,21.628733,16.245607,6.854151,0.711263,0.385982,0.003992,0.424465,0.005945,0.556154,0.007373,0,8.31583,34.861965,0.069662,-99999,21.9,2458273.94696,24.901796,24.901773,0,-9999999,1.6e-05,-1.635891,1.233595,-1.792208,1.346178,0.51,300,1.087509,452.725577,2018-06-04T10:43:46.752,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,9.80057791854902e-06,3.85234336383601e-06,0,0
127321,BD-22167,14.489457,-21.419475,2458354.7726145,908.897603,1.445092,-2836.196271,6.644642,-1.650658,0.752998,-2835.417295,6.572572,-1.650658,0.752998,-0.855359,4.956108,-1.456206,0.332205,0.387953,0.001926,0.427129,0.002915,0.547472,0.003696,0,8.319417,35.297207,0.046199,-99999,41.0,2458354.77261,14.518796,14.518907,0,-9999999,0.000649,0.351589,1.233404,0.778327,0.975995,0.48,1800,-4.025509,39.942527,2018-08-24T06:11:49.411,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,5.96692122444223e-07,2.2764545840081e-06,0,0
127322,BD-22167,14.489457,-21.419475,2458436.5979157,3444.975065,1.265202,-265.158183,6.866233,2536.870914,0.834039,-263.220376,6.774962,2536.870914,0.834039,-1.351083,4.827049,-1.292174,0.403601,0.385203,0.001968,0.419485,0.003051,0.555318,0.003914,0,8.343069,35.187204,0.052496,-99999,39.6,2458436.59791,-20.187285,-20.187206,0,-9999999,0.001291,2.795699,0.951375,1.936516,1.115816,0.48,948,-43.662448,440.015026,2018-11-14T02:08:20.776,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,8.90854260518309e-06,2.34579330540829e-06,0,0
127323,BD-22167,14.489457,-21.419475,2458733.6916124,-17153.910066,6.247775,-20775.186517,8.559803,-18063.745022,6.124822,-20774.85275,8.453327,-18063.745022,6.124822,-14.551241,421.420499,87.98174,1.060836,0.381194,0.005447,0.430403,0.007329,0.5517,0.009165,0,8.384365,35.049135,0.048192,-99999,18.5,2458733.69161,9.086744,9.086873,0,-9999999,0.003618,1.064893,1.233386,0.330149,1.345918,0.51,1200,61.562399,319.661434,2019-09-07T04:18:38.009,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,5.62154915401194e-06,6.94453914342164e-06,0,0
127324,BD-22167,14.489457,-21.419475,2458785.6783024,13622.097307,4.123596,10047.293156,8.433577,12712.288188,3.934819,10047.1259,8.325486,12712.288188,3.934819,-129.76008,192.753963,90.824862,1.01592,0.371097,0.004873,0.424428,0.0063,0.573494,0.008138,0,8.333339,35.500329,0.049508,-99999,21.1,2458785.67829,-14.360123,-14.360012,0,-9999999,0.004026,1.090731,1.233388,-0.171282,1.34592,0.5,900,-26.164142,311.574492,2019-10-29T04:02:51.735,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,-9999999.0,-9999999.0,-9999999,-9999999
127325,BD-22167,14.489457,-21.419475,2459171.6171634,14672.706306,4.580478,10966.684039,8.071319,13759.614671,4.471321,10965.275752,8.006497,13759.614671,4.471321,-33.962442,194.744886,88.660756,0.866887,0.39003,0.003536,0.419224,0.005529,0.553513,0.006926,0,8.325346,35.120338,0.068996,-99999,23.5,2459171.61716,-21.65518,-21.655106,0,-9999999,0.00705,-2.191786,0.994014,-1.415337,1.020884,0.49,600,33.91448,312.998738,2020-11-18T02:39:14.590,-9999999,G2,106.212H.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,-9999999.0,-9999999.0,-9999999,-9999999
127326,BD-22167,14.489457,-21.419475,2459173.6079233,13436.403148,4.060809,9788.348757,7.584004,12524.204682,3.868961,9787.160366,7.463613,12524.204682,3.868961,144.056921,207.214338,88.982705,0.617819,0.387595,0.002506,0.419525,0.003942,0.557823,0.004999,0,8.390572,34.983441,0.060001,-99999,31.5,2459173.60791,-22.218599,-22.218519,0,-9999999,0.007065,-1.298616,1.233415,-1.195456,1.345954,0.49,600,-68.684313,288.493668,2020-11-20T02:26:08.788,-9999999,G2,106.212H.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,1.1857473038715e-05,2.83061413864921e-06,0,0
127327,BD-22167,14.489457,-21.419475,2459176.623394,9714.517812,2.875665,5917.125649,7.043374,8802.561272,2.597722,5916.19871,6.913578,8802.561272,2.597722,-105.79762,144.834256,91.91526,0.520616,0.38462,0.00196,0.429535,0.003049,0.552673,0.003908,0,8.377844,34.866471,0.064486,-99999,39.8,2459176.62339,-23.085861,-23.085812,0,-9999999,0.007089,-1.05669,1.233406,-0.934028,1.345943,0.49,600,66.43171,316.24446,2020-11-23T02:48:45.050,-9999999,G2,106.212H.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,1.4185904967419e-05,2.21090988001002e-06,0,0
127328,BD-22167,14.489457,-21.419475,2459188.6080552,-20763.421757,3.222223,-24473.660754,7.297289,-21674.598041,2.976812,-24474.457311,7.172087,-21674.598041,2.976812,544.851207,177.412319,89.247302,0.62424,0.383919,0.002325,0.437611,0.003558,0.579446,0.004488,0,8.349606,35.15426,0.051241,-99999,35.5,2459188.60805,-25.722095,-25.722057,0,-9999999,0.007183,-0.276434,1.233415,-0.80374,1.345954,0.5,600,106.685034,310.811796,2020-12-05T02:27:57.846,-9999999,G2,106.212H.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,9.57334010483174e-06,2.35257924082214e-06,0,0
