,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
205881,CD-337795B,172.9802083,-34.607,2454186.6378106,4548.551996,4.034083,41198.934427,4.326475,4567.592522,3.942111,41197.672887,4.213765,4255.017871,3.7935,-51.934755,25.537732,-3.572137,1.211781,3.19416,0.00662,0.617408,0.007148,0.686396,0.008387,0,78.700158,1.207053,3.933623,10,27.9,2454186.63792,1.899005,1.899561,1,-9999999,-9999999.0,0.880258,0.856495,-1.26154,0.981107,0.48,600,-200.022136,562.418019,2007-03-27T03:06:48.465,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205882,CD-337795B,172.9802083,-34.607,2454186.6447369,7248.720793,6.785418,-8387.752207,5.744143,7267.759143,6.731145,-8389.026765,5.659736,3435.179589,6.762489,2.306152,49.862249,2.816837,2.388618,3.164613,0.009894,0.642335,0.012097,0.707448,0.014317,0,2.938605,0.245625,102.852422,10,17.7,2454186.64484,1.881722,1.88228,0,-9999999,-9999999.0,0.878082,0.856494,-1.274558,0.981106,0.46,300,-247.147102,581.715275,2007-03-27T03:19:16.894,-9999999,M2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_M2,-9999999.0,-9999999.0,-9999999,-9999999
205883,CD-337795B,172.9802083,-34.607,2454190.647363,2576.085193,3.1392,12923.895168,3.795821,2594.606123,3.020098,12923.701072,3.666836,2712.056371,3.030768,-16.785168,20.098315,-4.262095,0.895497,3.130746,0.005646,0.620682,0.005967,0.685414,0.006957,0,7.097731,0.457751,0.077146,10,32.7,2454190.64748,0.155784,0.156297,0,-9999999,-9999999.0,0.360662,0.856494,-0.194096,0.981106,0.49,600,-69.391063,558.98446,2007-03-31T03:20:26.656,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205884,CD-337795B,172.9802083,-34.607,2454191.5740713,2125.249657,3.431321,-915.786849,3.973533,2144.75505,3.386515,-915.962404,3.850501,2131.471082,3.350847,20.318959,332.594215,-1.898314,2.143524,3.174758,0.005949,0.642874,0.006559,0.695237,0.007582,0,1.563813,0.432093,2.555995,10,30.9,2454191.57418,-0.09528,-0.094712,0,-9999999,-9999999.0,1.345125,0.552702,-0.175555,0.981124,0.48,600,-186.585533,619.497505,2007-04-01T01:35:00.278,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205885,CD-337795B,172.9802083,-34.607,2454192.5289587,21.963447,4.005464,-252.577802,4.323008,40.420067,3.912813,-252.612099,4.210197,1463.110641,3.934754,-6.507117,21.737451,-5.089849,1.327244,2.981278,0.006261,0.603199,0.007201,0.66094,0.008295,0,9.807503,0.663567,17.460668,10,27.8,2454192.52907,-0.427974,-0.427362,0,-9999999,-9999999.0,0.296352,0.856528,-0.034297,0.981142,0.48,600,-99.819576,584.608821,2007-04-02T00:30:02.671,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205886,CD-337795B,172.9802083,-34.607,2454193.5394347,3148.714605,4.269668,22346.545702,4.495782,3167.535277,4.191464,22346.54335,4.387417,3003.016057,4.309893,64.040643,666.867851,2.262881,2.47589,3.368162,0.007364,0.649855,0.007932,0.685814,0.00912,0,9.005268,0.726916,0.0,10,25.8,2454193.53955,-0.874588,-0.874005,-1,-9999999,-9999999.0,0.660404,0.813444,-0.002352,0.981137,0.49,600,-180.487803,1700.400177,2007-04-03T00:45:02.053,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205887,CD-337795B,172.9802083,-34.607,2454193.587164,4403.154796,4.235045,22138.126621,4.515933,4421.960475,4.156193,22138.034561,4.408067,4258.374794,4.215027,-181.530222,617.196076,3.715102,2.532166,3.335922,0.007497,0.599306,0.007971,0.673665,0.009368,0,7.936921,0.723937,-0.659842,10,25.4,2454193.58728,-0.979865,-0.979321,-1,-9999999,-9999999.0,0.645411,0.813427,-0.09206,0.981119,0.48,600,-68.839095,635.516703,2007-04-03T01:53:51.876,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205888,CD-337795B,172.9802083,-34.607,2454193.7856682,2143.823593,4.046507,-2327.53718,4.238606,2162.566918,3.963908,-2328.002331,4.123494,2678.503102,3.851068,-34.90831,30.283168,-1.2955,1.151319,3.155807,0.006471,0.604602,0.007058,0.669597,0.008237,0,9.929743,0.747826,1.472585,10,28.1,2454193.78579,-1.445164,-1.444565,-1,-9999999,-9999999.0,0.583057,0.81342,-0.465151,0.981112,0.49,600,-215.348635,600.06406,2007-04-03T06:39:36.712,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205889,CD-337795B,172.9802083,-34.607,2454203.5783054,-28.229853,2.472078,13481.520225,3.183244,-10.140009,2.318957,13481.444815,3.028274,-8.595598,2.327145,15.66739,12.103015,-0.955489,0.680018,3.098014,0.004756,0.595914,0.00489,0.645921,0.005636,0,12.758303,0.391535,-2.141992,10,39.6,2454203.57842,-5.186056,-5.185537,0,-9999999,-9999999.0,-0.070424,0.856509,-0.07541,0.981122,0.48,600,15.305103,40.394933,2007-04-13T01:41:15.721,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205890,CD-337795B,172.9802083,-34.607,2454237.5565136,-4962.7471,5.686019,19842.915199,4.866526,-4944.225847,5.621138,19843.048546,4.766598,-3603.49582,5.596887,96.243488,38.590024,5.223174,1.78373,2.994484,0.007735,0.597875,0.009455,0.664606,0.011042,0,1.784974,0.640588,0.642172,10,22.4,2454237.55663,-17.502405,-17.502122,-1,-9999999,-9999999.0,0.360986,0.856517,0.133347,0.98113,0.49,600,186.32958,636.624265,2007-05-17T01:11:41.662,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205891,CD-337795B,172.9802083,-34.607,2454246.5082653,-5703.609452,4.39994,19437.244575,4.333128,-5683.271806,4.324118,19438.795858,4.220585,-382.945567,4.156096,16.481092,29.424447,4.52177,1.153982,3.15365,0.006675,0.638691,0.007823,0.678028,0.008966,0,11.564864,0.701333,-0.642635,10,26.7,2454246.50838,-19.793791,-19.793582,0,-9999999,-9999999.0,2.177378,0.813312,1.551283,0.981152,0.46,600,16.789365,47.276379,2007-05-26T00:03:19.148,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205892,CD-337795B,172.9802083,-34.607,2454246.7093774,-6886.755676,13.64415,-9047.26876,6.584275,-6866.481203,13.619891,-9046.095469,6.510769,-1679.871735,12.714436,3899.896415,2369.374361,-4.894391,3.77899,3.423104,0.016272,0.673977,0.023579,0.659609,0.027703,0,2.713069,0.987107,0.053614,10,10.7,2454246.70937,-20.154145,-20.153677,0,-9999999,-9999999.0,2.114205,0.813263,1.173291,0.981102,0.5,600,-386.910494,803.112095,2007-05-26T04:52:32.374,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205893,CD-337795B,172.9802083,-34.607,2454247.4922466,-3776.112066,3.732871,19474.675677,4.023976,-3757.021543,3.633271,19476.377107,3.902526,-2224.555698,3.575191,65.00613,26.353658,2.824657,1.268842,3.288316,0.006373,0.629908,0.006779,0.67949,0.007882,0,5.113817,0.229831,-0.210836,10,29.7,2454247.49237,-19.994237,-19.994052,0,-9999999,-9999999.0,0.930255,0.856546,1.70143,0.981161,0.5,600,271.14383,591.93385,2007-05-26T23:39:56.775,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205894,CD-337795B,172.9802083,-34.607,2454247.7206078,-8016.875132,7.955349,15432.520928,5.625919,-7997.856342,7.909109,15433.793151,5.539711,-1590.907905,7.968761,1056.977142,912.090226,10.217947,2.65347,2.933669,0.009421,0.619826,0.013394,0.66359,0.015455,0,0.904867,1.654665,-5.697021,10,16.8,2454247.72073,-20.394367,-20.393988,0,-9999999,-9999999.0,0.858522,0.856491,1.272223,0.981102,0.5,600,47.764944,648.606138,2007-05-27T05:08:48.499,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205895,CD-337795B,172.9802083,-34.607,2454310.474406,-2692.143288,3.97794,4953.692678,4.059742,-2673.390173,3.884626,4954.645122,3.939392,205.847114,3.922202,-30.904805,26.328961,5.705233,1.222241,3.55124,0.006633,0.689976,0.007243,0.740599,0.008424,0,9.38875,0.576335,-1.047911,10,29.3,2454310.47452,-21.980598,-21.981082,0,-9999999,-9999999.0,0.592848,0.856556,0.952444,0.981172,0.48,600,-34.727861,42.417859,2007-07-28T23:21:26.061,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205896,CD-337795B,172.9802083,-34.607,2454312.5092718,-3828.657887,7.621379,6074.069837,5.582477,-3809.724331,7.586287,6074.312724,5.543049,-1146.096747,7.474075,219.775737,372.860571,8.979058,2.723393,3.297767,0.010168,0.663041,0.012955,0.69413,0.014881,0,8.407422,1.232254,-2248088.32795,10,17.4,2454312.50938,-21.642162,-21.642611,0,-9999999,-9999999.0,0.773288,0.730526,0.242887,0.662312,0.46,600,459.107908,721.396524,2007-07-31T00:12:03.090,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
205897,CD-337795B,172.9802083,-34.607,2454313.4754811,-2224.331785,2.696435,-1891.889836,3.159135,-2206.080742,2.580576,-1890.764916,3.002905,-1520.449657,2.634431,0.537387,20.41572,2.53369,0.864603,2.960671,0.004445,0.571939,0.004743,0.613485,0.005545,0,-0.822265,0.330021,0.125843,10,39.6,2454313.4756,-21.42442,-21.424932,0,-9999999,-9999999.0,0.090775,0.781913,1.12492,0.981171,0.5,1200,369.153843,604.597979,2007-07-31T23:18:05.487,-9999999,G2,079.C-0463(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,-9999999.0,-9999999.0,-9999999,-9999999
