,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
123725,CD-4215773,331.8685025,-41.816155,2458257.8391953,7662.665002,2.186408,-8818.413023,5.524055,16778.1021,1.805263,-8819.970998,5.357562,16778.1021,1.805263,-3.425438,16.341882,1.809825,1.292523,0.402718,0.001368,0.457644,0.002128,0.592958,0.002681,0,7.704202,35.79169,0.026916,-99999,57.6,2458257.83918,25.827165,25.827192,0,-9999999,0.0,-1.296406,1.233452,-1.557975,1.346001,0.49,1800,-11.130438,100.498176,2018-05-19T07:52:29.903,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,7.46348132039091e-06,1.19491134669491e-06,0,0
123726,CD-4215773,331.8685025,-41.816155,2458272.8317415,7894.662834,1.879089,-8585.477427,4.922467,17006.89726,1.48539,-8590.953419,4.742132,17006.89726,1.48539,-6.304927,13.407894,-0.388173,1.135277,0.407036,0.001173,0.46509,0.001806,0.59136,0.002283,0,7.685951,35.882766,0.019326,-99999,67.1,2458272.83173,23.839683,23.839745,0,-9999999,0.000444,-4.499079,1.150909,-5.476436,1.320176,0.48,1800,-0.994538,103.530534,2018-06-03T07:40:16.883,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,4.3281052766428e-06,1.26748419093279e-06,0,0
123727,CD-4215773,331.8685025,-41.816155,2458282.8407811,-4637.769279,1.817826,-21115.491155,4.886208,4478.039634,1.489526,-21116.533107,4.766781,4478.039634,1.489526,-10.272594,13.638939,0.408227,1.283614,0.404784,0.001144,0.463694,0.001785,0.598739,0.002218,0,7.696999,35.882991,0.033034,-99999,68.5,2458282.84078,21.664296,21.664357,0,-9999999,0.00074,-0.924592,1.042019,-1.042692,1.073698,0.51,1800,-6.089737,100.345334,2018-06-13T07:51:18.495,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,8.20427764707352e-06,1.05313094531261e-06,0,0
123728,CD-4215773,331.8685025,-41.816155,2458286.8364593,6871.852782,1.78225,-9606.26334,4.742697,15986.795372,1.412499,-9608.525796,4.622061,15986.795372,1.412499,16.105314,12.914608,-0.035475,1.211773,0.400271,0.001123,0.455705,0.001734,0.592846,0.002169,0,7.69991,35.895185,0.025624,-99999,70.0,2458286.83645,20.622433,20.62252,0,-9999999,0.000858,-1.790915,1.086859,-2.263314,1.062885,0.49,1800,6.233612,100.261256,2018-06-17T07:45:16.848,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,6.19263867873535e-06,1.34750255195676e-06,0,0
123729,CD-4215773,331.8685025,-41.816155,2458289.8240831,6404.970556,1.707466,-10074.581544,4.294011,15520.129913,1.180707,-10075.849582,4.077605,15520.129913,1.180707,13.542359,10.695759,-1.325409,1.089513,0.40828,0.000972,0.456769,0.001488,0.588693,0.001873,0,7.691161,35.910427,0.0242,-99999,81.5,2458289.82408,19.798836,19.798923,0,-9999999,0.000946,-1.574148,1.233439,-1.268984,1.345984,0.48,1800,12.036548,115.219254,2018-06-20T07:27:28.218,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,-9999999.0,-9999999.0,-9999999,-9999999
123730,CD-4215773,331.8685025,-41.816155,2458291.8756965,-793.762326,1.661339,-17272.523305,4.702625,8321.418954,1.408669,-17273.242928,4.625332,8321.418954,1.408669,-2.630451,12.906142,-3.96988,1.2321,0.405663,0.001154,0.462864,0.001768,0.594324,0.00222,0,7.6784,35.998221,0.030228,-99999,69.3,2458291.87569,19.094216,19.094286,0,-9999999,0.001007,-1.552225,0.880737,-0.72063,0.849106,0.49,1500,4.85696,103.646203,2018-06-22T08:43:45.150,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,5.63861379311094e-06,1.17253573313625e-06,0,0
123731,CD-4215773,331.8685025,-41.816155,2458308.6874564,-7924.144479,1.955321,-24403.78015,5.016655,1191.834428,1.517247,-24405.118185,4.832735,1191.834428,1.517247,13.768265,15.27322,1.965332,1.324176,0.407546,0.001163,0.463094,0.001794,0.593783,0.002252,0,7.702142,35.787605,0.025321,-99999,67.3,2458308.68745,13.706913,13.707042,0,-9999999,0.001504,-0.754598,1.233387,-1.339539,1.345919,0.55,1800,16.535601,103.198076,2018-07-09T04:07:06.772,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,-9999999.0,-9999999.0,-9999999,-9999999
123732,CD-4215773,331.8685025,-41.816155,2458335.7978817,910.528339,2.168718,-15565.492673,5.482429,10025.346236,1.78805,-15569.193791,5.33105,10025.346236,1.78805,-16.7664,15.67665,-0.205989,1.405732,0.402587,0.001273,0.462125,0.00203,0.597979,0.002532,0,7.717828,35.553443,0.033011,-99999,60.5,2458335.79787,2.236203,2.236345,0,-9999999,0.002306,-1.915608,1.227279,-3.703424,1.279428,0.52,1800,-26.025224,102.281116,2018-08-05T06:45:58.759,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,9.76607121624767e-06,1.22703227260301e-06,0,0
123733,CD-4215773,331.8685025,-41.816155,2458338.6927966,-8725.652713,2.57456,-25206.299618,6.276572,387.250153,2.284027,-25207.655801,6.130568,387.250153,2.284027,7.466964,20.99139,2.865978,1.880538,0.410476,0.00173,0.458664,0.002687,0.592242,0.003346,0,7.704819,35.834258,0.029409,-99999,46.1,2458338.6928,1.148403,1.148521,0,-9999999,0.002392,-3.830639,1.1881,-1.358575,1.345918,0.48,1800,7.650924,21.052069,2018-08-08T04:15:50.003,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,1.48918387929342e-05,1.19582013738105e-06,0,0
123734,CD-4215773,331.8685025,-41.816155,2458344.6183997,3815.433844,1.660725,-12662.2219,4.10514,12931.224035,1.112074,-12665.678471,3.899745,12931.224035,1.112074,-10.789589,9.669073,-1.945569,0.963876,0.407773,0.000906,0.45632,0.001399,0.594023,0.001778,0,7.697511,35.90175,0.032797,-99999,86.4,2458344.61839,-1.375136,-1.375006,0,-9999999,0.002567,-0.943314,1.233409,-3.459138,1.282249,0.51,1800,-17.697753,101.84227,2018-08-14T02:27:48.551,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,6.14758023688155e-06,1.13260019063151e-06,0,0
123735,CD-4215773,331.8685025,-41.816155,2458367.5362709,-7319.483663,2.336097,-23796.644867,5.830277,1797.313647,1.983906,-23797.822186,5.672771,1797.313647,1.983906,-16.716295,16.096562,3.928982,1.660597,0.408206,0.001584,0.455359,0.0024,0.59466,0.003013,0,7.749592,35.521845,0.029026,-17,51.4,2458367.53626,-11.113985,-11.113956,0,-9999999,0.003245,0.063805,1.233478,-1.180564,1.346032,0.5,600,-15.628214,101.925992,2018-09-06T00:40:33.690,-9999999,G2,0101.C-0510(C),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1,1.45781461031348e-05,1.14056721884771e-06,0,0
123736,CD-4215773,331.8685025,-41.816155,2458367.5850178,-7446.570808,2.296564,-23921.353102,5.795596,1670.316033,1.937228,-23922.528973,5.637135,1670.316033,1.937228,-2.469881,16.541423,-0.894942,1.569541,0.409295,0.001584,0.454437,0.002382,0.601806,0.003011,0,7.739711,35.593388,0.035524,-17,51.7,2458367.58501,-11.207217,-11.2072,0,-9999999,0.003247,0.153336,1.233431,-1.179118,1.345974,0.52,600,-4.964158,104.232082,2018-09-06T01:50:33.576,-9999999,G2,0101.C-0510(C),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1,1.45775228125e-05,9.69278889311593e-07,0,0
123737,CD-4215773,331.8685025,-41.816155,2458401.663802,-2676.543394,2.094206,-19157.074301,5.31036,6439.85061,1.692468,-19154.099749,5.144451,6439.85061,1.692468,-9.776382,14.213925,0.713745,1.297822,0.405725,0.001279,0.467889,0.002003,0.598608,0.002524,0,7.70363,35.741202,0.023881,-99999,61.5,2458401.6638,-22.798077,-22.798045,0,-9999999,0.004255,-0.339501,1.233391,2.970297,1.31702,0.54,1800,-7.299994,102.163477,2018-10-10T03:35:52.034,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,1.15261795590221e-05,1.19951699718338e-06,0,0
123738,CD-4215773,331.8685025,-41.816155,2458454.5689383,-1471.390321,1.90582,-17949.835048,4.777997,7646.542886,1.452847,-17948.670893,4.626925,7646.542886,1.452847,-16.476609,13.315349,-1.080901,1.060917,0.403275,0.000993,0.460305,0.00161,0.586549,0.002001,0,7.715877,35.441433,0.025509,-99999,75.7,2458454.56893,-24.975335,-24.975357,0,-9999999,0.00582,1.199702,1.233445,1.158335,1.191983,0.53,1800,-26.370944,101.310832,2018-12-02T01:26:02.525,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,6.56992576056374e-06,1.26911865883062e-06,0,0
123739,CD-4215773,331.8685025,-41.816155,2458590.8812311,-9123.047278,1.749164,-25603.53896,4.385643,-6.356322,1.240184,-25604.448917,4.173966,-6.356322,1.240184,10.939204,10.811597,0.848508,0.970633,0.404142,0.000982,0.471723,0.001425,0.598422,0.001756,0,7.72661,35.547968,0.0238,-99999,86.5,2458590.88123,24.445973,24.445907,0,-9999999,0.009853,-0.042549,1.233498,-0.91981,1.346058,0.5,1800,10.96985,10.865048,2019-04-17T08:56:42.097,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,-9999999.0,-9999999.0,-9999999,-9999999
123740,CD-4215773,331.8685025,-41.816155,2458599.9046158,6831.071808,1.847452,-9651.678066,4.720301,15948.358735,1.375312,-9651.577612,4.524297,15948.358735,1.375312,9.700536,13.719047,-1.613352,1.279972,0.409434,0.001104,0.446722,0.00156,0.606709,0.001993,0,7.714766,35.641932,0.025697,-99999,77.7,2458599.9046,25.57028,25.570232,0,-9999999,0.01012,0.553423,1.233529,0.090334,1.346096,0.52,1800,9.496026,116.32349,2019-04-26T09:28:41.991,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,5.98431738682659e-06,1.29884656156864e-06,0,0
123741,CD-4215773,331.8685025,-41.816155,2458616.8536843,-456.845081,1.896141,-16936.915654,4.859894,8659.859224,1.440108,-16937.884921,4.669775,8659.859224,1.440108,15.465678,10.708025,3.385244,1.206733,0.408628,0.001117,0.456256,0.001595,0.586189,0.002003,0,7.759833,35.488595,0.010862,-99999,76.2,2458616.85368,26.15012,26.150119,0,-9999999,0.010621,-0.0292,1.233467,-0.979888,1.346019,0.51,1800,5.791695,102.720816,2019-05-13T08:13:33.302,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,3.45082115974828e-06,1.2265051892432e-06,0,0
123742,CD-4215773,331.8685025,-41.816155,2458637.8618961,-3323.155069,2.167956,-19799.208283,5.538623,5792.988281,1.782855,-19803.236095,5.372574,5792.988281,1.782855,2.353361,17.648729,2.670259,1.661246,0.407401,0.001393,0.468504,0.002,0.599868,0.002478,0,7.720562,35.590372,0.024319,-99999,62.2,2458637.86189,23.844296,23.84437,0,-9999999,0.011243,-0.590155,1.233476,-4.039055,1.34603,0.51,1800,10.701031,105.045704,2019-06-03T08:22:50.908,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,1.39487636174068e-05,1.09348580755344e-06,0,0
123743,CD-4215773,331.8685025,-41.816155,2458643.8585893,7483.291787,1.773419,-8995.608849,4.534568,16599.429064,1.274191,-8999.636582,4.330187,16599.429064,1.274191,-6.680438,11.615829,0.501699,1.190517,0.405611,0.001025,0.461732,0.001453,0.591117,0.001844,0,7.712341,35.647478,0.028006,-99999,83.1,2458643.85859,22.617912,22.617973,0,-9999999,0.01142,-0.596228,1.233472,-4.039153,1.346025,0.49,1800,-18.085209,104.964024,2019-06-09T08:18:01.191,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,9.54959221924829e-06,9.67340315337547e-07,0,0
123744,CD-4215773,331.8685025,-41.816155,2458668.8904517,1486.373256,2.204032,-14995.968251,5.128172,10604.894848,1.826529,-14997.125634,5.064535,10604.894848,1.826529,-26.936531,17.254596,91.158263,1.394567,0.402791,0.001201,0.459274,0.001717,0.595318,0.00217,0,7.730702,35.434673,0.028524,-99999,70.4,2458668.89044,15.204259,15.204384,0,-9999999,0.012161,1.788087,1.23351,-1.169544,0.805377,0.52,1800,-31.184456,36.985682,2019-07-04T09:00:41.640,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,7.07446624105706e-06,1.65963009612765e-06,0,0
123745,CD-4215773,331.8685025,-41.816155,2458673.8149439,6757.846658,1.857728,-9726.308715,4.307383,15874.107419,1.389172,-9723.713801,4.131698,15874.107419,1.389172,-4.72797,15.659397,89.277402,1.133116,0.40237,0.000974,0.457884,0.001385,0.597322,0.001739,0,7.723346,35.62231,0.028419,-99999,87.9,2458673.81494,13.525081,13.525209,0,-9999999,0.012306,-0.472744,1.233431,2.582608,1.217628,0.49,1800,-2.085057,44.407423,2019-07-09T07:12:31.316,-9999999,G2,1101.C-0721(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,8.69426563023504e-06,9.2816947057499e-07,0,0
