,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
163989,CD-426977,171.408879,-43.26895,2456394.6725786,27.713436,1.494035,294.617046,2.053903,-87.235101,1.329225,293.984366,1.804426,-87.832546,1.385892,16.162228,10.394463,-6.316856,0.857984,0.441919,0.001771,0.146049,0.001864,0.231034,0.002533,0,7.987922,60.268542,0.038514,1,43.6,2456394.67258,-3.088439,-3.088288,0,-9999999,0.0,-1.164537,0.68213,-0.63268,0.981103,0.5,1200,16.048946,10.503987,2013-04-12T03:52:24.220,-9999999,G2,091.C-0438(A),alves,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
163990,CD-426977,171.408879,-43.26895,2456647.8144825,-53.928706,1.292364,230.124807,1.594418,-165.776171,0.967781,231.939072,1.256811,-165.838817,1.020132,-61.188789,8.96378,1.779361,0.504454,0.441082,0.001318,0.126462,0.00129,0.219361,0.001795,0,8.114755,58.736346,0.089935,1,56.5,2456647.81447,21.929655,21.929625,0,-9999999,0.000896,1.936535,0.856507,1.813369,0.98112,0.53,1200,-60.722417,8.236427,2013-12-21T07:23:43.927,-9999999,G2,092.C-0282(A),alves,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,1.8576076071716e-06,7.12972780397306e-07,0,0
163991,CD-426977,171.408879,-43.26895,2456668.8100537,-89.896618,1.246667,158.122684,1.552036,-202.833917,0.905856,158.785515,1.20259,-203.00545,0.960914,39.155426,9.06256,-0.016577,0.492093,0.443579,0.00131,0.122179,0.00124,0.211098,0.001744,0,8.108297,59.006584,-0.019038,1,57.7,2456668.81005,22.333384,22.333436,0,-9999999,0.000971,0.846701,0.856506,0.66186,0.981118,0.47,1800,39.443534,9.048465,2014-01-11T07:11:36.642,-9999999,G2,092.C-0282(B),alves,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,1.61290446284576e-06,8.49786494150295e-07,0,0
163992,CD-426977,171.408879,-43.26895,2457012.8106773,114.168215,1.212049,384.825712,1.515061,0.148809,0.85759,384.433687,1.154476,0.106176,0.91305,1.96139,7.174287,0.636306,0.580072,0.451225,0.001292,0.133129,0.001236,0.212474,0.001714,0,7.98238,58.792032,0.049176,0,58.9,2457012.81067,21.92897,21.928935,0,-9999999,0.002189,-0.235405,0.856506,-0.394214,0.981119,0.51,2400,1.951851,7.626955,2014-12-21T07:08:29.575,-9999999,G2,094.C-0297(A),CANTO MARTINS,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,3.85026538626559e-06,4.88683804555093e-07,0,0
163993,CD-426977,171.408879,-43.26895,2458201.6985577,-7701.966164,4.391619,183.14732,2.141434,36.191261,4.214864,184.739602,1.665606,-198.832242,1.252114,-7.453581,8.614611,2.9399,0.788853,0.431796,0.001657,0.128496,0.001685,0.210836,0.002295,0,7.956261,59.164997,0.037502,0,45.6,2458201.69855,4.244288,4.244422,0,-9999999,0.006399,-3.863378,1.233386,1.585883,1.345918,0.48,900,-7.465206,8.903014,2018-03-24T04:32:41.918,-9999999,G2,0100.C-0888(A),DelgadoMena,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,6.19523389004326e-05,0.000290629017257,0,0
163994,CD-426977,171.408879,-43.26895,2458271.5308016,1190.930706,5.920914,191.123737,2.68936,8930.860675,5.791005,189.607214,2.328268,-196.443237,2.202061,42.320833,23.272342,95.739381,0.964682,0.439422,0.002138,0.117811,0.002271,0.20245,0.003104,0,8.026264,59.301706,0.031607,0,35.7,2458271.53079,-18.355657,-18.355555,0,-9999999,0.006646,-2.090834,1.233484,-1.523169,1.34604,0.51,900,42.636458,23.308322,2018-06-02T00:33:22.963,-9999999,G2,0101.C-0274(A),DelgadoMena,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,8.18272196617177e-06,8.53526761783095e-07,0,0
163995,CD-426977,171.408879,-43.26895,2458479.7916503,1242.743214,6.180417,236.168512,2.417174,8984.2015,6.056091,234.212635,2.155735,-144.073234,1.998793,-4.035911,22.864227,97.256459,0.989897,0.450131,0.002175,0.129466,0.002225,0.21973,0.003011,0,7.964096,59.238565,0.048035,0,36.7,2458479.79165,22.394066,22.394026,0,-9999999,0.007383,-0.562517,1.233415,-1.96326,1.093405,0.52,900,-4.860919,23.664673,2018-12-27T06:53:03.362,-9999999,G2,0102.C-0812(A),DelgadoMena,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,3.80920330486718e-06,6.6670844999246e-07,0,0
163996,CD-426977,171.408879,-43.26895,2458522.8295195,1388.89475,6.103246,271.091371,2.048046,9130.974285,5.977309,271.283837,1.792149,-123.805371,1.809404,9.011357,20.615355,93.502755,0.931685,0.447399,0.002022,0.131811,0.001949,0.208007,0.002636,0,8.055858,60.425939,0.033614,0,41.0,2458522.82952,18.268955,18.269024,0,-9999999,0.007536,0.058732,1.233444,0.18493,0.991309,0.5,900,8.979688,20.501168,2019-02-08T07:43:29.115,-9999999,G2,0102.C-0812(A),DelgadoMena,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,3.24945153419383e-06,6.31640471308043e-07,0,0
163997,CD-426977,171.408879,-43.26895,2458540.7953604,1225.557979,4.980668,227.639451,1.701798,8967.403409,4.82553,225.975393,1.343864,-160.456167,1.58357,33.156139,19.21632,97.407492,0.788858,0.444227,0.001596,0.132259,0.001473,0.217465,0.002023,0,8.00749,59.224753,0.039293,0,51.0,2458540.79535,13.370658,13.370771,0,-9999999,0.007599,-0.175373,1.233417,-1.671657,1.044101,0.5,900,33.145012,19.386041,2019-02-26T06:52:54.822,-9999999,G2,0102.C-0812(A),DelgadoMena,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,-9999999.0,-9999999.0,-9999999,-9999999
163998,CD-426977,171.408879,-43.26895,2458853.85006,1289.250109,6.801967,-18.412522,4.412674,9030.212449,6.689195,-19.64273,4.202373,-401.947377,3.855401,48.113038,45.618029,93.321799,1.894742,0.437769,0.004355,0.117964,0.004588,0.216308,0.006033,0,7.936734,59.776596,-0.012067,0,21.9,2458853.85006,22.492857,22.492833,0,-9999999,0.008708,-1.058462,1.233463,-1.238916,1.346014,0.49,420,42.77365,46.302227,2020-01-05T08:20:34.362,-9999999,G2,0104.C-0358(A),DelgadoMena,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,-9999999.0,-9999999.0,-9999999,-9999999
163999,CD-426977,171.408879,-43.26895,2458888.8465353,1492.67231,5.925925,-13.103578,1.98936,9231.811753,5.837088,-13.38864,1.464859,-395.174523,1.675982,9.23745,20.04107,96.096287,0.765592,0.446173,0.001628,0.131099,0.001467,0.207909,0.002005,0,7.973204,58.958969,0.038919,0,50.5,2458888.84653,18.054516,18.054575,0,-9999999,0.008832,-2.88136,1.022248,-0.293894,1.34601,0.48,900,8.743619,20.104127,2020-02-09T08:08:12.226,-9999999,G2,0104.C-0358(A),DelgadoMena,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,-9999999.0,-9999999.0,-9999999,-9999999
164000,CD-426977,171.408879,-43.26895,2459223.7820814,1211.522144,6.000983,166.440791,1.991126,8954.853244,5.918,167.398846,1.58422,-215.690854,1.740923,46.095248,22.511514,97.175564,0.890072,0.42991,0.001807,0.126243,0.001827,0.219924,0.002493,0,7.964081,59.889351,0.047838,0,42.7,2459223.78208,22.498096,22.4981,0,-9999999,0.010018,1.310297,0.994524,0.948037,1.206163,0.48,900,46.405156,22.867925,2021-01-09T06:38:23.528,-9999999,G2,106.21DH.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_SKY_G2,5.11978359414133e-06,6.264144908306e-07,0,0
164001,CD-426977,171.408879,-43.26895,2459255.7604322,1403.271927,5.84095,173.63984,2.040952,9146.165911,5.70924,173.854988,1.534258,-212.891696,1.70928,11.495294,28.064132,100.034714,0.777565,0.433437,0.001907,0.12766,0.001757,0.226054,0.002431,0,7.937784,59.531614,0.056394,0,44.6,2459255.76043,17.828178,17.828261,0,-9999999,0.010131,0.873181,1.233399,0.205017,1.345934,0.49,900,11.041525,28.059988,2021-02-10T06:03:54.218,-9999999,G2,106.21DH.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_SKY_G2,4.60400772716366e-06,5.53342034825228e-07,0,0
