,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
1199,EPIC219409830,288.430998,-16.82127,2456512.7272508,-10.472551,3.520022,42623.132172,6.055327,-7.548533,3.414232,42623.710835,5.975326,13.758767,5.134373,-3.429213,33.346516,7.759924,2.155405,0.411596,0.00751,0.326815,0.011415,0.408295,0.014495,0,7.045065,47.012959,-0.068072,43,12.5,2456512.72725,-14.182261,-14.18214,0,-9999999,0.0,0.948915,0.856491,0.578663,0.981054,0.5,1200,-2.720476,36.294513,2013-08-08T05:09:48.364,-9999999,G2,091.C-0471,Minniti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,4.35191731332935e-05,1.13996996435315e-06,0,0
1200,EPIC219409830,288.430998,-16.82127,2456515.6800884,-1.651858,1.51086,42637.845371,4.000309,0.964711,1.33153,42638.948535,3.907896,-11.555069,2.24892,13.941478,17.453232,0.859596,0.817836,0.418553,0.003688,0.326056,0.005252,0.439256,0.006702,0,7.037845,47.890688,-0.014156,43,23.5,2456515.68008,-15.381354,-15.381227,0,-9999999,3.8e-05,0.641466,0.713951,1.103126,0.85488,0.49,1200,13.910257,20.293228,2013-08-11T04:02:17.952,-9999999,G2,091.C-0471,Minniti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,3.91254844546837e-05,1.19090228564143e-06,0,0
1201,EPIC219409830,288.430998,-16.82127,2456516.692644,-114.139136,3.76358,42645.47849,6.080606,-111.521461,3.678555,42645.037462,6.050435,-38.227214,5.417014,44.951376,38.657873,2.461725,2.117955,0.405349,0.007937,0.298899,0.01196,0.438192,0.015654,0,7.045308,47.749888,-0.024798,43,12.0,2456516.69264,-15.845047,-15.844928,0,-9999999,5.2e-05,0.642572,0.795466,-0.44108,0.604984,0.47,1200,41.447097,39.96789,2013-08-12T04:20:51.262,-9999999,G2,091.C-0471,Minniti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,-9999999.0,-9999999.0,-9999999,-9999999
1202,EPIC219409830,288.430998,-16.82127,2456531.5451121,29.019534,2.109901,42649.554771,4.682785,31.464664,1.928226,42651.528584,4.596588,9.527915,2.996091,6.099168,24.44335,2.488562,1.094262,0.412216,0.004561,0.321976,0.00673,0.426844,0.008659,0,7.059301,48.828173,-0.033456,43,19.1,2456531.54511,-21.314438,-21.314359,0,-9999999,0.000245,0.470027,0.856521,1.973568,0.894346,0.53,1200,7.101936,27.961369,2013-08-27T00:48:32.151,-9999999,G2,091.C-0471,Minniti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,9.29034499764256e-05,0.000973307186915,0,0
1203,EPIC219409830,288.430998,-16.82127,2456533.6122101,-27.757924,1.722404,42640.186706,4.297594,-26.161122,1.643438,42639.472869,4.189415,-15.848513,2.608373,1.367725,18.772159,0.232031,1.099122,0.419414,0.004044,0.332837,0.005866,0.44931,0.00764,0,6.993064,48.721478,-0.042333,43,21.4,2456533.61221,-22.19842,-22.198333,0,-9999999,0.000272,-0.378302,0.515547,-0.714109,0.958184,0.51,1200,1.348456,22.656801,2013-08-29T02:25:46.374,-9999999,G2,091.C-0471,Minniti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,2.96966259861885e-05,1.18906655205266e-06,0,0
1204,EPIC219409830,288.430998,-16.82127,2456536.6152687,43.509608,1.868319,42645.787176,4.480297,45.573695,1.660429,42645.712862,4.371565,2.198601,2.622694,-25.348089,18.019072,0.523079,1.017039,0.410753,0.004333,0.332277,0.006186,0.433934,0.007943,0,7.051049,48.614352,-0.021281,43,20.5,2456536.61527,-23.208325,-23.20825,0,-9999999,0.000311,0.088984,0.8565,-0.074625,0.981062,0.43,1200,-26.649873,21.149668,2013-09-01T02:32:06.177,-9999999,G2,091.C-0471,Minniti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,2.97010886273695e-05,1.51231426437644e-06,0,0
1205,EPIC219409830,288.430998,-16.82127,2457181.9115751,10.65478,1.730826,42664.837534,7.058255,10.985745,1.460014,42663.576781,6.992958,11.574214,1.87754,2.544893,15.197096,-0.088445,0.686937,0.418541,0.003091,0.324873,0.004174,0.433142,0.005263,0,7.065684,48.410007,-0.050687,43,27.7,2457181.91157,14.788409,14.788577,0,-9999999,0.00872,-0.32916,0.92958,-1.269473,0.957866,0.5,1200,1.206578,18.828598,2015-06-08T09:35:25.704,-9999999,G2,095.C-0947(A),Minniti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,-9999999.0,-9999999.0,-9999999,-9999999
1206,EPIC219409830,288.430998,-16.82127,2457182.9104014,-7.354983,1.890353,42653.333514,7.301533,-8.738095,1.725334,42650.187599,7.265095,-6.118245,2.178657,-20.481394,17.927579,0.445745,0.760985,0.419765,0.003561,0.323565,0.004757,0.422545,0.006109,0,7.078696,48.476773,0.009349,43,24.5,2457182.9104,14.360095,14.360229,0,-9999999,0.008733,-2.043237,0.772435,-3.154648,0.728542,0.46,1200,-20.45221,20.465252,2015-06-09T09:34:28.030,-9999999,G2,095.C-0947(A),Minniti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,2.5204882981441e-05,3.63531877364517e-06,0,0
1207,EPIC219409830,288.430998,-16.82127,2457183.8965899,-20.409682,3.500265,42665.811011,8.508819,-18.18853,3.363651,42664.423524,8.484523,-14.367445,4.106524,16.034564,27.492741,2.218494,1.317346,0.418876,0.007452,0.34209,0.01006,0.42256,0.012351,0,7.11475,48.731836,-0.003449,43,13.7,2457183.89658,13.955591,13.955748,0,-9999999,0.008746,1.561027,0.968354,-1.396233,0.642546,0.53,1200,10.770224,28.904841,2015-06-10T09:13:06.617,-9999999,G2,095.C-0947(A),Minniti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,2.44777213902103e-05,3.45117393434815e-06,0,0
1208,EPIC219409830,288.430998,-16.82127,2457184.9320074,5.447995,2.200538,42661.836919,7.422745,5.065122,2.140045,42659.81768,7.39652,7.93442,2.664263,-9.542498,19.016905,1.148252,1.104974,0.403665,0.004054,0.338317,0.005765,0.4312,0.007232,0,7.070204,48.663377,0.018323,43,21.2,2457184.932,13.441105,13.441264,0,-9999999,0.00876,-1.042998,0.512423,-2.027999,0.623409,0.49,1200,-10.429473,22.073907,2015-06-11T10:04:50.512,-9999999,G2,095.C-0947(A),Minniti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,-9999999.0,-9999999.0,-9999999,-9999999
