,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
39776,GJ105B,39.06925,6.87636,2452986.6174289,-3.654564,2.513056,26443.494828,5.659335,-17.104253,2.362624,26442.1796,5.593459,-17.104253,2.362624,8.073547,18.676087,-3.652751,2.881233,0.928337,0.00619,0.144627,0.018789,0.172108,0.023448,0,3.001623,29.117841,0.006346,26,11.7,2452986.61742,-20.13883,-20.138554,0,-9999999,0.0,-0.306185,0.856422,-1.315228,0.860978,0.47,900,4.818202,17.772425,2003-12-13T02:35:59.398,-9999999,M2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M4,5.05555704078607e-05,1.77021776132861e-06,1,0
39777,GJ105B,39.06925,6.87636,2452996.6236752,-4.740097,1.554775,26442.316897,2.725979,-17.984029,1.29764,26442.614319,2.543504,-17.984029,1.29764,42.146617,10.490351,-5.322002,1.852616,0.943216,0.00294,0.144439,0.006597,0.171194,0.008133,0,2.949838,27.717356,-0.009127,26,24.4,2452996.62367,-23.826503,-23.826273,0,-9999999,0.024329,-0.100427,0.856421,0.273093,0.980587,0.5,900,43.37163,10.410898,2003-12-23T02:45:35.261,-9999999,M2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M4,0.000107656466559,1.69898799522319e-05,1,0
39778,GJ105B,39.06925,6.87636,2453000.573811,-3.399667,1.600073,26447.496172,3.203775,-17.452875,1.352435,26446.877305,3.050283,-17.452875,1.352435,-4.165752,11.079917,-0.256854,2.0098,0.958934,0.00344,0.174308,0.008165,0.217561,0.010194,0,2.967124,28.138609,-0.005044,26,21.2,2453000.5738,-24.955662,-24.955455,0,-9999999,0.033933,-0.909704,0.855075,-0.6528,0.97977,0.48,900,-4.090197,11.161468,2003-12-27T01:34:32.641,-9999999,M2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M4,5.44354081344468e-05,2.01349999755604e-06,1,0
39779,GJ105B,39.06925,6.87636,2453336.70719,-0.920898,1.231201,26444.294865,1.856897,-15.056961,0.884541,26445.030875,1.576874,-15.056961,0.884541,-7.546575,8.197962,-0.11767,1.500243,0.962938,0.002283,0.150144,0.004385,0.170211,0.005494,0,2.958524,27.952114,-0.00401,26,33.1,2453336.70718,-13.714396,-13.714054,0,-9999999,0.851206,-0.992559,0.856413,-0.115196,0.980579,0.5,900,-7.791574,8.276325,2004-11-27T04:43:32.817,-9999999,M2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M4,5.01753135236687e-05,3.04979760144415e-06,1,0
39780,GJ105B,39.06925,6.87636,2454048.7234311,4.233437,1.126523,26449.72687,1.600987,-7.890597,0.89728,26453.524171,1.440261,-7.890597,0.89728,-9.099982,6.483741,-10.19363,1.123418,0.921308,0.002184,0.16703,0.004168,0.174531,0.004976,0,2.968089,28.071741,-0.005226,26,35.3,2454048.72355,-4.495596,-4.495561,0,-9999999,2.582399,1.01947,0.681133,1.214902,0.699148,0.47,900,-9.061271,6.586233,2006-11-09T05:06:34.131,-9999999,M2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M4,2.45353271427091e-05,4.67355508552365e-06,1,0
39781,GJ105B,39.06925,6.87636,2454348.8259049,5.686539,1.221372,26453.752525,1.71594,-7.367986,0.870788,26457.043413,1.408145,-7.367986,0.870788,-13.926254,7.265822,-4.758361,0.801583,0.93179,0.00218,0.161579,0.004033,0.177207,0.004857,0,2.966993,27.913197,-0.009856,26,36.0,2454348.82602,24.255335,24.255221,0,-9999999,3.312067,0.08898,0.856434,-0.021179,0.980601,0.5,900,-14.033612,7.398655,2007-09-05T07:37:12.098,-9999999,M2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M4,4.73643433215855e-05,2.00303381291922e-06,1,0
39782,GJ105B,39.06925,6.87636,2454705.9001177,-7.281841,1.837595,26440.808621,3.308632,-18.17677,1.657869,26446.489502,3.178244,-18.17677,1.657869,31.266799,13.591606,9.797916,1.615646,0.944753,0.0038,0.167042,0.009241,0.173714,0.011278,0,2.961785,27.631006,-0.006719,26,20.6,2454705.90024,26.124265,26.124127,0,-9999999,4.180255,2.248575,0.792607,1.500626,0.919681,0.51,900,30.139415,13.72649,2008-08-27T09:24:55.458,-9999999,M2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M4,0.002749517953488,0.018674262850565,1,0
39783,GJ105B,39.06925,6.87636,2454775.6779086,0.918053,1.476481,26444.949819,2.404197,-10.709273,1.202727,26451.214977,2.195137,-10.709273,1.202727,-18.710413,9.408938,1.353637,1.088397,0.929408,0.002842,0.139465,0.00584,0.144845,0.007237,0,2.963859,27.721399,-0.010165,26,27.3,2454775.67803,-2.556699,-2.556648,0,-9999999,4.349912,1.516178,0.856414,1.915246,0.98058,0.5,900,-18.640429,9.50082,2008-11-05T04:00:31.874,-9999999,M2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M4,-9999999.0,-9999999.0,-9999999,-9999999
39784,GJ105B,39.06925,6.87636,2454777.6453795,1.046868,1.33185,26448.426423,2.167768,-10.354584,1.101414,26454.964136,1.937497,-10.354584,1.101414,-5.388603,7.246196,-0.757743,1.093377,0.930967,0.002636,0.135692,0.005192,0.170162,0.006446,0,2.968056,27.847153,-0.006727,26,29.7,2454777.64549,-3.500324,-3.500243,0,-9999999,4.354696,1.742052,0.748807,2.183017,0.972278,0.47,900,-5.416363,7.342349,2008-11-07T03:14:10.109,-9999999,M2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M4,7.27261261000184e-05,5.39572653961237e-06,1,0
39785,GJ105B,39.06925,6.87636,2454779.5810797,0.918558,1.461259,26447.748905,2.364003,-10.788815,1.183978,26454.21955,2.151031,-10.788815,1.183978,4.42795,8.557556,-1.262412,1.124344,0.922053,0.002762,0.133956,0.005768,0.15595,0.006987,0,2.964691,27.763477,-0.004159,26,27.7,2454779.5812,-4.354533,-4.354427,0,-9999999,4.359402,1.436131,0.856431,2.111243,0.980599,0.48,900,4.350393,8.713379,2008-11-09T01:41:27.889,-9999999,M2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M4,-9999999.0,-9999999.0,-9999999,-9999999
