,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
71975,GJ3090,20.438682,-46.71528,2454803.6332591,0.0,2.749449,17406.833163,3.335575,1.434342,2.612639,17406.228489,3.188023,-5.011601,2.438303,12.325282,19.898762,-33.314495,5.831902,1.028424,0.003477,0.345569,0.006145,0.348765,0.006984,0,3.328109,16.302844,-0.006043,-99999,27.7,2454803.63337,-19.237302,-19.237371,0,-9999999,0.0,-0.426774,0.856496,-0.604674,0.981108,0.48,300,12.133725,19.946394,2008-12-03T03:08:21.087,-9999999,M2,082.C-0718(B),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M1,-9999999.0,-9999999.0,-9999999,-9999999
71976,GJ3090,20.438682,-46.71528,2458451.685329,-10.0757,1.887727,17388.462199,4.983734,-12.541515,1.431648,17391.514394,4.799244,-12.530385,1.431821,-2.768637,12.473892,0.362431,1.385315,1.030035,0.002272,0.348315,0.003599,0.345359,0.003962,0,3.357953,15.881182,-0.000333,17,42.6,2458451.68532,-18.892895,-18.892803,0,-9999999,0.096547,1.542992,1.230405,2.955648,1.34345,0.49,900,-2.884158,12.517822,2018-11-29T04:17:57.946,-9999999,M2,1102.C-0339(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M1,0.000263457770367,4.39658536625208e-05,0,0
71977,GJ3090,20.438682,-46.71528,2458452.6591161,-9.863474,1.527917,17389.284941,4.672327,-12.919791,1.348932,17391.351039,4.578078,-12.791513,1.349595,-25.405304,12.63907,-1.530533,1.510374,1.030657,0.002136,0.350379,0.00333,0.351754,0.003677,0,3.354021,15.894891,0.004704,17,45.3,2458452.65911,-18.957811,-18.957718,0,-9999999,0.096573,0.95249,0.717573,1.969525,0.933723,0.52,900,-25.327794,12.639428,2018-11-30T03:39:51.417,-9999999,M2,1102.C-0339(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M1,0.001424980799144,0.009324911628879,0,0
71978,GJ3090,20.438682,-46.71528,2458453.6599964,-10.015417,1.934567,17392.497488,5.104166,-12.532155,1.492864,17395.865393,4.924189,-12.428783,1.493365,11.40874,12.992175,-2.532294,1.528746,1.041273,0.002378,0.348613,0.003734,0.353679,0.004154,0,3.357874,15.933457,0.006571,17,41.2,2458453.65999,-19.057234,-19.057135,0,-9999999,0.096599,1.492069,1.230409,3.271306,1.343456,0.52,900,11.453799,12.985675,2018-12-01T03:41:12.910,-9999999,M2,1102.C-0339(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M1,0.000210245142108,2.80271163130387e-05,0,0
71979,GJ3090,20.438682,-46.71528,2458454.6110743,2.148192,2.349415,17405.86085,6.145409,-0.458115,2.001447,17406.930157,6.019137,-0.244605,2.001657,-16.032807,16.576531,-1.181179,2.059818,1.046305,0.003388,0.356773,0.005621,0.363562,0.006344,0,3.374507,16.242791,-0.002162,17,30.4,2458454.61107,-19.069648,-19.069559,0,-9999999,0.096624,1.4025,1.230431,0.972683,1.239373,0.5,900,-15.944602,16.594304,2018-12-02T02:31:09.232,-9999999,M2,1102.C-0339(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M1,0.000163459760061,2.4625350661842e-05,0,0
71980,GJ3090,20.438682,-46.71528,2458455.6892449,6.462957,2.34146,17410.144692,6.094691,3.581768,1.99212,17413.794488,6.007909,3.767337,1.992704,0.744178,15.584121,4.006686,2.27054,1.028087,0.003233,0.338717,0.005446,0.351027,0.00612,0,3.368049,16.066118,-0.00762,17,30.8,2458455.68924,-19.275488,-19.275404,0,-9999999,0.096653,1.127618,1.230404,3.553143,1.024835,0.5,900,0.894549,15.602172,2018-12-03T04:23:49.078,-9999999,M2,1102.C-0339(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M1,0.00025013598139,4.08061039746041e-05,0,0
71981,GJ3090,20.438682,-46.71528,2458501.5568766,1.776472,2.449904,17407.025464,6.330906,-3.691472,2.118481,17405.636339,6.186702,-3.528491,2.118602,27.018107,18.773953,5.296158,2.40314,1.096398,0.003489,0.35723,0.005915,0.368287,0.006714,0,3.370318,16.059395,0.009483,17,29.2,2458501.55687,-16.545133,-16.545052,0,-9999999,0.097867,-1.459136,1.230474,-1.486992,1.343537,0.52,900,26.991462,18.791055,2019-01-18T01:17:02.190,-9999999,M2,1102.C-0339(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M1,0.00023891076318,3.80121492092516e-05,0,0
71982,GJ3090,20.438682,-46.71528,2458501.5686186,1.60197,2.348708,17406.78262,6.128084,-3.844476,2.000597,17405.393761,5.978993,-3.612993,2.00159,26.020864,15.453229,0.998121,2.330715,1.099134,0.003289,0.354526,0.005486,0.360719,0.006186,0,3.364814,16.038969,-0.003444,17,30.9,2458501.56861,-16.556411,-16.556326,0,-9999999,0.097867,-1.437638,1.230463,-1.486726,1.343523,0.5,900,26.09608,15.450617,2019-01-18T01:34:14.756,-9999999,M2,1102.C-0339(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M1,0.000347186843774,0.000116099904804,0,0
71983,GJ3090,20.438682,-46.71528,2458502.5543626,-6.606797,2.001559,17394.633279,5.31087,-11.993419,1.578659,17393.244123,5.138116,-11.876163,1.579015,18.988162,13.601071,2.353195,1.593007,1.081771,0.002565,0.358407,0.004087,0.361966,0.004616,0,3.35973,15.980649,0.007036,17,38.7,2458502.55436,-16.353906,-16.353825,0,-9999999,0.097893,-1.377815,1.230477,-1.487049,1.34354,0.5,900,18.932615,13.62503,2019-01-19T01:13:47.658,-9999999,M2,1102.C-0339(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M1,0.000748366720752,0.000374503976627,0,0
71984,GJ3090,20.438682,-46.71528,2458502.5662952,-6.878689,2.017806,17394.308898,5.354056,-12.243464,1.599217,17392.920012,5.182746,-12.098117,1.599793,-3.577842,14.519619,2.614446,1.643713,1.079784,0.002575,0.353841,0.004118,0.354087,0.004623,0,3.357926,15.930481,-0.002969,17,38.5,2458502.56629,-16.365277,-16.365199,0,-9999999,0.097893,-1.355968,1.230465,-1.486779,1.343526,0.5,900,-3.622942,14.519609,2019-01-19T01:30:58.683,-9999999,M2,1102.C-0339(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_M1,0.024959893235641,0.163292528822969,0,0
