,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
141955,GJ398.1,159.13463,-12.23192,2453770.6183975,4.414885,1.348928,-6068.409003,1.205908,-2.251522,1.041193,-6068.850202,0.702695,-2.25199,1.041194,19.646283,9.180651,11.142081,2.806291,0.388027,0.000514,0.45418,0.000865,0.6051,0.001095,0,8.332112,30.366812,0.04675,-6,139.0,2453770.6185,15.000043,15.000143,0,-9999999,0.0,-0.454021,0.857627,-0.441199,0.980017,0.44,120,19.696897,9.178948,2006-02-04T02:42:58.497,-9999999,G2,076.D-0103(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F7V,8.09891393272306e-06,6.63563778238751e-07,0,0
141956,GJ398.1,159.13463,-12.23192,2453770.6207158,5.025511,1.559197,-6066.332643,1.301326,-1.641617,1.302142,-6066.778177,0.856164,-1.643256,1.302139,6.881878,12.182331,14.057867,4.080084,0.385507,0.000649,0.455249,0.001092,0.605913,0.001381,0,8.330133,30.363536,0.052816,-6,110.6,2453770.6208,14.995673,14.995807,0,-9999999,2e-06,-0.454741,0.857626,-0.445536,0.980016,0.38,120,6.916071,12.182946,2006-02-04T02:46:25.988,-9999999,G2,076.D-0103(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F7V,8.03423538200397e-06,9.07032286510763e-07,0,0
141957,GJ398.1,159.13463,-12.23192,2453770.8720965,2.675658,1.226658,-6068.503939,1.152631,-4.069606,0.876993,-6069.419597,0.606681,-4.065925,0.877007,11.03946,7.746358,11.559947,1.972114,0.38941,0.000428,0.457433,0.000719,0.599856,0.000902,0,8.339684,30.334768,0.047471,-6,167.2,2453770.8722,14.328759,14.328773,-1,-9999999,0.000207,-0.532877,0.857656,-0.915865,0.980049,0.44,120,11.034184,7.745415,2006-02-04T08:48:17.019,-9999999,G2,076.D-0103(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F7V,9.64685716405229e-06,5.7556845608458e-07,0,0
141958,GJ398.1,159.13463,-12.23192,2453770.873896,5.046707,1.177729,-6065.903557,1.128655,-1.699116,0.807137,-6066.82258,0.55979,-1.698667,0.807138,-3.769506,7.582024,1.509683,2.240338,0.389098,0.000395,0.456859,0.000662,0.600639,0.000832,0,8.338217,30.357459,0.045699,-6,181.5,2453770.874,14.324391,14.324429,-1,-9999999,0.000209,-0.533437,0.857657,-0.919232,0.980049,0.45,120,-3.775226,7.580258,2006-02-04T08:50:51.295,-9999999,G2,076.D-0103(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F7V,8.96483281342168e-06,6.82871316993232e-07,0,0
141959,GJ398.1,159.13463,-12.23192,2453770.8756316,4.673465,1.152424,-6067.606196,1.115138,-2.072898,0.769743,-6068.528465,0.53201,-2.069567,0.769741,6.868719,7.035319,5.61719,2.016297,0.389523,0.000371,0.456461,0.000623,0.600906,0.000784,0,8.338516,30.344174,0.046032,-6,192.5,2453770.87573,14.320207,14.320233,-1,-9999999,0.00021,-0.533976,0.857658,-0.922479,0.98005,0.42,120,6.876238,7.034286,2006-02-04T08:53:24.842,-9999999,G2,076.D-0103(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F7V,8.41380888411232e-06,5.34792531958508e-07,0,0
141960,GJ398.1,159.13463,-12.23192,2453770.8774178,3.356358,1.177966,-6068.887586,1.12645,-3.39056,0.807481,-6069.813196,0.555328,-3.389318,0.807476,13.811321,6.573417,9.09104,1.969748,0.389676,0.000385,0.456147,0.000649,0.601274,0.000817,0,8.342913,30.336426,0.047086,-6,184.7,2453770.87752,14.315932,14.315978,-1,-9999999,0.000211,-0.534531,0.857658,-0.925821,0.980051,0.42,120,13.79847,6.571761,2006-02-04T08:55:59.157,-9999999,G2,076.D-0103(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F7V,9.88064380464273e-06,5.51674331209456e-07,0,0
141961,GJ398.1,159.13463,-12.23192,2453770.8791932,2.619746,1.173308,-6069.969526,1.124621,-4.127724,0.80067,-6070.898456,0.551608,-4.122383,0.800663,0.716076,6.228485,9.334926,2.096541,0.389858,0.000382,0.456318,0.000644,0.600787,0.00081,0,8.345232,30.328021,0.049425,-6,186.2,2453770.87929,14.311714,14.311782,-1,-9999999,0.000213,-0.535083,0.857659,-0.929143,0.980052,0.41,120,0.714008,6.227306,2006-02-04T08:58:33.743,-9999999,G2,076.D-0103(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F7V,1.00145434086692e-05,4.2025020822341e-07,0,0
141962,GJ398.1,159.13463,-12.23192,2453770.8810312,4.512326,1.1852,-6066.979512,1.129446,-2.235715,0.817997,-6067.91188,0.561377,-2.235287,0.817993,-5.674722,7.44335,9.577936,2.119298,0.388491,0.000392,0.456214,0.000661,0.601885,0.000832,0,8.341975,30.334239,0.049417,-6,181.5,2453770.88113,14.30738,14.307432,-1,-9999999,0.000214,-0.535654,0.85766,-0.932582,0.980053,0.43,120,-5.677403,7.442137,2006-02-04T09:01:10.140,-9999999,G2,076.D-0103(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F7V,8.35059640632115e-06,5.35423151833989e-07,0,0
141963,GJ398.1,159.13463,-12.23192,2453770.8828059,4.02376,1.161627,-6066.934296,1.119431,-2.724833,0.783451,-6067.869982,0.540943,-2.724962,0.783454,11.305895,6.718942,7.429889,1.998308,0.388845,0.000379,0.456265,0.000636,0.600738,0.0008,0,8.341511,30.334592,0.04677,-6,188.5,2453770.88291,14.303228,14.303272,-1,-9999999,0.000216,-0.536206,0.857661,-0.935902,0.980054,0.42,120,11.308456,6.716486,2006-02-04T09:03:44.665,-9999999,G2,076.D-0103(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F7V,9.34722601671361e-06,6.25016989877171e-07,0,0
141964,GJ398.1,159.13463,-12.23192,2453770.8845744,1.897077,1.191836,-6068.577778,1.134276,-4.852065,0.827581,-6069.516772,0.57103,-4.85324,0.827583,8.986793,7.233202,9.095236,1.843943,0.389476,0.000398,0.455249,0.000669,0.600405,0.000842,0,8.340032,30.328824,0.046778,-6,179.0,2453770.88467,14.299123,14.299177,-1,-9999999,0.000217,-0.536756,0.857662,-0.939211,0.980055,0.41,120,8.993917,7.231008,2006-02-04T09:06:18.661,-9999999,G2,076.D-0103(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F7V,9.91419470394115e-06,6.08661130989769e-07,0,0
