,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
133665,GJ9103A,42.54329,-53.13698,2454396.7947435,-3.631761,1.050439,-3611.30457,1.14884,-3.566419,0.822262,-3611.320979,0.824472,-3.566419,0.822262,-2.804404,6.666633,-4.909598,1.011794,0.852131,0.001398,0.212117,0.001966,0.248078,0.002345,0,3.086662,20.080899,-0.004453,-4,60.8,2454396.79487,-5.384803,-5.393105,0,-9999999,0.0,0.398931,0.653687,-0.016409,0.80005,0.51,900,-2.88884,6.701245,2007-10-23T06:53:22.196,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M1.5,5.11114807911035e-05,1.91577124196291e-06,1,0
133666,GJ9103A,42.54329,-53.13698,2454397.8212638,-3.456915,1.114563,-3611.132616,1.066874,-4.104235,0.765111,-3612.020035,0.74164,-4.104235,0.765111,-5.000937,7.117845,-6.59453,1.206825,0.861788,0.001316,0.212247,0.001836,0.254166,0.002155,0,3.086364,20.072297,-0.006007,-4,65.2,2454397.82138,-5.640822,-5.649069,0,-9999999,0.000227,-0.313731,0.810466,-0.887646,0.766936,0.49,900,-4.965835,7.142736,2007-10-24T07:31:53.145,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M1.5,9.71277268581377e-05,1.06524277910124e-05,1,0
133667,GJ9103A,42.54329,-53.13698,2454398.7835864,-0.324168,1.105825,-3598.358755,1.200506,-1.505913,0.928822,-3599.260351,0.986155,-1.505913,0.928822,-10.325547,7.990277,-5.531902,0.912668,0.846848,0.001563,0.203103,0.002254,0.249232,0.002667,0,3.086135,20.097918,-0.007888,0,54.3,2454398.7837,-5.794927,-5.794574,0,-9999999,0.00044,-0.848156,0.600116,-0.902036,0.684626,0.49,900,-10.328986,8.02015,2007-10-25T06:37:39.374,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M1.5,5.12400177957781e-05,2.32271838453144e-06,1,0
133668,GJ9103A,42.54329,-53.13698,2454399.5686274,-0.117157,1.042883,-3598.32024,1.071006,-1.286621,0.737594,-3598.314242,0.708831,-1.286621,0.737594,2.656313,5.531563,-6.248589,0.971985,0.847201,0.001266,0.199175,0.001734,0.250281,0.002071,0,3.088451,20.106864,-0.005226,0,67.0,2454399.56874,-5.669461,-5.667898,0,-9999999,0.000614,-0.835875,0.737265,0.005384,0.802878,0.5,900,2.730426,5.569052,2007-10-26T01:27:59.223,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M1.5,5.41131843857269e-05,1.88962272065814e-06,1,0
133669,GJ9103A,42.54329,-53.13698,2454399.8744061,-1.957725,1.039578,-3597.816901,1.064949,-3.223241,0.732895,-3598.38555,0.699619,-3.223241,0.732895,15.830192,6.566599,-4.8789,0.777613,0.845437,0.001252,0.217974,0.001748,0.250157,0.002063,0,3.089729,20.058579,-0.01179,0,67.9,2454399.87452,-6.133394,-6.13183,0,-9999999,0.000681,-0.931927,0.737284,-0.56933,0.8029,0.5,900,15.745042,6.612477,2007-10-26T08:48:19.024,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M1.5,5.17667095174638e-05,1.77656365557105e-06,1,0
133670,GJ9103A,42.54329,-53.13698,2454400.625926,-3.400831,1.105604,-3607.149237,1.284863,-3.335816,1.020275,-3606.469278,1.153346,-3.335816,1.020275,23.74523,8.404618,0.105344,1.350674,0.844626,0.001708,0.210737,0.00253,0.249894,0.002991,0,3.093263,20.011604,-0.011214,-4,49.6,2454400.62605,-5.953629,-5.961909,0,-9999999,0.000848,0.398604,0.42591,0.679111,0.566275,0.51,900,23.719401,8.434205,2007-10-27T02:50:22.644,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M1.5,5.45956881587929e-05,1.69785037215276e-06,1,0
133671,GJ9103A,42.54329,-53.13698,2454400.8502971,-0.44762,1.157059,-3602.627045,1.375457,-0.453085,1.075801,-3602.368744,1.253463,-0.453085,1.075801,-1.09374,8.521936,-1.274947,1.501249,0.840127,0.001781,0.210331,0.002734,0.251427,0.003238,0,3.085037,19.979375,-0.005556,0,47.2,2454400.85043,-6.314426,-6.313811,0,-9999999,0.000897,0.328124,0.425954,0.257404,0.566316,0.54,900,-1.08855,8.553954,2007-10-27T08:13:01.703,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M1.5,4.75698544023866e-05,2.70263602308921e-06,1,0
133672,GJ9103A,42.54329,-53.13698,2454402.6119632,-4.601893,1.105575,-3610.638754,1.299455,-4.231598,0.979409,-3610.225025,1.081338,-4.231598,0.979409,-3.066463,8.742887,-4.989421,1.179526,0.842722,0.001651,0.205784,0.002433,0.251906,0.002874,0,3.090815,20.07837,-0.012297,-4,51.4,2454402.61208,-6.349841,-6.358084,0,-9999999,0.001287,0.703883,0.512888,0.412442,0.720618,0.5,900,-3.111644,8.762698,2007-10-29T02:30:28.864,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M1.5,5.19652623660546e-05,2.73786167563268e-06,1,0
133673,GJ9103A,42.54329,-53.13698,2454402.8130833,-5.096952,1.043393,-3611.461974,1.206793,-4.789834,0.908628,-3611.426207,0.968011,-4.789834,0.908628,1.367129,6.747194,-1.893593,1.102925,0.848405,0.001583,0.212673,0.002269,0.254394,0.00266,0,3.102436,20.126961,-0.006146,-4,54.9,2454402.81321,-6.67949,-6.687715,0,-9999999,0.001332,0.640707,0.512898,0.034435,0.720627,0.54,900,1.403634,6.770998,2007-10-29T07:19:30.013,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M1.5,4.75890231869234e-05,1.63119213932541e-06,1,0
133674,GJ9103A,42.54329,-53.13698,2454403.6001368,385.717105,26.666381,386.635773,2.903677,385.397612,26.659843,386.9295,2.864351,385.397612,26.659843,10364.873242,11761.211696,727.821263,54.036069,0.647025,0.002601,0.881686,0.004765,1.04065,0.005761,0,7.332001,0.125253,0.540398,-4,37.7,2454403.60025,-6.539217,-6.547436,0,-9999999,0.001506,0.014096,0.590457,0.292221,0.476272,0.5,900,974.465963,3141.008593,2007-10-30T02:13:28.940,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M1.5,3.66348987568557e-05,1.04325149005848e-06,1,0
