,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
198485,HATS-17,192.1903605,-47.61464,2457067.79422,17.753952,3.671943,23019.931977,4.725226,43.892013,3.570654,23019.367709,4.622248,39.052255,4.887488,31.571452,36.905754,-3.317495,3.218662,0.435167,0.005103,0.284918,0.007031,0.374812,0.008974,0,7.604675,50.826407,-0.008206,22,18.7,2457067.79422,22.039237,22.039237,0,-9999999,-9999999.0,-0.317421,0.856502,-0.564268,0.981114,0.51,900,30.613493,37.057909,2015-02-14T06:53:36.741,-9999999,G2,094.C-0428(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1V,2.7813534368772e-05,1.76170900435323e-06,0,0
198486,HATS-17,192.1903605,-47.61464,2457068.83188,35.027314,2.551083,23028.289215,3.754439,61.259202,2.403,23027.699904,3.623976,52.560433,3.341124,-3.843806,32.784499,-1.532878,1.552841,0.432342,0.003601,0.291704,0.004753,0.401234,0.00607,0,7.602051,50.637486,-0.013566,22,24.8,2457068.83188,21.806227,21.806227,0,-9999999,-9999999.0,-0.223593,0.856513,-0.589311,0.981126,0.52,900,-4.075718,33.067775,2015-02-15T07:47:34.238,-9999999,G2,094.C-0428(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1V,-9999999.0,-9999999.0,-9999999,-9999999
198487,HATS-17,192.1903605,-47.61464,2457068.89436,37.000807,2.398218,23044.243658,3.58642,63.213069,2.240043,23043.536915,3.449601,54.884985,3.138094,18.94397,27.581655,-3.152825,1.763693,0.425805,0.003456,0.303956,0.00458,0.401283,0.005761,0,7.585961,50.656202,-0.009201,22,25.8,2457068.89436,21.691487,21.691487,0,-9999999,-9999999.0,-0.24322,0.856539,-0.706743,0.981154,0.5,900,18.918526,28.04873,2015-02-15T09:17:50.419,-9999999,G2,094.C-0428(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1V,3.09871260098534e-05,1.21003397797071e-06,0,0
198488,HATS-17,192.1903605,-47.61464,2457069.85982,35.342547,3.525999,23043.548963,4.889278,61.614984,3.420385,23043.058282,4.789824,55.000377,4.65357,-4.311933,30.358065,-3.607671,2.858431,0.416699,0.005429,0.311732,0.007379,0.401032,0.009212,0,7.557941,51.024045,-0.000471,22,17.7,2457069.85982,21.583669,21.583669,0,-9999999,-9999999.0,-0.183045,0.856523,-0.490681,0.981137,0.5,900,-4.134295,31.05752,2015-02-16T08:28:00.711,-9999999,G2,094.C-0428(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1V,1.46077264661243e-05,8.54735745911933e-06,0,0
198489,HATS-17,192.1903605,-47.61464,2457069.89514,42.686669,3.279944,23029.337034,4.724682,68.948011,3.166129,23028.779968,4.621683,53.223932,4.30785,-6.173954,32.189115,-0.829711,2.416103,0.428043,0.00514,0.310997,0.006747,0.399069,0.008541,0,7.553744,51.044759,-0.061049,22,18.9,2457069.89514,21.520002,21.520002,0,-9999999,-9999999.0,-0.19414,0.856539,-0.557066,0.981154,0.51,900,-7.117373,32.466512,2015-02-16T09:18:42.558,-9999999,G2,094.C-0428(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1V,-9999999.0,-9999999.0,-9999999,-9999999
198490,HATS-17,192.1903605,-47.61464,2457070.82342,30.556554,1.953164,23035.545424,3.107656,56.871216,1.755346,23035.16086,2.948716,50.713652,2.516352,-5.187399,17.961445,-1.993149,1.317157,0.433199,0.00283,0.294793,0.003622,0.393913,0.004661,0,7.605685,50.54186,-0.004575,22,30.6,2457070.82342,21.474988,21.474988,0,-9999999,-9999999.0,-0.140819,0.85651,-0.384564,0.981123,0.52,1500,-4.957206,17.830389,2015-02-17T07:29:59.118,-9999999,G2,094.C-0428(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1V,2.4620142018491e-05,1.67940578413417e-06,0,0
198491,HATS-17,192.1903605,-47.61464,2457071.84989,16.300561,1.928334,23018.100563,3.048873,42.725499,1.727671,23017.82097,2.886695,33.913927,2.482692,-18.133084,20.34775,-3.350174,1.309232,0.432905,0.002779,0.29373,0.003626,0.390532,0.004658,0,7.588314,50.485886,-0.016273,22,31.1,2457071.84989,21.240526,21.240526,0,-9999999,-9999999.0,-0.030543,0.856519,-0.279593,0.981133,0.44,1800,-17.704228,20.275639,2015-02-18T08:07:48.711,-9999999,G2,094.C-0428(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1V,2.27657249488572e-05,2.05539382323038e-06,0,0
198492,HATS-17,192.1903605,-47.61464,2457072.85895,-23.490266,1.814368,22987.683664,2.841636,3.000548,1.599469,22987.479836,2.666883,-0.567338,2.357139,13.65918,15.423649,-4.793594,1.285586,0.425137,0.002571,0.288507,0.003342,0.413419,0.004375,0,7.615156,50.450332,-0.025682,22,33.1,2457072.85895,21.032166,21.032166,0,-9999999,-9999999.0,0.035333,0.856523,-0.203828,0.981137,0.51,1800,13.775446,15.483027,2015-02-19T08:18:38.187,-9999999,G2,094.C-0428(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1V,1.15484397785245e-05,2.53778524869701e-06,0,0
198493,HATS-17,192.1903605,-47.61464,2457111.5948,-147.783172,3.732883,-9999999.0,-9999999.0,-121.640256,3.633293,-9999999.0,-9999999.0,-128.040426,4.971151,-2.490568,42.062032,-2.77411,2.347075,0.422847,0.005043,0.297986,0.007049,0.372893,0.008867,0,-9999999.0,-9999999.0,-9999999.0,99999,18.2,2457111.5948,10.008751,10.008751,0,-9999999,-9999999.0,-0.312566,0.856505,0.154668,0.981117,0.57,900,-2.337198,42.28174,2015-03-30T02:02:02.565,-9999999,,094.C-0297(A),CANTO MARTINS,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1V,4.11381038794703e-05,3.27636790492828e-06,0,0
198494,HATS-17,192.1903605,-47.61464,2457112.62535,-140.860418,4.823604,-9999999.0,-9999999.0,-114.748693,4.746953,-9999999.0,-9999999.0,-121.101971,6.385719,-28.752451,54.028163,2.884469,3.315094,0.419789,0.006593,0.312489,0.00956,0.394504,0.011937,0,-9999999.0,-9999999.0,-9999999.0,99999,14.6,2457112.62535,9.583172,9.583172,0,-9999999,-9999999.0,-0.343757,0.856498,0.0569,0.981109,0.53,900,-31.103785,54.475837,2015-03-31T02:46:34.180,-9999999,,094.C-0297(A),CANTO MARTINS,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1V,-9999999.0,-9999999.0,-9999999,-9999999
