,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
244180,HATS698-015,-9999999.0,-9999999.0,2457804.89147,21.12795,3.459244,-6325.841731,7.804435,23.315919,3.231844,-6326.163518,7.687476,23.315919,3.231844,17.375881,26.36165,3.223031,1.216766,0.404836,0.004366,0.258126,0.005564,0.387419,0.007063,0,7.370233,42.267606,0.008359,-6,21.0,2457804.89147,16.258543,16.258543,0,-9999999,-9999999.0,0.057249,1.233512,-0.321787,1.346074,0.51,900,16.854406,28.208069,2017-02-20T09:11:29.374,-9999999,G2,098.C-0292(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1,-9999999.0,-9999999.0,-9999999,-9999999
244181,HATS698-015,-9999999.0,-9999999.0,2457805.84948,42.543826,3.262138,-6332.192558,7.669037,44.668145,3.019953,-6332.42341,7.549992,44.668145,3.019953,44.90256,18.180426,2.253818,1.190962,0.413432,0.004041,0.271642,0.005131,0.383756,0.006513,0,7.398432,42.154485,0.002549,-6,22.2,2457805.84948,16.036173,16.036173,0,-9999999,-9999999.0,-0.006401,1.233463,-0.230852,1.346013,0.51,900,43.734154,20.606698,2017-02-21T08:10:57.258,-9999999,G2,098.C-0292(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1,-9999999.0,-9999999.0,-9999999,-9999999
244182,HATS698-015,-9999999.0,-9999999.0,2457806.63727,-8.379954,12.164279,-6322.234454,9.057448,-6.687877,12.101587,-6322.50959,8.956887,-6.687877,12.101587,676.173918,244.460503,82.548685,2.716351,0.39735,0.010747,0.252191,0.014618,0.368898,0.018146,64,7.445877,42.4925,0.026662,-6,9.8,2457806.63727,16.169948,16.169948,0,-9999999,-9999999.0,-0.438643,1.2334,-0.275136,1.345935,0.5,900,372.535741,225.699125,2017-02-22T03:05:27.248,-9999999,G2,098.C-0292(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1,-9999999.0,-9999999.0,-9999999,-9999999
244183,HATS698-015,-9999999.0,-9999999.0,2457866.54455,-8.430518,2.384604,-6357.251702,7.434559,-6.615173,2.040806,-6357.428234,7.311696,-6.615173,2.040806,12.516417,13.508082,-2.692696,0.768552,0.414061,0.003049,0.263361,0.003715,0.383216,0.004775,0,7.371527,42.135945,0.006697,-6,28.8,2457866.54455,-6.354157,-6.354157,0,-9999999,-9999999.0,-0.315375,1.233469,-0.176532,1.346021,0.51,1200,12.108301,18.073481,2017-04-23T00:47:46.764,-9999999,G2,099.C-0374(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1,-9999999.0,-9999999.0,-9999999,-9999999
244184,HATS698-015,-9999999.0,-9999999.0,2457866.58689,-17.263512,2.554085,-6362.289625,7.497348,-15.370404,2.236515,-6362.464901,7.37554,-15.370404,2.236515,22.602207,15.405774,-0.345606,0.783255,0.40939,0.003231,0.263762,0.003972,0.389705,0.005154,0,7.341956,42.284039,-0.001601,-6,27.2,2457866.58689,-6.449099,-6.449099,0,-9999999,-9999999.0,-0.237612,1.23343,-0.175276,1.345973,0.5,1200,23.819796,18.595897,2017-04-23T01:48:56.756,-9999999,G2,099.C-0374(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1,-9999999.0,-9999999.0,-9999999,-9999999
244185,HATS698-015,-9999999.0,-9999999.0,2457867.5275,2.818518,3.38957,-6347.327254,8.139034,4.528313,3.157165,-6347.60126,8.026957,4.528313,3.157165,13.533058,25.865747,0.41362,1.257578,0.402712,0.004417,0.281165,0.00561,0.370629,0.00716,0,7.3369,42.299325,0.032826,-6,20.8,2457867.5275,-6.700048,-6.700048,0,-9999999,-9999999.0,-0.420925,1.233488,-0.274006,1.346045,0.5,1200,14.20027,26.367074,2017-04-24T00:23:27.317,-9999999,G2,099.C-0374(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1,-9999999.0,-9999999.0,-9999999,-9999999
244186,HATS698-015,-9999999.0,-9999999.0,2457867.54254,-18.481636,3.462653,-6350.922055,8.126768,-16.744218,3.235509,-6351.195614,8.014523,-16.744218,3.235509,-28.380287,26.743601,1.616915,1.130791,0.403718,0.00452,0.282163,0.005729,0.383773,0.007368,0,7.334505,42.104707,0.026079,-6,20.4,2457867.54254,-6.732213,-6.732213,0,-9999999,-9999999.0,-0.393302,1.233471,-0.273559,1.346024,0.51,1200,-25.588826,27.461074,2017-04-24T00:44:54.368,-9999999,G2,099.C-0374(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1,-9999999.0,-9999999.0,-9999999,-9999999
244187,HATS698-015,-9999999.0,-9999999.0,2457868.54349,-22.350927,5.764146,-6347.855592,8.736251,-20.807929,5.630624,-6348.22585,8.631935,-20.807929,5.630624,34.980433,44.140071,4.455552,2.190771,0.407591,0.008161,0.285348,0.010684,0.417306,0.01363,0,7.409006,42.707139,0.088453,-6,12.7,2457868.54349,-7.11464,-7.11464,0,-9999999,-9999999.0,-0.587722,1.23347,-0.370258,1.346022,0.47,1200,36.166023,46.313028,2017-04-25T00:47:06.152,-9999999,G2,099.C-0374(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1,-9999999.0,-9999999.0,-9999999,-9999999
244188,HATS698-015,-9999999.0,-9999999.0,2457868.55974,-109.181878,6.235024,-6368.751916,8.838053,-107.609034,6.111801,-6369.121691,8.734956,-107.609034,6.111801,-7.279804,48.162211,2.483153,2.219827,0.394566,0.008919,0.29283,0.011737,0.407465,0.014749,0,7.393121,43.087073,0.023537,-6,11.8,2457868.55974,-7.150664,-7.150664,0,-9999999,-9999999.0,-0.557877,1.233453,-0.369775,1.346002,0.52,1200,-15.925189,49.302665,2017-04-25T01:09:30.876,-9999999,G2,099.C-0374(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1,-9999999.0,-9999999.0,-9999999,-9999999
244189,HATS698-015,-9999999.0,-9999999.0,2457869.49559,-59.652872,4.258114,-6315.945505,8.367039,-58.265696,4.07553,-6316.513412,8.258049,-58.265696,4.07553,-16.023144,33.922123,4.426143,1.445859,0.420343,0.005764,0.298786,0.007389,0.396819,0.009332,0,7.313998,42.435365,0.019018,-6,16.8,2457869.49559,-7.393104,-7.393104,0,-9999999,-9999999.0,-0.743544,1.233529,-0.567907,1.346096,0.5,1200,-15.693425,35.283288,2017-04-25T23:37:34.459,-9999999,G2,099.C-0374(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G1,-9999999.0,-9999999.0,-9999999,-9999999
