,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
169407,HD179079,287.788834,-2.63952,2456103.7979277,6.505666,0.973593,19531.620079,1.046096,0.572167,0.46291,19530.183954,0.362946,0.572167,0.46291,-16.211444,5.56363,12.213936,1.421413,0.418553,0.000416,0.296229,0.00053,0.414127,0.000695,0,7.457249,52.162449,-0.001033,-99999,185.3,2456103.79792,7.047444,7.047868,0,-9999999,0.0,-0.28503,0.856503,-1.436125,0.981115,0.5,900,-16.213943,5.564441,2012-06-25T06:53:48.865,-9999999,G2,185.D-0056(E),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5,9.13133928916007e-06,5.73314470958248e-07,0,0
169408,HD179079,287.788834,-2.63952,2456103.897192,8.180179,1.023963,19533.939303,1.077466,2.214986,0.561105,19532.315933,0.445272,2.214986,0.561105,-4.356453,5.567705,12.25801,1.690013,0.419045,0.000481,0.30115,0.000624,0.404978,0.000822,0,7.456799,52.186194,0.004358,-99999,156.5,2456103.89719,6.806743,6.807154,0,-9999999,1.1e-05,-0.316723,0.85654,-1.623381,0.981155,0.49,900,-4.361551,5.571768,2012-06-25T09:16:54.098,-9999999,G2,185.D-0056(E),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5,8.96642459060065e-06,5.97909964262367e-07,0,0
169409,HD179079,287.788834,-2.63952,2456104.650385,7.96105,0.976174,19532.368231,1.046834,2.027421,0.468332,19531.079704,0.365096,2.027421,0.468332,-11.01558,5.151732,11.887877,1.567739,0.418151,0.000396,0.297123,0.000519,0.414674,0.00068,0,7.452432,52.1729,0.001858,-99999,188.8,2456104.65038,7.016605,7.017043,0,-9999999,9.8e-05,-0.285159,0.856494,-1.288625,0.981105,0.5,900,-11.02823,5.155739,2012-06-26T03:21:19.463,-9999999,G2,185.D-0056(E),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5,8.03623882289814e-06,5.73898804584615e-07,0,0
169410,HD179079,287.788834,-2.63952,2456104.8261082,8.396379,0.982316,19533.795261,1.05178,2.406645,0.480971,19532.175262,0.378996,2.406645,0.480971,-4.40115,4.978092,10.659821,1.422441,0.418582,0.000421,0.302694,0.000541,0.413633,0.00071,0,7.454777,52.175286,0.002251,-99999,181.2,2456104.8261,6.510088,6.510511,0,-9999999,0.000118,-0.341264,0.856511,-1.620117,0.981124,0.51,900,-4.423429,4.982234,2012-06-26T07:34:12.599,-9999999,G2,185.D-0056(E),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5,9.14541546832342e-06,4.88346459150875e-07,0,0
169411,HD179079,287.788834,-2.63952,2456104.8928871,8.335148,1.010901,19533.415585,1.06948,2.324093,0.536902,19531.669618,0.42559,2.324093,0.536902,-13.566037,4.919385,10.250637,1.61999,0.420457,0.000457,0.293423,0.000593,0.413455,0.00078,0,7.451375,52.197436,0.00338,-99999,164.9,2456104.89288,6.35714,6.357548,0,-9999999,0.000125,-0.362586,0.856538,-1.746092,0.981153,0.48,900,-13.599877,4.923969,2012-06-26T09:10:49.169,-9999999,G2,185.D-0056(E),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5,1.05215625605577e-05,6.6929568930072e-07,0,0
169412,HD179079,287.788834,-2.63952,2456105.6981374,7.329131,1.007909,19531.83294,1.068334,1.373923,0.531324,19530.187639,0.422819,1.373923,0.531324,-1.503478,5.676248,11.524759,1.589094,0.417157,0.000471,0.295391,0.000612,0.414933,0.000804,0,7.45365,52.19504,-0.00131,-99999,160.4,2456105.69813,6.421541,6.421972,0,-9999999,0.000217,-0.306738,0.856491,-1.645518,0.981102,0.5,900,-1.524276,5.6776,2012-06-27T04:30:03.281,-9999999,G2,185.D-0056(E),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5,8.17202623098233e-06,5.5754385985889e-07,0,0
169413,HD179079,287.788834,-2.63952,2456105.8415596,8.820845,1.187862,19534.090928,1.179355,2.819845,0.823041,19532.175086,0.654418,2.819845,0.823041,1.873655,7.187831,7.404677,2.092478,0.418375,0.000747,0.301457,0.000974,0.406058,0.001282,0,7.456066,52.262337,0.002522,-99999,101.6,2456105.84155,6.009973,6.010408,0,-9999999,0.000234,-0.35253,0.856516,-1.916076,0.981129,0.43,900,1.86039,7.191438,2012-06-27T07:57:37.698,-9999999,G2,185.D-0056(E),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5,7.98955563356293e-06,7.59180694385009e-07,0,0
169414,HD179079,287.788834,-2.63952,2456108.5658296,11.238142,1.01937,19536.058799,1.073744,5.11034,0.552721,19534.801376,0.436253,5.11034,0.552721,-6.388043,4.732266,11.671455,1.557161,0.419117,0.000477,0.288968,0.000623,0.397813,0.000818,0,7.451334,52.163211,0.002735,-99999,157.0,2456108.56583,5.362084,5.36254,0,-9999999,0.000546,-0.479333,0.856514,-1.257969,0.981127,0.5,1000,-6.389539,4.746226,2012-06-30T01:18:37.201,-9999999,G2,185.D-0056(E),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5,8.36045438089312e-06,5.41912988265682e-07,0,0
169415,HD179079,287.788834,-2.63952,2456108.6775027,8.917697,1.000485,19532.540897,1.064783,2.75424,0.517101,19531.072821,0.413764,2.75424,0.517101,-5.177329,4.538058,6.501878,1.449847,0.417606,0.00047,0.300861,0.000607,0.411741,0.000798,0,7.445047,52.198513,-0.002763,-99999,161.8,2456108.6775,5.09139,5.091843,0,-9999999,0.000558,-0.514988,0.856491,-1.468634,0.981102,0.54,1000,-5.198295,4.544186,2012-06-30T03:58:45.601,-9999999,G2,185.D-0056(E),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5,7.2578474008075e-06,5.30453676835192e-07,0,0
169416,HD179079,287.788834,-2.63952,2456108.8141396,8.229064,0.971492,19533.145717,1.046403,2.021981,0.458467,19531.419899,0.363819,2.021981,0.458467,-7.986751,4.952042,8.276771,1.340291,0.419399,0.000417,0.293382,0.000529,0.412091,0.000695,0,7.447295,52.191195,-0.001853,-99999,185.6,2456108.81413,4.692362,4.692824,0,-9999999,0.000574,-0.558613,0.856507,-1.726392,0.98112,0.49,1000,-7.978554,4.957428,2012-06-30T07:16:20.834,-9999999,G2,185.D-0056(E),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G5,8.39507645096188e-06,4.98410294326837e-07,0,0
