,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
164962,GJ2030,50.82417,-7.79341,2452939.7745426,7.02533,0.770241,41701.492521,0.860234,5.467721,0.47138,41701.497979,0.38843,5.465991,0.471415,5.971771,4.60185,-13.087083,1.610893,0.410969,0.000361,0.383916,0.000564,0.506604,0.000724,0,6.757617,43.208566,-0.006237,42,193.5,2452939.7746,5.489813,5.488692,1,-9999999,0.0,-0.225154,0.609157,0.005458,0.767545,0.48,283,5.991457,4.63254,2003-10-27T06:25:47.683,-9999999,G2,072.C-0488(E),M. Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2V,5.98246170778092e-06,3.73021121121966e-07,0,0
164963,GJ2030,50.82417,-7.79341,2453001.5957135,7.788692,0.949131,41702.738935,0.97338,6.821377,0.593171,41703.819893,0.516032,6.804586,0.593158,-12.074745,5.843393,-23.174774,1.753503,0.410773,0.00051,0.380505,0.000803,0.516808,0.001052,0,6.752928,43.313687,-0.007553,42,136.0,2453001.59571,-20.955766,-20.955614,0,-9999999,0.006982,0.36514,0.740944,1.073976,0.825336,0.5,129,-12.060868,5.865604,2003-12-28T02:11:58.556,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2,8.93039486150257e-06,4.36149023910216e-07,0,0
164964,GJ2030,50.82417,-7.79341,2453946.9530602,7.914281,1.215976,41703.547411,1.18301,7.285266,0.864819,41703.891959,0.661254,7.280833,0.864856,18.569404,7.048125,24.216889,2.015689,0.415392,0.000677,0.391018,0.001044,0.520997,0.001346,0,6.753397,42.941208,-0.009004,42,106.0,2453946.95316,26.263122,26.262812,0,-9999999,0.113745,0.70344,0.854801,0.230803,0.980946,0.42,300,18.57766,7.063715,2006-07-30T10:51:28.245,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2,3.20316089697792e-06,7.86295308804146e-07,0,0
164965,GJ2030,50.82417,-7.79341,2453975.8812736,2.355766,1.000854,41696.313461,0.980546,0.654222,0.520666,41696.389315,0.408844,0.651409,0.520598,1.278252,5.166614,-4.850873,1.015131,0.414382,0.000415,0.372371,0.000629,0.505467,0.000818,0,6.762788,43.146551,-0.005038,42,172.7,2453975.88137,25.157888,25.157731,0,-9999999,0.117012,-0.36909,0.854761,-0.041158,0.891244,0.42,155,1.325568,5.169553,2006-08-28T09:05:28.677,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2,6.75665972802391e-06,3.40287787174727e-07,0,0
164966,GJ2030,50.82417,-7.79341,2453975.8835192,3.428904,1.00305,41697.851023,0.982271,1.726663,0.524872,41697.922661,0.412962,1.716783,0.524884,4.563827,4.398833,-4.790066,1.04003,0.414886,0.000419,0.370958,0.000634,0.505649,0.000827,0,6.761,43.157585,-0.008171,42,171.0,2453975.88363,25.15192,25.151718,0,-9999999,0.117012,-0.369787,0.854762,-0.045374,0.891246,0.45,155,4.611641,4.407915,2006-08-28T09:08:38.027,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2,5.48578791170139e-06,3.98344385189944e-07,0,0
164967,GJ2030,50.82417,-7.79341,2453975.8856721,5.283858,1.001351,41698.978548,0.98119,3.580948,0.521617,41699.046145,0.410381,3.578794,0.52164,-0.102911,4.359496,-2.51272,1.201365,0.414668,0.000416,0.372004,0.00063,0.503631,0.000819,0,6.763554,43.137072,-0.008912,42,172.3,2453975.88578,25.146187,25.146,0,-9999999,0.117013,-0.370455,0.854763,-0.049416,0.891247,0.43,155,-0.057903,4.378795,2006-08-28T09:11:47.126,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2,7.20818060648514e-06,3.48932192566415e-07,0,0
164968,GJ2030,50.82417,-7.79341,2453975.8878524,6.774235,1.034928,41700.869005,1.002678,5.070648,0.583484,41700.932508,0.459391,5.042602,0.583458,5.176754,5.620207,-1.066049,1.303856,0.415082,0.000464,0.371957,0.000705,0.506328,0.000919,0,6.761948,43.12113,-0.007368,42,154.1,2453975.88795,25.140373,25.140182,0,-9999999,0.117013,-0.371132,0.854764,-0.05351,0.891248,0.43,155,5.205619,5.640576,2006-08-28T09:14:55.487,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2,8.10117261575352e-06,4.65050619046519e-07,0,0
164969,GJ2030,50.82417,-7.79341,2453975.8900697,3.374733,1.033885,41697.107478,1.001926,1.670458,0.581632,41697.166819,0.457744,1.644341,0.581601,18.989232,5.769774,-0.582545,1.11352,0.414449,0.000462,0.372574,0.000703,0.506711,0.000915,0,6.765503,43.12284,-0.007905,42,154.6,2453975.89018,25.134451,25.134232,0,-9999999,0.117013,-0.371821,0.854765,-0.057672,0.891249,0.45,155,19.036836,5.773683,2006-08-28T09:18:03.946,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2,6.6050592159364e-06,4.30773260606105e-07,0,0
164970,GJ2030,50.82417,-7.79341,2454048.7604738,5.150967,0.754376,41700.676418,0.737786,4.777546,0.317186,41701.827899,0.242584,4.756529,0.317167,3.70525,2.982059,-4.653423,0.706069,0.412482,0.00025,0.383632,0.000378,0.516299,0.000493,0,6.761977,43.143147,-0.007782,42,289.0,2454048.76059,-0.727637,-0.727671,0,-9999999,0.125243,0.959034,0.684454,1.026238,0.696765,0.49,600,3.720021,3.021646,2006-11-09T06:02:42.575,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2,6.70743849651981e-06,2.39503341332204e-07,0,0
164971,GJ2030,50.82417,-7.79341,2454292.9454911,0.075619,0.628809,41695.429091,0.629537,-0.744358,0.379177,41695.99195,0.291819,-0.744926,0.379158,-2.338401,3.964959,0.719772,0.78098,0.416411,0.000292,0.371766,0.000441,0.516962,0.000576,0,6.767158,43.130692,-0.006611,42,245.6,2454292.94563,23.702884,23.702415,0,-9999999,0.15282,0.512477,0.501623,0.410039,0.557816,0.6,420,-2.315308,3.962766,2007-07-11T10:40:47.559,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2,6.21306771725488e-06,2.57126782724063e-07,0,0
