,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
247933,HD43834B,92.55735040883,-74.75333413662,2452937.8173408,-1.055098,0.923084,-337930.130915,1.026181,-7.372837,0.348274,-337930.053038,0.30075,-7.391437,0.349509,4.580238,3.519178,8.758132,0.686893,0.434349,0.000347,0.289233,0.000452,0.375822,0.000576,0,459.947376,18.12006,-35.271276,88,211.8,2452937.8173,-3.399515,-3.397937,0,-9999999,0.0,0.301885,0.854862,0.077877,0.981121,0.51,360,4.586948,3.478412,2003-10-25T07:34:36.317,-9999999,G2,60.A-9036(A),extcomm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8V,-9999999.0,-9999999.0,-9999999,-9999999
247934,HD43834B,92.55735040883,-74.75333413662,2452937.82179,-0.338582,0.92601,-154295.18631,1.02848,-6.657704,0.355953,-154295.116795,0.308496,-6.705821,0.357216,5.541483,3.358135,9.30167,0.791584,0.434113,0.000357,0.289865,0.000465,0.375678,0.000592,0,273.526608,9.091086,-1.124175,88,206.1,2452937.82182,-3.402215,-3.400683,0,-9999999,0.0,0.300502,0.854863,0.069515,0.981122,0.49,360,5.546935,3.32075,2003-10-25T07:41:07.932,-9999999,G2,60.A-9036(A),extcomm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8V,-9999999.0,-9999999.0,-9999999,-9999999
247935,HD43834B,92.55735040883,-74.75333413662,2452937.8264434,-1.102487,0.928639,-140614.99777,1.030167,-7.423056,0.362734,-140614.937001,0.314071,-7.409767,0.364085,4.786713,3.914637,9.179712,0.703439,0.434583,0.000355,0.290054,0.000467,0.376573,0.000595,0,288.185212,6.940072,-0.416039,88,205.1,2452937.82636,-3.405061,-3.403457,0,-9999999,0.0,0.299055,0.854865,0.060769,0.981124,0.52,360,4.79464,3.878165,2003-10-25T07:47:39.186,-9999999,G2,60.A-9036(A),extcomm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8V,-9999999.0,-9999999.0,-9999999,-9999999
247936,HD43834B,92.55735040883,-74.75333413662,2452937.8335472,-1.703494,0.905221,-140371.730162,1.011147,-8.026271,0.297704,-140371.682745,0.24456,-8.020658,0.299148,-0.342648,3.667147,2.704255,0.81085,0.434041,0.00026,0.288846,0.000351,0.376813,0.000448,0,309.899277,6.43418,-3.141308,88,271.3,2452937.83345,-3.409442,-3.407835,0,-9999999,0.0,0.296847,0.854867,0.047417,0.981126,0.52,360,-0.330505,3.624557,2003-10-25T07:57:52.963,-9999999,G2,60.A-9036(A),extcomm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8V,-9999999.0,-9999999.0,-9999999,-9999999
247937,HD43834B,92.55735040883,-74.75333413662,2452937.8511899,-1.12478,0.940572,-162177.54772,1.038047,-7.453041,0.392259,-162177.533462,0.338996,-7.425752,0.39341,2.548829,4.235055,9.980149,0.831011,0.43388,0.000365,0.289772,0.000491,0.376699,0.000625,0,280.510814,9.622018,24.082228,88,194.9,2452937.8511,-3.420459,-3.418855,0,-9999999,1e-06,0.291363,0.854874,0.014257,0.981133,0.54,181,2.549731,4.202083,2003-10-25T08:24:46.713,-9999999,G2,60.A-9036(A),extcomm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8V,-9999999.0,-9999999.0,-9999999,-9999999
247938,HD43834B,92.55735040883,-74.75333413662,2452937.8536584,-1.157203,0.942561,-132432.859643,1.039583,-7.486231,0.397002,-132432.850024,0.343669,-7.510016,0.398245,5.254487,4.042977,10.440846,0.907332,0.433732,0.000368,0.289385,0.000495,0.376432,0.000631,0,268.704363,7.180308,-1.62311,88,192.9,2452937.85357,-3.422009,-3.420407,0,-9999999,1e-06,0.290596,0.854874,0.009618,0.981134,0.54,181,5.259867,4.008301,2003-10-25T08:28:19.996,-9999999,G2,60.A-9036(A),extcomm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8V,-9999999.0,-9999999.0,-9999999,-9999999
247939,HD43834B,92.55735040883,-74.75333413662,2452937.8559954,-2.554168,0.944366,-120404.879696,1.040948,-8.883923,0.401266,-120404.87447,0.347772,-8.869816,0.402388,1.844352,4.621007,12.090337,1.017433,0.434486,0.000374,0.288477,0.000501,0.376897,0.00064,0,297.533014,5.648546,4.304931,88,190.6,2452937.85603,-3.423479,-3.421952,0,-9999999,1e-06,0.289869,0.854875,0.005225,0.981135,0.48,181,1.849215,4.584228,2003-10-25T08:31:52.778,-9999999,G2,60.A-9036(A),extcomm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8V,-9999999.0,-9999999.0,-9999999,-9999999
247940,HD43834B,92.55735040883,-74.75333413662,2452937.8586124,-0.853715,0.952278,-324073.01272,1.046795,-7.184283,0.419546,-324073.012412,0.364899,-7.196025,0.420663,6.560229,4.667915,12.906698,1.117842,0.433864,0.000389,0.290875,0.000526,0.377783,0.00067,0,473.753193,14.655432,-0.556843,88,182.1,2452937.8585,-3.425125,-3.423506,0,-9999999,1e-06,0.289056,0.854876,0.000307,0.981136,0.55,181,6.554175,4.640815,2003-10-25T08:35:26.221,-9999999,G2,60.A-9036(A),extcomm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8V,-9999999.0,-9999999.0,-9999999,-9999999
247941,HD43834B,92.55735040883,-74.75333413662,2452937.8609562,-1.004557,0.942829,-160160.146311,1.039923,-7.335854,0.397632,-160160.150409,0.344686,-7.29104,0.398853,4.77041,4.115407,10.230264,0.902667,0.433089,0.000367,0.289354,0.000495,0.376887,0.000631,0,271.197841,10.149911,4.673128,88,193.0,2452937.86098,-3.426599,-3.425068,0,-9999999,1e-06,0.288327,0.854877,-0.004099,0.981137,0.49,181,4.776047,4.082986,2003-10-25T08:38:59.593,-9999999,G2,60.A-9036(A),extcomm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8V,-9999999.0,-9999999.0,-9999999,-9999999
247942,HD43834B,92.55735040883,-74.75333413662,2452937.8635271,-1.469387,0.949095,-296334.467371,1.044468,-7.801483,0.412266,-296334.476301,0.358163,-7.734268,0.413494,4.72562,3.826407,11.737803,1.056069,0.434047,0.00038,0.289815,0.000513,0.377507,0.000654,0,484.324962,11.827137,2.385305,88,186.3,2452937.86344,-3.428216,-3.426614,0,-9999999,1e-06,0.287528,0.854878,-0.008931,0.981139,0.54,181,4.724947,3.78831,2003-10-25T08:42:32.665,-9999999,G2,60.A-9036(A),extcomm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8V,-9999999.0,-9999999.0,-9999999,-9999999
