,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
244358,HD100453B,173.2732363,-54.3245936,2458921.7988006,323.158296,1.716127,15584.021725,6.031385,-1.552432,1.193217,15583.039412,5.879285,-1.552432,1.193217,10.523354,8.386208,-2.85046,0.512069,1.110627,0.001282,0.79326,0.0014,0.927485,0.001661,0,58.349737,1.171948,19.210318,9,116.0,2458921.79879,10.0227,10.022694,0,-9999999,-9999999.0,-0.623648,1.23342,-0.982313,1.34596,0.49,300,9.464616,53.145819,2020-03-13T07:03:19.970,-9999999,G2,0104.C-0418(C),Lagrange,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_A9,-9999999.0,-9999999.0,-9999999,-9999999
244359,HD100453B,173.2732363,-54.3245936,2458921.8027041,358.706909,1.802217,15755.066578,6.181069,34.00335,1.314022,15754.084381,6.032744,34.00335,1.314022,-14.374738,9.093762,-3.163631,0.543481,1.117189,0.001343,0.791132,0.001474,0.928232,0.00175,0,46.45419,0.815531,-5.608913,9,109.8,2458921.8027,10.016807,10.016788,0,-9999999,-9999999.0,-0.616479,1.233422,-0.982197,1.345963,0.51,300,-20.602741,47.656493,2020-03-13T07:08:51.228,-9999999,G2,0104.C-0418(C),Lagrange,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_A9,-9999999.0,-9999999.0,-9999999,-9999999
244360,HD100453B,173.2732363,-54.3245936,2459356.6673444,-1593.325709,8.447494,18375.498086,4.214156,-1917.207972,8.356967,18375.0886,3.993445,-1917.207972,8.356967,3639.333965,2831.435607,10.134538,2.46761,1.239497,0.006534,0.800636,0.006142,0.90857,0.007394,0,260.567195,22.059397,0.0,17,26.7,2459356.66734,-11.207909,-11.207856,0,-9999999,-9999999.0,0.204817,1.23339,-0.409486,1.345923,0.53,120,-446.088191,708.862897,2021-05-22T03:55:36.625,-9999999,G2,105.207T.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
244361,HD100453B,173.2732363,-54.3245936,2459357.6859961,-396.517119,4.604657,14266.128816,2.784415,-720.298815,4.436397,14266.089196,2.437513,-720.298815,4.436397,-22.994747,29.556248,4.383803,1.252311,1.155802,0.003436,0.795372,0.003431,0.913248,0.004041,0,18.008834,0.207293,-98.389992,17,47.5,2459357.68598,-11.479977,-11.47991,0,-9999999,-9999999.0,0.305384,1.233387,-0.03962,1.345919,0.48,120,-31.632398,52.553032,2021-05-23T04:22:37.401,-9999999,G2,105.207T.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
244362,HD100453B,173.2732363,-54.3245936,2459357.6878034,-1129.285983,4.456974,10127.995741,2.702155,-1453.06436,4.282917,10127.956174,2.343106,-1453.06436,4.282917,0.053493,29.768162,5.536655,1.385362,1.159483,0.003295,0.803436,0.003296,0.919404,0.003877,0,41.394062,0.469627,-24.05592,17,49.7,2459357.6878,-11.48165,-11.481588,0,-9999999,-9999999.0,0.308704,1.233387,-0.039567,1.345919,0.52,120,-18.231845,590.79107,2021-05-23T04:25:08.759,-9999999,G2,105.207T.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
244363,HD100453B,173.2732363,-54.3245936,2459415.5393086,-925.315796,4.559608,15310.638885,2.692398,-1249.72023,4.389597,15311.961449,2.331784,-1249.72023,4.389597,-19.87156,28.423545,1.963479,1.156375,1.164567,0.00314,0.809448,0.003201,0.911619,0.003776,0,21.539055,0.327744,-211.092464,17,50.6,2459415.5393,-18.786492,-18.78641,0,-9999999,-9999999.0,-0.317354,1.233474,1.322564,1.346028,0.5,120,-446.039198,658.358788,2021-07-20T00:55:51.806,-9999999,G2,105.207T.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
244364,HD100453B,173.2732363,-54.3245936,2459415.5410148,-289.484402,4.587233,16808.43176,2.806206,-613.885702,4.418286,16809.754374,2.462317,-613.885702,4.418286,16.556467,32.228085,4.844677,1.246644,1.163145,0.003353,0.80064,0.003388,0.913296,0.004032,0,49.055092,0.893783,35.031643,17,47.4,2459415.54101,-18.7874,-18.787325,0,-9999999,-9999999.0,-0.31422,1.233473,1.322614,1.346026,0.47,120,9.069041,56.856108,2021-07-20T00:58:22.834,-9999999,G2,105.207T.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
244365,HD100453B,173.2732363,-54.3245936,2459416.5108553,-369.987569,4.694891,17316.823083,2.934509,-693.622432,4.650562,17317.553106,2.607573,-693.622432,4.650562,-4.066871,29.438462,2.600848,1.424917,1.226397,0.003676,0.804023,0.003617,0.912129,0.004338,0,29.402194,0.369785,4.286302,17,44.7,2459416.51085,-18.749228,-18.749149,0,-9999999,-9999999.0,0.452217,0.643645,0.730023,1.346071,0.5,120,-23.858659,65.095919,2021-07-21T00:14:58.635,-9999999,G2,105.207T.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
244366,HD100453B,173.2732363,-54.3245936,2459416.5126143,-121.067044,4.681301,18826.466176,2.856615,-444.698676,4.636842,18827.196251,2.519593,-444.698676,4.636842,-9.311704,31.57251,3.30398,1.709844,1.220496,0.00353,0.80425,0.003492,0.913681,0.004147,0,24.585517,0.38582,2.317665,17,46.2,2459416.51261,-18.750534,-18.750452,0,-9999999,-9999999.0,0.455448,0.643641,0.730075,1.346068,0.51,120,-23.396859,55.936607,2021-07-21T00:17:29.423,-9999999,G2,105.207T.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
244367,HD100453B,173.2732363,-54.3245936,2459417.5102619,472.537317,4.361813,14838.853998,2.742818,147.863067,4.316035,14839.282773,2.3898,147.863067,4.316035,14.060657,31.162808,2.937812,1.122601,1.194527,0.003298,0.803105,0.003283,0.912232,0.003937,0,33.690858,0.282099,0.0,17,49.1,2459417.51025,-18.725353,-18.725273,0,-9999999,-9999999.0,-0.58717,0.630285,0.428775,1.346071,0.51,120,11.818304,63.945767,2021-07-22T00:14:11.505,-9999999,G2,105.207T.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
244368,HD100453B,173.2732363,-54.3245936,2459417.5119787,-96.285353,4.593994,12207.247021,2.875212,-420.95645,4.550552,12207.675846,2.540658,-420.95645,4.550552,27.429175,27.523941,3.122716,1.294459,1.196497,0.003541,0.808931,0.003528,0.915943,0.004175,0,13.758522,0.12384,2.211132,17,45.8,2459417.51198,-18.726589,-18.726519,0,-9999999,-9999999.0,-0.584017,0.63028,0.428825,1.346069,0.49,120,28.837336,48.413598,2021-07-22T00:16:42.243,-9999999,G2,105.207T.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
244369,HD100453B,173.2732363,-54.3245936,2459418.5248781,-207.555682,4.519636,21112.359768,2.870347,-534.002384,4.478111,21112.088871,2.535162,-534.002384,4.478111,588.372693,857.789343,1.352139,2.024384,1.260603,0.003558,0.809876,0.003522,0.906136,0.004147,0,12.337385,0.248005,0.0,17,46.0,2459418.52487,-18.706384,-18.706306,0,-9999999,-9999999.0,-2.359622,0.611252,-0.270897,1.346049,0.5,120,22.763848,85.459582,2021-07-23T00:35:20.953,-9999999,G2,105.207T.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
244370,HD100453B,173.2732363,-54.3245936,2459418.5266667,-1493.510982,5.368074,15146.480031,3.128435,-1819.954399,5.33316,15146.209187,2.824051,-1819.954399,5.33316,411.670999,641.83339,3.100017,2.031301,1.263597,0.004032,0.808705,0.004019,0.912457,0.004694,0,369.347633,37.906082,0.0,17,40.9,2459418.52666,-18.707403,-18.707332,0,-9999999,-9999999.0,-2.356337,0.611247,-0.270844,1.346046,0.53,120,-112.2593,764.565389,2021-07-23T00:37:51.901,-9999999,G2,105.207T.001,UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
