,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
100001,HD202206,318.74008,-20.78877,2453202.8504189,-774.265637,0.981128,14009.475168,1.058033,-801.504557,0.478525,14007.791569,0.395996,-801.437943,0.47937,16.675282,4.940907,-9.897096,1.099354,0.429835,0.000471,0.28643,0.000594,0.389296,0.000775,0,7.482839,51.093328,-0.012503,15,159.8,2453202.85041,10.076831,10.077182,0,-9999999,0.002561,-1.988506,0.856519,-1.68616,0.981133,0.52,900,16.67313,4.939232,2004-07-16T08:08:53.508,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G6,1.74513155091135e-05,4.90312528331018e-07,0,0
100002,HD202206,318.74008,-20.78877,2453203.7920627,-779.522169,0.944991,14003.950742,1.039641,-806.737691,0.399265,14002.386806,0.343905,-806.775292,0.400624,13.162913,4.037958,-23.716938,1.03541,0.428505,0.000392,0.280782,0.000504,0.37954,0.000656,0,7.488216,51.209053,-0.013474,15,188.2,2453203.79205,9.763332,9.763688,0,-9999999,0.002604,-1.965108,0.856501,-1.56654,0.981113,0.48,900,13.167723,4.028668,2004-07-17T06:45:24.820,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G6,1.8582854129649e-05,5.96720517563807e-07,0,0
100003,HD202206,318.74008,-20.78877,2453204.8063673,-777.266967,0.985699,14005.97071,1.072892,-804.461194,0.487855,14004.409215,0.434174,-804.447446,0.488998,-7.499781,4.858188,-17.135922,0.965638,0.429114,0.000491,0.28573,0.000632,0.389894,0.000826,0,7.495228,51.164172,-0.016243,15,150.2,2453204.80636,9.247951,9.248308,0,-9999999,0.002651,-1.943813,0.856505,-1.564146,0.981117,0.5,900,-7.502075,4.849973,2004-07-18T07:05:39.920,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G6,1.89630724479821e-05,5.8924743147277e-07,0,0
100004,HD202206,318.74008,-20.78877,2453216.7674065,-675.268618,1.036059,14110.873763,0.943822,-702.181922,0.582951,14107.347296,0.500882,-702.156522,0.583847,11.906808,5.861736,-27.285508,1.43049,0.42914,0.000564,0.286887,0.000725,0.387613,0.000944,0,7.479815,51.233502,-0.017014,15,131.3,2453216.7674,3.50008,3.500468,0,-9999999,0.003198,-1.662889,0.856496,-3.529665,0.799948,0.5,900,11.922911,5.857596,2004-07-30T06:09:11.365,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G6,1.62352618746473e-05,6.09079366185659e-07,0,0
100005,HD202206,318.74008,-20.78877,2453217.756833,-653.563057,0.994366,14130.197691,1.072204,-680.68673,0.505155,14127.833788,0.432496,-680.650998,0.50614,8.607294,5.09314,-27.756866,0.937063,0.428531,0.000486,0.281505,0.000626,0.378707,0.000812,0,7.477144,51.226861,-0.017366,15,152.3,2453217.75682,3.034744,3.035144,0,-9999999,0.003243,-1.873259,0.856495,-2.367146,0.981106,0.48,900,8.600925,5.106176,2004-07-31T05:54:14.862,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G6,1.78589497488542e-05,5.84346585836229e-07,0,0
100006,HD202206,318.74008,-20.78877,2453237.7824815,-291.459135,1.148298,14492.075189,1.167524,-317.492717,0.764851,14490.925436,0.632877,-317.508907,0.765728,11.574381,5.896706,-19.673823,1.576046,0.430201,0.00071,0.287589,0.00094,0.387108,0.001221,0,7.476773,51.150227,-0.022029,15,102.2,2453237.78247,-7.04187,-7.041479,0,-9999999,0.004159,-0.783167,0.856499,-1.153912,0.981111,0.5,900,11.572998,5.864258,2004-08-20T06:31:03.572,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G6,1.42340609659164e-05,7.32899182179707e-07,0,0
100007,HD202206,318.74008,-20.78877,2453263.7111311,22.012253,0.937635,14806.722194,1.038033,-4.563881,0.381553,14805.309432,0.339046,-4.61071,0.38284,3.7674,3.616869,-19.13288,1.176992,0.425332,0.000365,0.28715,0.000478,0.371485,0.000618,0,7.500785,51.152254,-0.007232,15,199.5,2453263.71112,-18.717701,-18.717378,0,-9999999,0.005345,-1.32572,0.856491,-1.418107,0.981102,0.5,900,3.757679,3.607508,2004-09-15T04:49:54.683,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G6,1.6855126553071e-05,5.82778176376383e-07,0,0
100008,HD202206,318.74008,-20.78877,2453264.6178724,26.997228,0.924427,14812.135488,1.027188,0.329152,0.347815,14810.877989,0.304198,0.330736,0.349463,8.505319,4.07737,-22.36266,1.208689,0.42501,0.000336,0.286771,0.00044,0.380242,0.00057,0,7.494555,51.167545,-0.007519,15,216.4,2453264.61787,-18.882514,-18.882228,0,-9999999,0.005387,-1.417661,0.856499,-1.262886,0.981111,0.5,900,8.50168,4.07749,2004-09-16T02:35:42.003,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G6,1.97179920514856e-05,5.45292569719742e-07,0,0
100009,HD202206,318.74008,-20.78877,2453265.6462432,35.71926,0.931102,14820.640264,1.031439,8.965104,0.365196,14819.366401,0.318275,8.941434,0.366697,12.640989,4.199072,-25.43988,1.274861,0.425344,0.00034,0.280925,0.000443,0.382127,0.000574,0,7.494204,51.177856,-0.01051,15,214.8,2453265.64623,-19.359528,-19.359214,0,-9999999,0.005434,-1.503741,0.856494,-1.279297,0.981106,0.5,900,12.632335,4.207999,2004-09-17T03:16:38.884,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G6,1.97511905230627e-05,5.15563392570582e-07,0,0
100010,HD202206,318.74008,-20.78877,2453267.6142809,61.374245,1.003653,14844.928948,1.08648,34.630129,0.523189,14843.715248,0.466754,34.615149,0.524163,-5.2873,5.299584,-20.42054,1.125901,0.429992,0.000496,0.281034,0.00065,0.383867,0.000843,0,7.49488,51.145984,-0.017932,15,147.1,2453267.61428,-20.054092,-20.053775,0,-9999999,0.005524,-1.493701,0.8565,-1.219224,0.981112,0.49,900,-5.289065,5.276705,2004-09-19T02:30:57.473,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G6,2.0076406026348e-05,7.26607559634997e-07,0,0
