,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
143269,HD21209A,50.82317,-49.99181,2452941.7498364,-5.844796,0.844427,-8947.972964,0.947458,-13.194911,0.524937,-8946.568398,0.499376,-22.017676,0.53545,-3.13264,7.227273,-21.40187,1.190977,0.588012,0.0007,0.164858,0.000664,0.220183,0.000842,0,6.05958,44.118652,0.026663,-9,118.4,2452941.75011,-3.528686,-3.529411,1,-9999999,0.0,1.502147,0.661436,1.404566,0.805171,0.48,1200,-3.089115,7.228804,2003-10-29T05:46:41.482,-9999999,K5,072.C-0488(E),M. Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3V,2.52698531404596e-05,1.48915687363121e-06,0,0
143270,HD21209A,50.82317,-49.99181,2453016.5747132,-1.650842,0.838954,-8942.607063,0.807653,-9.952194,0.351143,-8941.951543,0.340153,-19.010773,0.362631,-21.769841,6.580333,-29.905795,0.991983,0.587437,0.000521,0.169664,0.000492,0.215073,0.000619,0,6.058622,44.242297,0.025032,-9,160.6,2453016.5747,-13.203017,-13.202766,0,-9999999,0.012051,0.55091,0.761933,0.643469,0.73253,0.53,1444,-21.707387,6.592786,2004-01-12T01:34:51.167,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,2.61601058413358e-05,1.32170321375084e-06,0,0
143271,HD21209A,50.82317,-49.99181,2453033.5795938,-9.268839,0.960006,-8950.662608,1.06276,-17.398478,0.433594,-8949.341375,0.408485,-26.359284,0.445641,-7.564761,6.26235,-40.193707,1.142914,0.588426,0.000577,0.166466,0.000554,0.222096,0.000697,0,6.048153,44.266232,0.023548,-9,143.7,2453033.57959,-12.659239,-12.658978,0,-9999999,0.014789,0.722624,0.856509,1.306444,0.981122,0.52,985,-7.524927,6.235867,2004-01-29T01:47:09.721,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,2.53129464271936e-05,1.56503874782572e-06,0,0
143272,HD21209A,50.82317,-49.99181,2453232.9108409,-5.660565,1.08271,-8945.282422,0.975746,-15.336315,0.662259,-8946.609149,0.617414,-24.101355,0.66858,-14.006985,7.675493,-10.799579,1.882037,0.590807,0.000884,0.16855,0.000885,0.217884,0.001101,0,6.082001,44.04768,0.028211,-9,92.4,2453232.91083,10.769323,10.769408,0,-9999999,0.046892,-0.823487,0.856547,-1.373619,0.755567,0.51,900,-13.993783,7.677256,2004-08-15T09:41:59.885,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,2.79190926299427e-05,1.50489737575818e-06,0,0
143273,HD21209A,50.82317,-49.99181,2453294.7627227,-5.313891,1.019455,-8945.805071,1.058047,-14.199368,0.679959,-8946.095809,0.669247,-23.27424,0.687143,-9.42668,6.949878,-4.517288,1.956465,0.594556,0.000973,0.169832,0.000985,0.217824,0.001224,0,6.091601,44.043596,0.025882,-9,84.3,2453294.76271,-0.782945,-0.782772,1,-9999999,0.056853,-0.033214,0.759568,-0.347591,0.819494,0.4,900,-9.410123,6.951673,2004-10-16T06:08:42.835,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,3.27573779663223e-05,1.473576720134e-06,0,0
143274,HD21209A,50.82317,-49.99181,2455639.4947126,-1.314405,0.854302,-8942.886659,0.779211,-10.943421,0.53267,-8942.324901,0.473661,-19.92737,0.5469,-4.566246,6.279034,-18.698666,1.963284,0.592048,0.000704,0.160846,0.000635,0.217083,0.000814,0,6.066747,44.09226,0.026677,-9,124.8,2455639.4947,-5.411877,-5.411947,-1,-9999999,0.434477,-0.776753,0.667903,0.127281,0.61872,0.5,900,-4.54683,6.280247,2011-03-18T23:48:12.764,-9999999,K5,183.C-0972(A),Udry,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,2.20017922299535e-05,1.32416403013809e-06,0,0
143275,HD21209A,50.82317,-49.99181,2455642.4890115,-7.372338,0.674256,-8948.91014,0.778431,-16.694667,0.456435,-8949.088469,0.405598,-25.78157,0.471964,1.546145,6.901035,-26.916072,1.976315,0.591748,0.000559,0.161174,0.000513,0.217959,0.00065,0,6.059854,44.159938,0.025342,-9,152.6,2455642.48901,-4.791965,-4.792032,0,-9999999,0.43496,-0.470066,0.496274,-0.613289,0.664414,0.5,900,1.583924,6.907929,2011-03-21T23:40:04.411,-9999999,K5,183.C-0972(A),Udry,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,-9999999.0,-9999999.0,-9999999,-9999999
143276,HD21209A,50.82317,-49.99181,2455644.4882084,-4.791551,0.74816,-8947.394672,0.770919,-13.826773,0.456645,-8946.895103,0.406783,-22.807306,0.47205,11.297141,6.05391,-30.17805,2.072173,0.592177,0.000572,0.162698,0.000523,0.219824,0.000663,0,6.054552,44.178031,0.023019,-9,150.4,2455644.4882,-4.374641,-4.374703,0,-9999999,0.435281,-0.182959,0.592637,0.064288,0.654861,0.55,900,11.295584,6.046867,2011-03-23T23:38:12.540,-9999999,K5,183.C-0972(A),Udry,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,2.3611935684075e-05,1.29992969622431e-06,0,0
143277,HD21209A,50.82317,-49.99181,2455646.4824016,1319.542594,4.591667,-7617.980386,1.732379,1311.918895,4.555454,-7616.734716,1.678956,1300.803531,4.617102,-94.41854,67.821345,202.642805,40.032506,0.762315,0.002055,0.241664,0.002944,0.275942,0.003364,0,5.957454,33.32438,0.070392,-9,43.8,2455646.4824,-3.948747,-3.948813,0,-9999999,0.435603,1.228564,0.575535,0.810067,0.4269,0.49,900,-94.879792,89.023894,2011-03-25T23:30:47.102,-9999999,K5,183.C-0972(A),Udry,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,0.000118411021145,2.10842549230327e-05,0,0
143278,HD21209A,50.82317,-49.99181,2455648.4806623,0.475733,0.660136,-8941.934008,0.561878,-8.653471,0.492011,-8940.903115,0.437054,-17.944318,0.505532,5.336476,6.858592,-17.877006,2.019783,0.590872,0.000609,0.162397,0.00056,0.219956,0.00071,0,6.06957,44.065318,0.023085,-9,140.6,2455648.48065,-3.521095,-3.52116,0,-9999999,0.435924,-0.276941,0.440118,0.594969,0.353116,0.48,900,5.380427,6.862263,2011-03-27T23:28:27.846,-9999999,K5,183.C-0972(A),Udry,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,2.33807070666403e-05,1.25599756530428e-06,0,0
