,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
8448,HD27947,66.24969,11.97555,2453358.7123055,3.317434,2.804301,38626.106137,2.705514,17.131998,2.670305,38624.433087,2.521358,18.893201,2.677471,8.228356,21.59549,14.430582,1.126837,0.446322,0.00177,0.352381,0.002521,0.471477,0.003255,0,13.409153,26.191794,-0.022935,39,44.6,2453358.7123,-11.046557,-11.046197,0,-9999999,0.0,-0.484062,0.856491,-1.67305,0.981102,0.52,101,9.284185,22.818308,2004-12-19T04:57:18.163,-9999999,G2,074.C-0364(A),Robichon,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G0,4.451779218718e-05,1.37685472864283e-06,1,0
8449,HD27947,66.24969,11.97555,2453359.6758092,18.667024,3.849288,38664.196355,3.327811,32.493053,3.752791,38662.591907,3.1799,30.642466,3.727773,-27.964506,28.666533,5.105857,1.486161,0.454456,0.002372,0.344475,0.003361,0.472455,0.004314,0,13.555414,26.170992,-0.069714,39,34.5,2453359.6758,-11.433238,-11.432881,0,-9999999,7e-06,-0.472597,0.856491,-1.604455,0.981103,0.45,101,-30.407167,29.965327,2004-12-20T04:04:55.290,-9999999,G2,074.C-0364(A),Robichon,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G0,5.23365181373793e-05,3.1230239360363e-06,1,0
8450,HD27947,66.24969,11.97555,2453360.6781189,-14.753133,3.215236,38591.636216,2.870074,0.92164,3.105147,38590.470728,2.697177,1.228588,3.099019,-3.826761,25.550547,1.232737,1.225672,0.446677,0.001916,0.350288,0.002752,0.474145,0.003582,0,13.417773,26.151026,0.041015,39,40.9,2453360.67811,-11.926666,-11.92631,0,-9999999,1.5e-05,1.376147,0.83415,-1.165503,0.981102,0.46,101,-2.285006,27.13929,2004-12-21T04:08:16.941,-9999999,G2,074.C-0364(A),Robichon,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G0,4.85365047050505e-05,1.48379561076356e-06,1,0
8451,HD27947,66.24969,11.97555,2453361.6806209,-19.361619,3.356188,38606.979013,2.926419,-5.624455,3.245061,38605.848996,2.757058,-6.177042,3.255186,-16.227856,21.327984,1.287048,1.229554,0.440743,0.001966,0.343374,0.002835,0.470252,0.003654,0,13.420156,26.106353,0.007867,39,39.9,2453361.68062,-12.416647,-12.416302,0,-9999999,2.2e-05,-0.561462,0.856491,-1.130039,0.981102,0.52,101,-17.363506,22.604668,2004-12-22T04:11:50.519,-9999999,G2,074.C-0364(A),Robichon,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G0,3.97256064474608e-05,1.49677217308849e-06,1,0
8452,HD27947,66.24969,11.97555,2453362.5380928,5.462147,2.75116,38614.100029,2.428022,19.101069,2.614431,38613.488811,2.220959,20.375899,2.614656,56.10411,19.993442,-2.613261,0.961837,0.440129,0.001561,0.345062,0.002282,0.473962,0.002949,0,13.424639,26.061615,0.017574,39,48.6,2453362.53808,-12.486386,-12.486024,0,-9999999,2.9e-05,-0.659704,0.856524,-0.611247,0.981138,0.48,101,56.380958,21.818051,2004-12-23T00:46:43.239,-9999999,G2,074.C-0364(A),Robichon,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G0,4.51723923157267e-05,1.50376091242864e-06,1,0
8453,HD27947,66.24969,11.97555,2453362.6623382,-1.697791,2.569586,38637.147471,2.308905,11.902103,2.422642,38636.302733,2.09009,11.557789,2.418575,21.635087,18.128487,0.77316,0.915057,0.451002,0.001537,0.351916,0.002166,0.465284,0.002823,0,13.400715,26.08988,0.029908,39,50.9,2453362.66234,-12.842638,-12.842295,0,-9999999,3e-05,-0.698732,0.856492,-0.844768,0.981104,0.51,101,21.815787,19.464969,2004-12-23T03:45:35.455,-9999999,G2,074.C-0364(A),Robichon,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G0,4.91195696787516e-05,1.42065745627942e-06,1,0
8454,HD27947,66.24969,11.97555,2453362.740319,34.553696,3.616948,38628.414925,3.04327,48.129095,3.514076,38627.423622,2.880786,43.770952,3.499839,20.928552,24.028178,-2.982672,1.339387,0.453157,0.001999,0.341116,0.002935,0.461153,0.003751,0,13.340585,26.209849,0.000697,39,38.5,2453362.74031,-13.053519,-13.05317,0,-9999999,3e-05,-0.723227,0.856493,-0.991333,0.981104,0.5,101,19.217896,25.373591,2004-12-23T05:37:54.292,-9999999,G2,074.C-0364(A),Robichon,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G0,5.27179950878006e-05,1.77485898477866e-06,1,0
8455,HD27947,66.24969,11.97555,2453363.5429326,6.424384,2.890956,38625.891174,2.522286,19.84885,2.761159,38625.463259,2.323639,20.633936,2.75171,13.715482,20.640597,0.345026,1.063094,0.44531,0.00165,0.340651,0.002385,0.469185,0.003085,0,13.627183,25.956905,0.007655,39,46.5,2453363.54292,-12.973621,-12.973277,0,-9999999,3.6e-05,-0.87416,0.856522,-0.427951,0.981136,0.52,101,14.133451,21.889521,2004-12-24T00:53:41.341,-9999999,G2,074.C-0364(A),Robichon,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G0,5.17209218118656e-05,1.60435515943129e-06,1,0
8456,HD27947,66.24969,11.97555,2453363.7195219,-11.953079,3.276752,38598.907343,2.83638,1.415916,3.162835,38598.147529,2.661295,0.053768,3.164653,-31.440513,27.772149,-0.194574,1.331791,0.448094,0.001865,0.353624,0.002701,0.46954,0.003487,0,13.529105,25.999931,0.055344,39,41.5,2453363.71951,-13.475552,-13.475198,0,-9999999,3.8e-05,-0.929631,0.856491,-0.759852,0.981102,0.45,101,-30.471857,29.728303,2004-12-24T05:08:06.172,-9999999,G2,074.C-0364(A),Robichon,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G0,4.87909583255138e-05,1.33047643927724e-06,1,0
8457,HD27947,66.24969,11.97555,2453364.5632024,28.509445,2.136702,38669.920431,1.966982,41.911079,1.957518,38669.510279,1.704819,42.567542,1.959707,-43.891075,13.928172,-3.658876,0.863168,0.450794,0.001256,0.351618,0.001777,0.456593,0.002295,0,13.427578,26.10573,-0.062003,39,61.1,2453364.5632,-13.499423,-13.4991,0,-9999999,4.4e-05,-0.896992,0.856514,-0.410196,0.981128,0.5,101,-43.285971,15.587298,2004-12-25T01:22:58.368,-9999999,G2,074.C-0364(A),Robichon,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G0,5.8863563651284e-05,1.69471851606776e-06,1,0
