,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
35820,HIP1608,5.03635,-17.060945,2454396.6145147,-3.113364,2.143258,30955.399192,2.929257,-15.12708,2.03569,30955.824063,2.814691,-13.623693,2.035559,0.253827,16.471679,3.80393,1.855941,0.858061,0.002957,0.246482,0.005237,0.276761,0.005955,0,3.197948,16.047654,-0.006098,31,29.8,2454396.61463,-15.309772,-15.309979,0,-9999999,0.0,0.523752,0.670462,0.424871,0.81121,0.51,900,0.339898,16.4693,2007-10-23T02:30:31.755,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M0.5,0.000236884811181,0.002728335066065,0,0
35821,HIP1608,5.03635,-17.060945,2454397.571684,-0.675723,2.287872,30955.271988,3.034974,-13.434511,2.126921,30954.96365,2.934479,-12.007248,2.126803,4.443411,16.687831,4.757571,1.777028,0.828554,0.002975,0.24644,0.005383,0.268775,0.006185,0,3.188765,16.017018,-0.006358,31,28.9,2454397.57179,-15.611614,-15.611803,0,-9999999,2.8e-05,-0.22132,0.842951,-0.308366,0.774532,0.48,900,2.631573,16.334926,2007-10-24T01:29:22.476,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M0.5,6.29380379680589e-05,5.42585840768775e-06,0,0
35822,HIP1608,5.03635,-17.060945,2454398.5419765,-3.676828,2.237117,30963.366356,3.076091,-16.912887,2.152119,30962.876339,2.994391,-15.375815,2.152768,15.281045,17.968251,7.865873,1.960061,0.825955,0.003004,0.234803,0.005487,0.272538,0.0063,0,3.190252,15.913095,-0.013151,31,28.5,2454398.54209,-15.950378,-15.950551,0,-9999999,5.6e-05,-0.69859,0.610799,-0.490073,0.704242,0.5,900,15.061715,18.062677,2007-10-25T00:46:22.204,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M0.5,0.000985072608379,0.008843678166763,0,0
35823,HIP1608,5.03635,-17.060945,2454399.7695125,2.953047,1.668514,30963.538647,2.042245,-10.590611,1.485555,30963.077322,1.863814,-9.198302,1.485243,7.518955,11.161598,1.751238,1.224059,0.82832,0.00214,0.236342,0.003439,0.269959,0.003986,0,3.184959,15.995118,-0.002183,31,39.9,2454399.76963,-16.952816,-16.952948,0,-9999999,9.2e-05,-1.006189,0.759648,-0.461417,0.834842,0.49,900,7.434431,11.221761,2007-10-26T06:14:16.115,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M0.5,8.47399245480251e-05,1.32762070694143e-05,0,0
35824,HIP1608,5.03635,-17.060945,2454400.5790626,0.573673,1.673362,30963.169186,2.178461,-11.576125,1.613224,30963.836494,2.098955,-10.223105,1.612734,-18.132988,11.163995,-0.004364,1.439731,0.842517,0.002374,0.244499,0.003927,0.2674,0.004435,0,3.19334,16.055278,-0.017244,31,36.8,2454400.57918,-16.871033,-16.87126,0,-9999999,0.000116,0.38767,0.444578,0.667192,0.583166,0.5,900,-18.202776,11.184166,2007-10-27T01:39:56.165,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M0.5,0.000167945682938,4.46675863441506e-05,0,0
35825,HIP1608,5.03635,-17.060945,2454402.5665043,4.331626,2.238299,30965.119924,3.127869,-7.645553,2.182065,30965.450689,3.043024,-7.148731,2.182166,30.192365,18.366045,3.980203,1.795722,0.835078,0.003129,0.238122,0.005687,0.26547,0.00649,0,3.194088,16.072818,-0.023396,31,27.9,2454402.56663,-17.641746,-17.641993,0,-9999999,0.000174,0.560289,0.498572,0.330591,0.72358,0.51,900,30.009204,18.448858,2007-10-29T01:21:52.071,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M0.5,3.01349519216127e-06,1.37126944629944e-05,0,0
35826,HIP1608,5.03635,-17.060945,2454402.730841,4.186196,1.670186,30965.808341,2.167739,-7.842399,1.594047,30965.830592,2.043421,-6.393899,1.594308,-9.291543,12.04965,-0.081717,1.174164,0.8263,0.002258,0.236783,0.003764,0.263044,0.00439,0,3.184183,16.013983,-0.012437,31,37.5,2454402.73096,-18.080458,-18.08063,0,-9999999,0.000179,0.508873,0.498535,0.022072,0.723548,0.52,900,-9.301201,12.083563,2007-10-29T05:18:22.604,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M0.5,9.06060421129521e-05,1.62861553459993e-05,0,0
35827,HIP1608,5.03635,-17.060945,2454403.5770627,6.42989,1.341812,30964.309902,1.57368,-6.453226,1.253178,30964.422058,1.499337,-5.055031,1.253099,-7.026643,9.024891,-5.454983,1.099853,0.843116,0.00191,0.246103,0.002959,0.265377,0.003407,0,3.192777,16.113487,-0.00886,31,45.5,2454403.57718,-18.067285,-18.067545,0,-9999999,0.000203,-0.345648,0.479587,0.111953,0.477972,0.49,900,-6.769058,9.0715,2007-10-30T01:37:27.548,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M0.5,6.81246362809118e-05,7.34010066837398e-06,0,0
35828,HIP1608,5.03635,-17.060945,2454423.5575489,-0.281352,2.810129,30967.529356,3.859875,-12.225063,2.730003,30968.054089,3.800003,-10.783245,2.730646,17.582909,22.576081,1.862704,1.999591,0.814871,0.003678,0.245718,0.00737,0.252843,0.008336,0,3.195027,16.025538,-0.025231,31,23.1,2454423.55766,-24.716624,-24.716959,0,-9999999,0.000786,0.593757,0.666263,0.523947,0.677207,0.49,900,20.356432,22.319051,2007-11-19T01:11:26.196,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M4,6.12776928892381e-05,8.35282266004121e-06,0,0
35829,HIP1608,5.03635,-17.060945,2454427.5900771,-6.946146,1.826294,30957.690574,2.413511,-19.46937,1.755547,30957.864517,2.312483,-18.185351,1.755422,8.380239,13.863156,-4.433496,1.634618,0.822651,0.002509,0.235802,0.004222,0.270986,0.004977,0,3.192974,16.124104,-0.016869,31,34.4,2454427.59019,-25.799986,-25.800349,0,-9999999,0.000904,0.014244,0.503393,0.173039,0.690984,0.49,900,8.266059,13.854266,2007-11-23T01:58:45.929,-9999999,M2,180.C-0886(A),Bonfils,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_M4,0.000296183690832,0.003228498706464,0,0
