,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
107223,K2-266,157.935015,0.93712,2458172.6296647,-3.350792,1.549522,10512.397884,3.7485,1.63964,0.941946,10512.178806,3.502849,1.63964,0.941946,-9.102582,7.140592,-0.27808,1.412217,0.634152,0.001402,0.163157,0.001554,0.206502,0.001875,0,6.113919,48.435574,0.030175,-99999,63.3,2458172.62966,3.222608,3.22277,0,-9999999,0.0,-0.257902,1.230348,-0.219078,1.334654,0.49,2700,-9.105496,7.142205,2018-02-23T02:36:32.263,-9999999,K5,0100.C-0808(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_K5,1.16064606325672e-05,1.02384450217992e-06,0,0
107224,K2-266,157.935015,0.93712,2458172.7104601,0.717689,1.556261,10513.289714,3.739076,5.856909,0.953012,10513.074852,3.49277,5.856909,0.953012,-6.404656,9.676237,0.948037,1.209591,0.63502,0.001366,0.162695,0.001495,0.200508,0.001808,0,6.117,48.46698,0.038545,-99999,64.3,2458172.71045,2.984932,2.985115,0,-9999999,3e-06,-0.109115,1.230331,-0.214865,1.334634,0.48,2400,-6.407039,9.67886,2018-02-23T04:35:43.916,-9999999,K5,0100.C-0808(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_K5,1.03007126453451e-05,7.24548830826034e-07,0,0
107225,K2-266,157.935015,0.93712,2458172.8214854,-1.067985,1.61797,10514.528323,3.9175,4.275692,1.050708,10514.319254,3.683122,4.275692,1.050708,-17.359936,8.871241,9.4e-05,1.30482,0.634394,0.001438,0.165319,0.001665,0.206437,0.001972,0,6.109972,48.530907,0.038859,-99999,59.9,2458172.82148,2.662645,2.662813,0,-9999999,7e-06,0.095342,1.230381,-0.209076,1.334697,0.48,2700,-17.366627,8.866073,2018-02-23T07:13:12.407,-9999999,K5,0100.C-0808(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_K5,1.11865941496616e-05,8.81248427493985e-07,0,0
107226,K2-266,157.935015,0.93712,2458174.62077,-0.72406,1.577884,10511.860092,3.871881,4.249992,0.987902,10511.640628,3.634576,4.249992,0.987902,-11.193471,9.379494,1.730364,1.208443,0.633984,0.001465,0.172789,0.001657,0.204016,0.001969,0,6.118578,48.332307,0.034848,-99999,60.3,2458174.62077,2.201226,2.201391,0,-9999999,7.8e-05,-0.274282,1.230352,-0.219542,1.33466,0.5,2700,-11.146387,9.383716,2018-02-25T02:23:15.322,-9999999,K5,0100.C-0808(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_K5,1.06511356503296e-05,8.98707315418793e-07,0,0
107227,K2-266,157.935015,0.93712,2458174.7532976,0.145302,1.620384,10515.331863,3.984874,5.363409,1.054469,10515.119315,3.754723,5.363409,1.054469,-16.522046,10.32509,-0.350807,1.437492,0.634044,0.001505,0.169103,0.001734,0.208598,0.002041,0,6.114315,48.420559,0.038588,-99999,58.5,2458174.75329,1.807124,1.807302,0,-9999999,8.3e-05,-0.030228,1.230341,-0.212631,1.334645,0.46,2600,-16.51594,10.315565,2018-02-25T05:36:39.633,-9999999,K5,0100.C-0808(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_K5,9.09134922130385e-06,8.15764397119243e-07,0,0
107228,K2-266,157.935015,0.93712,2458174.8323663,-3.271796,1.606473,10509.449082,3.854546,2.091919,1.032905,10509.24066,3.616086,2.091919,1.032905,0.843452,9.179265,-1.651195,1.555156,0.633214,0.001386,0.175824,0.001646,0.209259,0.001936,0,6.111268,48.453084,0.040601,-99999,61.5,2458174.83237,1.592122,1.592274,0,-9999999,8.6e-05,0.11538,1.230391,-0.208508,1.334708,0.52,2600,0.864372,9.179685,2018-02-25T07:27:55.128,-9999999,K5,0100.C-0808(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_K5,9.89816134060265e-06,1.01263342192476e-06,0,0
107229,K2-266,157.935015,0.93712,2458175.6301511,-8.144077,1.594032,10504.368315,3.923902,-3.152749,1.013501,10504.149379,3.689947,-3.152749,1.013501,9.28406,10.48472,6.592988,1.372259,0.637159,0.00149,0.160469,0.001664,0.204649,0.002013,0,6.127902,48.269625,0.030434,-99999,59.5,2458175.63015,1.65357,1.65373,0,-9999999,0.000117,-0.257007,1.230348,-0.219053,1.334654,0.49,2700,9.360498,10.486519,2018-02-26T02:37:12.349,-9999999,K5,0100.C-0808(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_K5,9.60381025515245e-06,8.06565731498039e-07,0,0
107230,K2-266,157.935015,0.93712,2458175.7279943,-8.329497,1.59834,10505.256608,3.877459,-3.157987,1.020279,10505.042778,3.640527,-3.157987,1.020279,-15.7286,9.466834,2.59119,1.438254,0.636349,0.001445,0.169456,0.001634,0.207908,0.001948,0,6.116078,48.327865,0.030106,-99999,60.7,2458175.72798,1.360786,1.360966,0,-9999999,0.000121,-0.076825,1.230334,-0.213951,1.334636,0.53,2500,-15.664473,9.466489,2018-02-26T04:58:03.963,-9999999,K5,0100.C-0808(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_K5,5.91641612774769e-06,8.62535325771252e-07,0,0
107231,K2-266,157.935015,0.93712,2458175.8056785,-5.058145,1.536196,10507.451551,3.549886,0.256423,0.919831,10507.241775,3.289425,0.256423,0.919831,2.004343,7.303124,-0.379268,1.19019,0.635657,0.001243,0.16531,0.001409,0.205812,0.001665,0,6.112122,48.467818,0.03808,-99999,68.7,2458175.80567,1.137174,1.137356,0,-9999999,0.000124,0.066233,1.230369,-0.2099,1.334681,0.5,2600,2.047736,7.305675,2018-02-26T06:50:20.851,-9999999,K5,0100.C-0808(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_K5,9.45802248538806e-06,7.09523151038894e-07,0,0
107232,K2-266,157.935015,0.93712,2458191.5853223,2.025884,1.610451,10515.296012,3.979297,3.857245,1.039099,10512.837246,3.748788,3.857245,1.039099,8.562758,8.67492,-0.790394,1.454948,0.633813,0.001534,0.160178,0.001725,0.197941,0.00206,0,6.115103,48.388179,0.033614,-99999,57.4,2458191.58532,-6.489417,-6.489267,0,-9999999,0.000741,-3.416974,1.230376,-2.459507,1.33469,0.51,2700,8.584608,8.67264,2018-03-14T01:31:57.231,-9999999,K5,0100.C-0808(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_K5,7.44741867137673e-06,8.38750331296534e-07,0,0
