,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
143124,TOI-2202,51.227331,-73.95526,2458762.8144832,-2929.584056,3.654957,-50.697473,6.636687,33.873522,3.440546,-52.26346,6.516599,33.873522,3.440546,-21.690714,29.284252,-3.008871,1.56828,0.524922,0.005396,0.214568,0.006256,0.285887,0.007954,0,7.255132,56.008514,0.010434,0,19.3,2458762.81447,-6.562247,-6.562232,0,-9999999,0.0,0.464202,1.233431,-1.565987,1.256803,0.51,1800,-20.862299,29.498831,2019-10-06T07:16:29.928,-9999999,G2,0104.C-0413(A),Brahm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,4.0335906516806e-05,3.05884469328683e-06,0,0
143125,TOI-2202,51.227331,-73.95526,2458764.7474051,-2855.219784,2.707733,-8.554449,6.686225,108.513117,2.41051,-8.080126,6.549357,108.513117,2.41051,2.966093,16.037124,-4.364006,1.306899,0.526315,0.003985,0.263403,0.004546,0.308659,0.005678,0,7.272574,55.5046,-0.035737,0,25.2,2458764.7474,-6.641867,-6.64186,0,-9999999,5e-06,0.739525,1.233394,0.474318,1.345928,0.5,1800,3.333923,16.411242,2019-10-08T05:40:16.071,-9999999,G2,0104.C-0413(A),Brahm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,3.42053328744911e-05,7.88985846940196e-06,0,0
143126,TOI-2202,51.227331,-73.95526,2458772.7077018,40003.995017,15.131365,-6555.092458,8.838428,42966.91621,15.081013,-6556.464599,8.735349,42966.91621,15.081013,-593.842598,409.228543,107.923132,7.77836,0.497812,0.009796,0.209343,0.012426,0.265045,0.015463,0,3.554162,1.548866,4.546163,0,11.2,2458772.7077,-7.05985,-7.059855,0,-9999999,2.3e-05,-0.072184,1.233386,-1.372164,1.345918,0.48,1800,-231.206412,307.513711,2019-10-16T04:43:57.526,-9999999,G2,0104.C-0413(A),Brahm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,8.35575125926709e-06,4.5857381599322e-06,0,0
143127,TOI-2202,51.227331,-73.95526,2458773.7776908,-3059.71422,4.410455,-148.315419,8.427777,-96.706371,4.23448,-149.333126,8.319607,-96.706371,4.23448,90.167661,44.62382,1.605039,2.020459,0.525049,0.006352,0.279739,0.008053,0.335092,0.00996,0,7.385517,53.972802,-0.006315,0,16.4,2458773.77768,-7.158854,-7.158857,0,-9999999,2.6e-05,0.014472,1.233407,-1.017733,1.345944,0.51,1800,89.023991,45.712111,2019-10-17T06:23:52.774,-9999999,G2,0104.C-0413(A),Brahm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,5.58637372036778e-05,1.02306176980485e-05,0,0
143128,TOI-2202,51.227331,-73.95526,2458774.7144862,-2808.544489,3.357818,-78.611885,7.189518,154.441045,3.123091,-79.474808,7.062413,154.441045,3.123091,-110.585447,49.270534,10.850813,1.674668,0.515098,0.005155,0.233337,0.005929,0.270713,0.00719,0,7.208869,55.33151,0.004569,0,20.4,2458774.71448,-7.157233,-7.157231,0,-9999999,2.8e-05,-0.007843,1.233387,-0.862951,1.345919,0.49,1800,-120.311348,54.642845,2019-10-18T04:53:29.833,-9999999,G2,0104.C-0413(A),Brahm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,2.10570453668983e-05,0.000302883479554,0,0
143129,TOI-2202,51.227331,-73.95526,2458775.7271102,39918.286286,4.827556,-13377.252787,7.147738,42881.384754,4.667339,-13377.941922,7.019876,42881.384754,4.667339,-61.643577,44.139465,7.574757,2.172937,0.505058,0.006405,0.216051,0.007596,0.268929,0.009676,0,1.199525,1.410071,0.073031,0,16.1,2458775.7271,-7.209824,-7.209828,0,-9999999,3e-05,0.105091,1.233389,-0.689165,1.345921,0.52,1800,-80.806551,229.336081,2019-10-19T05:10:48.657,-9999999,G2,0104.C-0413(A),Brahm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,3.46271812650137e-05,2.67902317022734e-06,0,0
143130,TOI-2202,51.227331,-73.95526,2458777.6782437,-2894.143161,4.415055,-35.951891,6.810637,69.402858,4.239277,-36.104433,6.676322,69.402858,4.239277,70.088869,35.460124,-1.691727,2.026531,0.535743,0.006851,0.292547,0.008661,0.333856,0.010499,0,7.241417,56.647971,-0.027291,0,15.8,2458777.67824,-7.256519,-7.25653,0,-9999999,3.5e-05,0.552642,1.233388,-0.152577,1.34592,0.51,1800,55.877865,35.234091,2019-10-21T04:00:48.681,-9999999,G2,0104.C-0413(A),Brahm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,0.000144244640897,0.000891349226995,0,0
143131,TOI-2202,51.227331,-73.95526,2458782.716988,39946.471989,5.599125,49391.136211,8.111493,42910.627069,5.461589,49392.093876,8.048288,42910.627069,5.461589,14.490993,54.626158,46.070216,2.146832,0.527269,0.008402,0.215384,0.01045,0.29688,0.012978,0,24.6179,45.309906,0.0,0,14.3,2458782.71698,-7.449513,-7.449532,0,-9999999,4.7e-05,1.161703,1.233387,0.957618,1.01063,0.48,1800,-41.313302,205.448547,2019-10-26T04:57:40.923,-9999999,G2,1102.C-0923(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,-9999999.0,-9999999.0,-9999999,-9999999
143132,TOI-2202,51.227331,-73.95526,2458793.7117035,-3043.996572,3.234365,-199.108649,7.297022,-79.616863,2.989962,-198.371227,7.171822,-79.616863,2.989962,8.075405,24.565493,30.041694,2.167107,0.53504,0.005339,0.224838,0.00608,0.27819,0.007697,0,7.261451,54.331055,-0.016132,0,20.8,2458793.7117,-7.601177,-7.601185,0,-9999999,7.3e-05,1.386333,1.233387,0.737349,1.345919,0.5,1800,6.213167,25.028668,2019-11-06T04:49:52.301,-9999999,G2,1102.C-0923(C),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,0.000330362712018,0.001753029633511,0,0
143133,TOI-2202,51.227331,-73.95526,2458806.703127,40005.880517,7.221621,13494.297529,8.481905,42972.611939,7.146661,13497.042203,8.43065,42972.611939,7.146661,96.625233,114.353235,98.418639,1.764099,0.513458,0.006339,0.216379,0.007788,0.277632,0.009659,0,15.319315,0.589138,0.494235,0,16.0,2458806.70312,-7.423401,-7.423458,0,-9999999,0.000103,3.738045,1.037811,2.744571,0.931051,0.5,1800,-4.115769,134.285327,2019-11-19T04:37:59.498,-9999999,G2,0104.C-0413(A),Brahm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,2.14411199684851e-05,1.75904620360994e-06,0,0
143134,TOI-2202,51.227331,-73.95526,2458807.7078759,-3032.128274,2.905931,-188.857106,6.096442,-67.103488,2.780627,-186.624143,6.062751,-67.103488,2.780627,1.520704,20.600882,-5.273133,1.451292,0.521071,0.004102,0.208972,0.004681,0.277054,0.005848,0,7.230401,55.844947,-0.030652,0,23.9,2458807.70786,-7.398166,-7.398214,0,-9999999,0.000106,2.03141,0.844125,2.232857,0.640041,0.51,1800,2.689935,21.50585,2019-11-20T04:44:33.947,-9999999,G2,0104.C-0413(A),Brahm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,0.000696480171543,0.003050499250925,0,0
143135,TOI-2202,51.227331,-73.95526,2458811.7422955,-2887.914639,3.743793,-29.074096,6.692224,74.348045,3.534788,-29.347913,6.555482,74.348045,3.534788,4.465661,28.837715,-5.670017,1.797617,0.521604,0.005425,0.201723,0.006313,0.275662,0.00803,0,7.192585,56.013354,-0.002856,0,18.9,2458811.74229,-7.282182,-7.282242,0,-9999999,0.000115,-0.730692,1.233392,-0.273932,1.345926,0.55,1800,2.655613,29.576058,2019-11-24T05:33:04.292,-9999999,G2,0104.C-0413(A),Brahm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,-9999999.0,-9999999.0,-9999999,-9999999
143136,TOI-2202,51.227331,-73.95526,2458813.7032314,-2914.382818,3.805166,-40.054445,6.545592,47.763124,3.599729,-40.226957,6.405722,47.763124,3.599729,-3.358271,31.020579,-0.887945,1.593639,0.529781,0.005304,0.186045,0.006066,0.250754,0.007566,0,7.228573,56.206898,0.010524,0,19.2,2458813.70323,-7.174798,-7.174866,0,-9999999,0.00012,-0.847435,1.233386,-0.172632,1.345918,0.51,1800,-4.38493,31.410774,2019-11-26T04:38:05.214,-9999999,G2,0104.C-0413(A),Brahm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,-9999999.0,-9999999.0,-9999999,-9999999
143137,TOI-2202,51.227331,-73.95526,2458831.6523049,-3029.366782,2.671743,-177.361606,6.52711,-65.592715,2.370011,-177.978915,6.445663,-65.592715,2.370011,-13.995396,15.674816,-4.721635,1.061303,0.528543,0.003928,0.178225,0.004006,0.255766,0.005251,0,7.269308,55.180428,-0.020233,0,25.8,2458831.6523,-5.999904,-5.999975,0,-9999999,0.000162,0.78069,1.233394,-0.617471,1.027908,0.5,1800,-12.257373,16.049351,2019-12-14T03:25:37.362,-9999999,G2,0104.C-0413(A),Brahm,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,2.96251589058257e-05,9.86651154172163e-07,0,0
