,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
65713,TOI125,23.592178,-66.67778,2458383.7066135,-8.832001,1.629154,11109.774727,4.020796,-16.527541,1.069417,11108.876518,3.791297,-16.527541,1.069417,-3.080948,11.777817,7.671942,1.601431,0.482306,0.001458,0.239533,0.001626,0.319618,0.002086,0,6.694397,54.485451,-0.0285,-99999,57.9,2458383.70661,-6.442233,-6.442157,0,-9999999,0.0,0.298755,1.22902,-0.898209,1.33898,0.48,1800,-3.076258,11.749095,2018-09-22T04:40:04.324,-9999999,G2,0101.C-0829(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,4.7899157462979e-06,1.14719945920982e-06,0,0
65714,TOI125,23.592178,-66.67778,2458383.7763019,-8.537305,1.593765,11109.7538,3.890262,-16.106247,1.014666,11108.858819,3.652561,-16.106247,1.014666,9.35639,9.213902,6.684946,1.571575,0.48108,0.001382,0.238886,0.001528,0.325549,0.001955,0,6.683249,54.52596,-0.028598,-99999,61.0,2458383.7763,-6.524913,-6.524843,0,-9999999,1.4e-05,0.425353,1.22904,-0.894995,1.339005,0.5,1800,9.326983,9.162038,2018-09-22T06:19:49.535,-9999999,G2,0101.C-0829(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,-9999999.0,-9999999.0,-9999999,-9999999
65715,TOI125,23.592178,-66.67778,2458384.7762042,-6.806679,1.566092,11110.834411,3.722772,-14.375798,0.97062,11109.939631,3.473629,-14.375798,0.97062,-13.238777,10.022714,10.105916,1.616449,0.482478,0.001281,0.24419,0.001405,0.321869,0.001794,0,6.694431,54.483608,-0.028963,-99999,65.6,2458384.77619,-6.712001,-6.711922,0,-9999999,0.000219,0.425176,1.22904,-0.894999,1.339005,0.49,1800,-13.258035,9.977927,2018-09-23T06:20:00.998,-9999999,G2,0101.C-0829(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,8.77325711389551e-06,8.95688796965572e-07,0,0
65716,TOI125,23.592178,-66.67778,2458385.6585926,-7.226966,1.555263,11109.499235,3.69643,-15.384269,0.953067,11108.59921,3.445389,-15.384269,0.953067,-2.461645,8.856743,8.463396,1.422238,0.480064,0.001336,0.242267,0.001454,0.323701,0.001871,0,6.683715,54.482163,-0.028578,-99999,63.5,2458385.65859,-6.762531,-6.762469,0,-9999999,0.000399,-0.163008,1.229026,-0.900424,1.338987,0.52,1800,-2.513774,8.799824,2018-09-24T03:29:47.075,-9999999,G2,0101.C-0829(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,7.2216225482648e-06,8.17688492443781e-07,0,0
65717,TOI125,23.592178,-66.67778,2458385.7490775,-5.871519,1.573999,11111.862122,3.791126,-13.864443,0.983342,11110.966289,3.546793,-13.864443,0.983342,0.311126,10.823036,13.781681,1.936263,0.483162,0.001392,0.242605,0.001502,0.324495,0.001931,0,6.687487,54.433901,-0.026304,-99999,61.9,2458385.74908,-6.864919,-6.864854,0,-9999999,0.000417,0.001371,1.229029,-0.89625,1.33899,0.51,1800,0.303682,10.791152,2018-09-24T05:40:23.153,-9999999,G2,0101.C-0829(A),Gandolfi,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,8.38128434110843e-06,8.10100855900866e-07,0,0
65718,TOI125,23.592178,-66.67778,2458393.8183796,-7.084046,1.602631,11110.277905,3.798483,-15.26787,1.028502,11109.307447,3.554637,-15.26787,1.028502,-9.524237,10.583474,-4.035653,1.547,0.480655,0.001224,0.240991,0.001367,0.317867,0.001741,0,6.69155,54.688603,-0.02725,11,66.5,2458393.81837,-8.361144,-8.361091,0,-9999999,0.002066,-0.189529,1.229069,-0.972524,1.33904,0.5,1800,-9.532697,10.541321,2018-10-02T07:20:46.491,-9999999,G2,1102.C-0249(A),Armstrong,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,7.91580045435504e-06,1.15341095781126e-06,0,0
65719,TOI125,23.592178,-66.67778,2458394.5745479,-2.421934,1.652953,11112.254982,4.079603,-11.094456,1.105274,11111.421864,3.853584,-11.094456,1.105274,3.520108,10.173864,-2.038348,1.933084,0.479086,0.001427,0.240851,0.001583,0.3203,0.002027,0,6.706942,54.643248,-0.030067,11,58.4,2458394.57455,-8.270155,-8.270102,0,-9999999,0.00222,-0.678227,1.229074,-0.835338,1.339047,0.53,1800,3.48711,10.142901,2018-10-03T01:28:47.256,-9999999,G2,1102.C-0249(A),Armstrong,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,7.50101450038351e-06,7.23106754538503e-07,0,0
65720,TOI125,23.592178,-66.67778,2458394.6583494,-1.260442,1.598527,11116.187282,3.858442,-9.780727,1.022146,11115.358047,3.618658,-9.780727,1.022146,-7.085787,9.692325,-0.917882,1.402496,0.479444,0.001326,0.240539,0.001453,0.320945,0.001866,0,6.69988,54.658736,-0.0258,11,62.9,2458394.65834,-8.347163,-8.347107,0,-9999999,0.002238,-0.52599,1.229026,-0.831473,1.338987,0.47,1800,-7.098499,9.659163,2018-10-03T03:31:15.905,-9999999,G2,1102.C-0249(A),Armstrong,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,5.16824035695943e-06,8.56220137007806e-07,0,0
65721,TOI125,23.592178,-66.67778,2458396.7754098,10.696924,1.651747,11127.256635,4.017646,2.363474,1.103508,11126.366739,3.787948,2.363474,1.103508,1.562054,10.714974,0.512245,1.981366,0.480417,0.001372,0.234035,0.001523,0.318572,0.001945,0,6.704656,54.604296,-0.028393,11,60.6,2458396.77541,-8.813288,-8.813248,0,-9999999,0.00267,-0.339155,1.22904,-0.892566,1.339004,0.51,1800,1.493309,10.716173,2018-10-05T06:18:43.165,-9999999,G2,1102.C-0249(A),Armstrong,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,1.35047407415152e-05,7.51434412902322e-07,0,0
65722,TOI125,23.592178,-66.67778,2458396.8620295,9.387705,2.208666,11126.982129,5.365247,1.211611,1.835073,11126.096246,5.195451,1.211611,1.835073,14.548102,18.182323,1.555146,3.051914,0.479576,0.00207,0.234809,0.002495,0.316864,0.003148,0,6.702819,54.636946,-0.028892,11,39.6,2458396.86203,-8.899704,-8.899657,0,-9999999,0.002688,-0.181798,1.229111,-0.888571,1.339093,0.51,1800,14.472714,18.180122,2018-10-05T08:23:27.325,-9999999,G2,1102.C-0249(A),Armstrong,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G2,1.28302335684406e-05,1.31165938245614e-06,0,0
