,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
162802,TYC72-1041-1,58.286864,5.60885,2456594.6816379,11864.403158,6.770434,-19735.377031,5.878978,13028.481119,6.71604,-19734.540462,5.807068,13035.667688,6.989005,-116.003866,64.976157,10.339354,2.428591,0.384331,0.006954,0.46236,0.010716,0.585151,0.013169,0,7.88785,32.384323,0.120367,-99999,13.7,2456594.68163,10.495978,10.496117,0,-9999999,0.0,0.705416,0.856491,0.836569,0.9167,0.47,600,-400.580296,283.029235,2013-10-29T04:09:25.786,-9999999,G2,092.D-0261(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,0.000299229584702,0.006558399250781,1,0
162803,TYC72-1041-1,58.286864,5.60885,2456594.8617579,10445.894274,24.863507,-21516.02129,6.807757,11609.915656,24.848749,-21515.523258,6.74575,11618.523893,24.194628,-446.546609,349.756064,75.954771,3.711159,0.378623,0.011531,0.466411,0.017038,0.590994,0.021383,64,7.83801,32.488138,0.148396,-99999,9.2,2456594.86175,9.978444,9.978584,0,-9999999,0.0,0.648837,0.856524,0.498032,0.916738,0.34,600,-288.262477,393.834114,2013-10-29T08:30:05.623,-9999999,G2,092.D-0261(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,3.28072523317236e-05,1.79336167600232e-06,1,0
162804,TYC72-1041-1,58.286864,5.60885,2456595.6142582,366.488428,4.39017,-31432.402064,4.585063,1530.443611,4.30581,-31431.986813,4.478864,1531.819705,4.358134,-29.248103,36.017757,2.631196,2.00643,0.383048,0.003864,0.485371,0.006374,0.61911,0.007837,0,7.854071,32.117304,0.072359,-99999,21.7,2456595.61425,10.18382,10.183965,0,-9999999,1e-06,0.582638,0.8565,0.41525,0.981112,0.51,600,-144.051172,290.032799,2013-10-30T02:31:57.469,-9999999,G2,092.D-0261(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
162805,TYC72-1041-1,58.286864,5.60885,2456595.6212954,259.456836,4.908027,-31553.924525,4.932482,1423.409808,4.832716,-31553.5225,4.833922,1422.521237,4.889591,-22.031585,40.680792,3.922794,2.134131,0.377539,0.00443,0.481361,0.007259,0.617996,0.009012,0,7.844389,32.32305,0.03709,-99999,19.4,2456595.62129,10.169003,10.169142,0,-9999999,1e-06,0.580427,0.856498,0.402024,0.98111,0.47,600,-112.781021,294.566311,2013-10-30T02:42:29.468,-9999999,G2,092.D-0261(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,2.15269594684426e-05,1.60745257474333e-06,1,0
162806,TYC72-1041-1,58.286864,5.60885,2456595.6296004,134.416736,5.317499,-31670.632824,5.183898,1298.367099,5.248067,-31670.246409,5.090209,1298.946979,5.30171,63.924992,43.985999,0.978406,2.313411,0.374962,0.004886,0.490398,0.007879,0.608381,0.009865,0,7.81737,32.342001,0.054766,-99999,18.0,2456595.62959,10.150749,10.1509,0,-9999999,1e-06,0.577818,0.856497,0.386414,0.981109,0.5,600,-94.982437,300.048165,2013-10-30T02:54:08.989,-9999999,G2,092.D-0261(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,1.69510478396164e-05,2.35640130765917e-06,1,0
162807,TYC72-1041-1,58.286864,5.60885,2456595.6371162,43.291838,3.868212,-31772.133861,4.291331,1207.23984,3.772198,-31771.761572,4.177673,1207.476953,3.817836,-37.188849,30.476485,4.030205,1.665106,0.375489,0.003517,0.492719,0.005748,0.596611,0.007085,0,7.792956,32.29709,0.096021,-99999,23.8,2456595.63711,10.133544,10.133673,0,-9999999,1e-06,0.575457,0.856496,0.372288,0.981107,0.53,600,-45.107845,282.864187,2013-10-30T03:04:40.338,-9999999,G2,092.D-0261(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,1.78809595072542e-05,1.55695308012091e-06,1,0
162808,TYC72-1041-1,58.286864,5.60885,2456595.6440903,-44.451255,3.474614,-31895.511135,3.988809,1119.494557,3.367397,-31895.151952,3.866268,1120.724496,3.405249,22.352659,27.405261,2.917829,1.40409,0.377391,0.003148,0.496662,0.005182,0.605095,0.006407,0,7.833259,32.253579,0.097859,-99999,26.1,2456595.64408,10.117024,10.11716,0,-9999999,2e-06,0.573267,0.856495,0.359181,0.981106,0.48,600,-84.419201,284.557372,2013-10-30T03:15:12.876,-9999999,G2,092.D-0261(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
162809,TYC72-1041-1,58.286864,5.60885,2456595.6516771,-138.491242,3.947928,-31990.56239,4.363336,1025.452187,3.853901,-31990.217467,4.251604,1027.773278,3.899276,-47.554874,33.043584,1.096788,1.537768,0.377474,0.003588,0.482004,0.005873,0.601346,0.007225,0,7.793589,32.250891,0.049359,-99999,23.4,2456595.65167,10.098477,10.098617,0,-9999999,2e-06,0.570883,0.856494,0.344921,0.981105,0.52,600,-92.50891,294.160751,2013-10-30T03:25:44.364,-9999999,G2,092.D-0261(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,2.43442681964316e-05,1.10243684636959e-06,1,0
162810,TYC72-1041-1,58.286864,5.60885,2456595.6589288,-241.701404,3.299542,-32113.163378,3.868825,922.239747,3.18644,-32112.832085,3.742358,923.472978,3.224856,2.060508,22.46414,-3.42226,1.071195,0.387083,0.003028,0.48009,0.004919,0.602295,0.005993,0,7.818275,32.386146,0.078881,-99999,27.2,2456595.65892,10.080219,10.080367,0,-9999999,2e-06,0.568606,0.856493,0.331291,0.981104,0.51,600,1.10782,25.536781,2013-10-30T03:36:16.882,-9999999,G2,092.D-0261(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,2.59843818793104e-05,9.09157383068654e-07,1,0
162811,TYC72-1041-1,58.286864,5.60885,2456595.6741425,-514.598593,4.622334,-32348.194054,4.776753,649.337779,4.54229,-32347.891355,4.674913,650.903806,4.642441,-125.467926,33.901917,0.158646,1.787737,0.380387,0.00425,0.475145,0.006788,0.618896,0.008432,0,7.808649,32.298523,0.053837,-99999,20.6,2456595.67414,10.04037,10.04049,0,-9999999,2e-06,0.563827,0.856491,0.302697,0.981103,0.44,600,-124.405269,34.753337,2013-10-30T03:58:53.305,-9999999,G2,092.D-0261(A),Triaud,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_NONE,-9999999.0,-9999999.0,-9999999,-9999999
