,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
82532,WASP-30,358.41274,-10.11714,2455458.8010668,6070.761081,5.509608,14332.875469,3.709825,6865.141417,5.482221,14332.187302,3.673301,6923.607275,5.299958,-407.205278,199.000526,21.34386,2.637077,0.385039,0.002901,0.410862,0.004246,0.543461,0.005408,0,17.012745,18.542725,-0.038832,8,30.5,2455458.80106,-1.532654,-1.532254,0,-9999999,0.0,-0.690567,0.548669,-0.688167,0.519292,0.5,900,-1544.91203,658.715443,2010-09-19T06:57:48.906,-9999999,G2,085.C-0393(A),Cameron,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,2.42569837260064e-06,4.36914252871018e-06,1,0
82533,WASP-30,358.41274,-10.11714,2455458.8630793,5958.175349,7.138573,14203.562356,4.295238,6752.536205,7.117454,14202.757637,4.263726,6756.125087,7.052024,-536.316908,263.792119,30.960073,3.220527,0.389681,0.003517,0.409643,0.005288,0.544879,0.006742,0,17.093612,18.337291,-0.008801,8,25.7,2455458.86307,-1.670891,-1.670504,0,-9999999,1e-06,-0.710047,0.548701,-0.80472,0.519335,0.49,900,-1442.102115,508.777952,2010-09-19T08:27:15.809,-9999999,G2,085.C-0393(A),Cameron,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,1.32291584165767e-05,4.64245407698477e-06,1,0
82534,WASP-30,358.41274,-10.11714,2455459.5844586,955.897626,5.448984,8920.390552,3.445495,1751.25536,5.419541,8920.894375,3.403699,1756.015651,5.400507,-51.690448,49.811261,16.473928,1.971963,0.384545,0.00251,0.388887,0.00379,0.533357,0.004845,0,17.634499,18.689771,-0.038791,8,33.1,2455459.58446,-1.42593,-1.425532,0,-9999999,8e-06,0.286831,0.565689,0.503815,0.53504,0.51,900,-337.734971,307.240468,2010-09-20T01:45:45.295,-9999999,G2,085.C-0393(A),Cameron,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,2.29577708658482e-05,2.53569294655492e-06,1,0
82535,WASP-30,358.41274,-10.11714,2455459.5965875,861.417014,5.027805,8793.346811,3.323917,1656.770938,4.995881,8793.827838,3.280574,1661.336342,4.983624,-115.900539,42.810276,15.581031,1.750509,0.39094,0.002408,0.381439,0.003497,0.529777,0.004565,0,17.663874,18.713435,-0.058412,8,34.7,2455459.59658,-1.455439,-1.455045,0,-9999999,8e-06,0.283021,0.565684,0.481019,0.535033,0.5,900,-173.857548,314.063488,2010-09-20T02:03:22.234,-9999999,G2,085.C-0393(A),Cameron,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,1.99262312097714e-05,2.62609853016553e-06,1,0
82536,WASP-30,358.41274,-10.11714,2455459.6086483,823.644276,4.64773,8710.875854,3.069229,1618.994411,4.613177,8711.334213,3.022236,1623.559387,4.610292,-87.512942,34.386783,-1.039805,1.79786,0.386983,0.002179,0.394257,0.003232,0.526648,0.00416,0,17.619511,18.808347,0.026381,8,36.8,2455459.60864,-1.486198,-1.485807,0,-9999999,8e-06,0.279232,0.56568,0.458351,0.535027,0.51,900,-245.469676,328.497798,2010-09-20T02:20:35.300,-9999999,G2,085.C-0393(A),Cameron,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,1.96106087422065e-05,2.07692290223033e-06,1,0
82537,WASP-30,358.41274,-10.11714,2455459.6199453,671.037778,4.28657,8593.754712,2.88408,1466.384365,4.249081,8594.191838,2.83402,1470.662997,4.244944,-23.647465,30.222877,-4.807341,1.532639,0.38636,0.002042,0.383762,0.002981,0.517483,0.003891,0,17.571498,18.898587,-0.019388,8,39.2,2455459.61994,-1.516163,-1.515778,0,-9999999,8e-06,0.275684,0.565676,0.437118,0.535022,0.49,900,-231.011858,331.007714,2010-09-20T02:37:09.364,-9999999,G2,085.C-0393(A),Cameron,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,1.19152287476193e-05,2.79024458495899e-06,1,0
82538,WASP-30,358.41274,-10.11714,2455459.6308348,676.426414,4.333096,8506.349815,2.939813,1471.76958,4.296014,8506.766474,2.890719,1476.505214,4.291503,-23.309946,34.350517,-6.008896,1.854522,0.388561,0.002088,0.382741,0.003043,0.525223,0.003952,0,17.649473,18.907204,-0.058922,8,38.4,2455459.63083,-1.545985,-1.545591,0,-9999999,8e-06,0.272263,0.565673,0.416651,0.535018,0.5,900,-166.688508,336.36554,2010-09-20T02:52:41.225,-9999999,G2,085.C-0393(A),Cameron,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,-9999999.0,-9999999.0,-9999999,-9999999
82539,WASP-30,358.41274,-10.11714,2455459.6416202,366.60919,4.526045,8390.533202,2.998703,1161.948968,4.490557,8390.92959,2.95059,1166.791519,4.487973,-95.355527,36.448014,-6.71727,1.614298,0.388546,0.002142,0.378272,0.003132,0.534716,0.004085,0,17.504038,18.856947,0.046239,8,37.5,2455459.64162,-1.576316,-1.575939,0,-9999999,8e-06,0.268875,0.56567,0.39638,0.535014,0.5,900,-315.14431,322.782779,2010-09-20T03:08:13.087,-9999999,G2,085.C-0393(A),Cameron,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,2.2737926386645e-05,2.23114563204698e-06,1,0
82540,WASP-30,358.41274,-10.11714,2455459.6524145,469.543541,4.44214,8318.234623,2.986739,1264.879928,4.405976,8318.610723,2.93843,1269.519718,4.406134,-52.453008,33.746331,-3.341979,1.737567,0.387437,0.002134,0.382688,0.003089,0.519248,0.004048,0,17.601148,18.822456,-0.086572,8,37.9,2455459.65241,-1.607349,-1.606936,0,-9999999,8e-06,0.265484,0.565668,0.376092,0.535011,0.5,900,-76.39198,329.799095,2010-09-20T03:23:45.718,-9999999,G2,085.C-0393(A),Cameron,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,-9999999.0,-9999999.0,-9999999,-9999999
82541,WASP-30,358.41274,-10.11714,2455459.663201,278.745571,4.529921,8186.469696,3.016736,1074.07857,4.494464,8186.825522,2.968916,1078.612319,4.493126,-38.694506,35.402429,-5.741947,1.930347,0.386499,0.002176,0.378495,0.003163,0.528487,0.004092,0,17.782005,18.888901,-0.057605,8,37.5,2455459.66319,-1.638915,-1.638516,0,-9999999,8e-06,0.262096,0.565666,0.355818,0.535009,0.5,900,-36.305184,329.090786,2010-09-20T03:39:17.678,-9999999,G2,085.C-0393(A),Cameron,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,4.44742126203635e-06,3.26588924916384e-06,1,0
