,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
252560,WASP-77A,37.1551156952,-7.06066012391,2455832.8615459,-196.121648,1.330728,1462.444555,1.635683,-9.351947,1.018432,1462.748925,1.308751,-4.878313,1.038409,-15.55861,7.595452,-4.252108,0.789682,0.457178,0.001462,0.27899,0.001706,0.386389,0.002232,0,7.073476,32.938299,0.036931,-2,58.2,2455832.86154,12.317168,12.317207,0,-9999999,0.0,0.423446,0.856524,0.30437,0.981138,0.51,600,-15.233136,10.022896,2011-09-28T08:28:38.390,-9999999,K5,060.A-9700(G),Technical,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K,-9999999.0,-9999999.0,-9999999,-9999999
252561,WASP-77A,37.1551156952,-7.06066012391,2455832.8705261,1087.277957,5.813185,2750.432485,4.11182,1274.044837,5.749737,2750.719977,3.993047,1280.171634,5.747469,-0.398918,47.745083,-6.285301,2.522281,0.608928,0.00424,0.168234,0.005652,0.228842,0.006979,0,6.25084,46.646339,0.018362,-2,23.5,2455832.87052,12.293354,12.293391,0,-9999999,1e-06,0.420625,0.856528,0.287491,0.981142,0.5,550,-80.52862,178.033964,2011-09-28T08:42:05.245,-9999999,K5,060.A-9700(G),Technical,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K,-9999999.0,-9999999.0,-9999999,-9999999
252562,WASP-77A,37.1551156952,-7.06066012391,2455832.888534,1081.858563,6.477849,2751.726551,4.698587,1268.619787,6.420971,2751.980198,4.595004,1273.266577,6.440023,46.594175,55.707245,-5.303605,2.886225,0.609018,0.004782,0.190174,0.006938,0.22705,0.008416,0,6.332812,46.144951,0.037308,-2,20.8,2455832.88853,12.247629,12.247643,0,-9999999,2e-06,0.414969,0.856536,0.253645,0.981151,0.49,550,-47.955575,177.638681,2011-09-28T09:08:06.562,-9999999,K5,060.A-9700(G),Technical,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K,-9999999.0,-9999999.0,-9999999,-9999999
252563,WASP-77A,37.1551156952,-7.06066012391,2455832.8960187,1085.033404,6.483162,2756.980953,4.723438,1271.792277,6.426331,2757.220533,4.620411,1276.678332,6.423694,-7.660158,59.304347,-7.937816,3.318984,0.596195,0.004505,0.19734,0.006869,0.232382,0.008242,0,6.340531,45.786253,0.016374,-2,21.0,2455832.89601,12.229513,12.229563,0,-9999999,2e-06,0.412617,0.85654,0.239578,0.981155,0.49,550,-113.041801,187.94436,2011-09-28T09:18:53.218,-9999999,K5,060.A-9700(G),Technical,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K,-9999999.0,-9999999.0,-9999999,-9999999
252564,WASP-77A,37.1551156952,-7.06066012391,2455832.9040328,-146.484103,1.54765,1511.155637,1.882731,40.272252,1.289012,1511.380154,1.606861,44.131455,1.310895,-4.544963,11.121893,0.367291,0.813449,0.453236,0.001658,0.273608,0.001991,0.387567,0.002596,0,7.091083,32.810961,0.035528,-2,50.8,2455832.90403,12.21075,12.21078,0,-9999999,2e-06,0.4101,0.856544,0.224515,0.981159,0.5,500,-5.269883,11.185101,2011-09-28T09:30:45.107,-9999999,K5,060.A-9700(G),Technical,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K,-9999999.0,-9999999.0,-9999999,-9999999
252565,WASP-77A,37.1551156952,-7.06066012391,2455832.9110016,-129.847977,1.610951,1523.457199,1.960898,56.906189,1.364364,1523.668619,1.697775,60.516566,1.386087,-27.062966,11.812025,2.326584,0.724535,0.453518,0.00172,0.275752,0.002085,0.390246,0.002711,0,7.091667,32.545428,0.041626,-2,49.0,2455832.911,12.194998,12.195022,0,-9999999,3e-06,0.407911,0.856547,0.211417,0.981163,0.51,500,-27.611796,11.181735,2011-09-28T09:40:42.180,-9999999,K5,060.A-9700(G),Technical,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K,-9999999.0,-9999999.0,-9999999,-9999999
252566,WASP-77A,37.1551156952,-7.06066012391,2455889.7459088,-248.852306,2.15481,1376.661089,2.656471,-62.896278,2.061597,1376.275667,2.610536,-59.364657,2.082752,24.591134,12.763914,8.619254,0.97678,0.450596,0.002347,0.273156,0.002963,0.377253,0.00385,0,7.580415,45.606605,-0.001956,1,36.3,2455889.7459,-14.260191,-14.260206,0,-9999999,0.003322,-0.390227,0.626915,-0.388744,0.491875,0.54,600,24.609539,12.801681,2011-11-24T05:42:00.920,-9999999,G2,088.C-0011(A),Pepe,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,-9999999.0,-9999999.0,-9999999,-9999999
252567,WASP-77A,37.1551156952,-7.06066012391,2455890.5370256,363.320057,2.26694,1995.921609,2.854338,550.01267,2.150111,1996.279869,2.716729,553.554742,2.170185,-47.737458,19.491549,7.252072,1.013678,0.448677,0.002383,0.270497,0.003102,0.382376,0.003994,0,7.570382,45.707024,-0.006962,1,35.4,2455890.53702,-14.11525,-14.115262,0,-9999999,0.003368,0.346358,0.718358,0.354892,0.875575,0.51,300,-47.475965,19.645121,2011-11-25T00:44:07.639,-9999999,G2,088.C-0011(A),Pepe,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,-9999999.0,-9999999.0,-9999999,-9999999
252568,WASP-77A,37.1551156952,-7.06066012391,2455890.5450426,1060.394125,6.33418,2719.959836,4.552356,1247.084219,6.293314,2720.303029,4.467362,1248.907726,6.255981,-93.620628,58.918443,-11.955571,3.027299,0.610855,0.004546,0.158567,0.006528,0.217992,0.008113,0,7.121168,51.090199,-0.019424,1,21.3,2455890.54504,-14.136095,-14.136119,0,-9999999,0.003369,0.343839,0.718354,0.339824,0.875571,0.51,600,-185.530666,177.436456,2011-11-25T00:53:07.339,-9999999,G2,088.C-0011(A),Pepe,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,-9999999.0,-9999999.0,-9999999,-9999999
252569,WASP-77A,37.1551156952,-7.06066012391,2455890.7386595,211.745266,2.430379,1841.340224,3.065788,398.374541,2.321801,1841.319523,2.93811,401.773713,2.341739,-6.707376,21.111392,10.530575,1.102112,0.454797,0.002638,0.272285,0.003371,0.37705,0.004332,0,7.594125,45.59833,-0.012814,1,33.0,2455890.73865,-14.679277,-14.679305,0,-9999999,0.00338,0.28302,0.71832,-0.024081,0.875536,0.51,300,-6.658273,21.466382,2011-11-25T05:34:29.644,-9999999,G2,088.C-0011(A),Pepe,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G,-9999999.0,-9999999.0,-9999999,-9999999
